epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.4487,0.2463,0.3653,1.3733,0.3583,0.5016
1,1.285,0.3695,0.5062,1.2919,0.3883,0.5333
2,1.1827,0.4644,0.6095,1.2323,0.4736,0.6182
3,1.1145,0.5118,0.6514,1.1098,0.4863,0.6278
4,1.0311,0.5876,0.7229,1.0638,0.5395,0.6746
5,0.969,0.6242,0.7553,0.9861,0.5522,0.6823
6,0.9213,0.6476,0.7719,0.9368,0.5662,0.6949
7,0.8628,0.6803,0.7995,0.8647,0.6083,0.7233
8,0.8231,0.7071,0.818,0.7892,0.6056,0.7236
9,0.7569,0.734,0.8436,0.8619,0.6122,0.7274
10,0.7155,0.7532,0.8554,0.7641,0.601,0.7179
11,0.6674,0.7728,0.866,0.7467,0.5972,0.7154
12,0.6246,0.7869,0.8769,0.7545,0.6198,0.7329
13,0.5926,0.8001,0.8867,0.742,0.5972,0.7155
14,0.5567,0.8032,0.8889,0.7367,0.6035,0.7197
15,0.5258,0.8135,0.8922,0.6938,0.5969,0.7126
16,0.4949,0.814,0.896,0.6814,0.6057,0.7181
17,0.4889,0.8171,0.897,0.6021,0.608,0.7227
18,0.4587,0.8143,0.894,0.5968,0.5903,0.7065
19,0.4247,0.8249,0.8997,0.6543,0.5964,0.7147
20,0.4137,0.8294,0.9049,0.5737,0.6017,0.7158
21,0.3916,0.8298,0.9047,0.5881,0.6035,0.7173
22,0.3888,0.8267,0.9013,0.609,0.6097,0.7251
23,0.3657,0.8343,0.9049,0.5346,0.6168,0.7306
24,0.3564,0.8344,0.9049,0.5181,0.608,0.7223
25,0.3395,0.8434,0.9128,0.526,0.6062,0.721
26,0.325,0.8404,0.9105,0.5238,0.6078,0.7241
27,0.3292,0.847,0.9129,0.579,0.6111,0.7251
28,0.3238,0.8341,0.9064,0.5672,0.5868,0.7036
29,0.3105,0.8411,0.9117,0.5336,0.598,0.7155
30,0.2901,0.8477,0.9152,0.5129,0.5985,0.7145
31,0.279,0.8518,0.9177,0.5039,0.6069,0.7203
32,0.2833,0.843,0.9119,0.5436,0.6065,0.7226
33,0.2832,0.8419,0.9091,0.4982,0.6035,0.7166
