epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.2809,0.3843,0.5022,1.1803,0.4611,0.5519
1,1.1307,0.5366,0.6633,1.1,0.5499,0.6717
2,1.0548,0.5623,0.6894,1.0293,0.525,0.6548
3,0.9961,0.5743,0.6984,0.9772,0.5978,0.7143
4,0.9541,0.5706,0.6912,0.9317,0.597,0.7223
5,0.9091,0.5958,0.7189,0.9198,0.508,0.6372
6,0.8684,0.5957,0.7144,0.8563,0.6418,0.7533
7,0.82,0.6242,0.7456,0.8047,0.6507,0.7579
8,0.7809,0.6188,0.7317,0.8164,0.5639,0.6758
9,0.742,0.619,0.7403,0.7477,0.5345,0.6635
10,0.6928,0.6351,0.7439,0.6984,0.6668,0.7709
11,0.642,0.6597,0.7696,0.6384,0.6724,0.7829
12,0.5928,0.6753,0.7887,0.5917,0.687,0.7949
13,0.5538,0.672,0.7783,0.5316,0.6448,0.7636
14,0.4961,0.6851,0.7929,0.4923,0.6697,0.7781
15,0.4544,0.6934,0.796,0.4574,0.6972,0.8175
16,0.4031,0.7017,0.8084,0.4033,0.6945,0.8133
17,0.3777,0.7085,0.8156,0.3779,0.7085,0.8081
18,0.3543,0.7081,0.8126,0.3597,0.6875,0.7942
19,0.3082,0.7268,0.8279,0.3787,0.6663,0.7804
20,0.2923,0.7318,0.8419,0.3523,0.6714,0.7817
21,0.2618,0.7472,0.853,0.29,0.7241,0.8222
22,0.226,0.7598,0.8557,0.2913,0.693,0.8034
23,0.213,0.7701,0.8733,0.3152,0.7016,0.8062
24,0.2077,0.7575,0.8581,0.2609,0.7111,0.8046
25,0.1972,0.7726,0.8808,0.2511,0.7037,0.815
26,0.1753,0.792,0.8937,0.262,0.699,0.8068
27,0.1908,0.7504,0.8405,0.3256,0.6506,0.77
28,0.1671,0.7758,0.8776,0.3059,0.6545,0.7639
29,0.1512,0.7863,0.8807,0.2229,0.7063,0.8078
30,0.1513,0.7842,0.8863,0.2103,0.7157,0.8183
31,0.1273,0.8105,0.9121,0.1991,0.7219,0.8132
32,0.1185,0.8235,0.921,0.1988,0.7213,0.8115
33,0.1185,0.8275,0.9294,0.2045,0.7113,0.7988
34,0.1154,0.8194,0.9125,0.205,0.7126,0.8079
35,0.1103,0.8283,0.9264,0.2075,0.7121,0.8134
36,0.1065,0.8354,0.9394,0.2301,0.7017,0.8099
37,0.1112,0.8168,0.9185,0.2451,0.6694,0.7786
38,0.0991,0.8401,0.9441,0.1918,0.7232,0.8195
39,0.1009,0.8378,0.9337,0.242,0.6815,0.7899
40,0.1041,0.8299,0.9318,0.1842,0.7335,0.83
41,0.0897,0.853,0.9612,0.1852,0.722,0.8091
42,0.0823,0.8606,0.962,0.2026,0.7082,0.805
43,0.0801,0.8681,0.9697,0.2012,0.714,0.8159
44,0.0753,0.866,0.9665,0.1938,0.7105,0.8046
45,0.0913,0.8523,0.9496,0.1901,0.7155,0.8051
46,0.0729,0.8706,0.9715,0.2062,0.7041,0.8001
47,0.0683,0.8813,0.983,0.1862,0.7128,0.8114
48,0.0667,0.8824,0.9821,0.173,0.7262,0.8184
49,0.0679,0.8831,0.984,0.201,0.7115,0.8039
50,0.0868,0.8358,0.9364,0.2063,0.698,0.7972
51,0.0974,0.8172,0.9222,0.2097,0.7065,0.8161
52,0.0825,0.8464,0.9469,0.1906,0.7093,0.7969
53,0.0708,0.8744,0.9771,0.2094,0.6912,0.7899
54,0.064,0.8814,0.9832,0.2079,0.6952,0.7892
55,0.0693,0.877,0.9728,0.1996,0.7023,0.7948
56,0.0563,0.8949,0.9892,0.1863,0.7171,0.8139
57,0.0516,0.9001,0.9939,0.1929,0.7121,0.8145
58,0.0503,0.9012,0.9955,0.1838,0.7225,0.8149
59,0.0486,0.9104,1.0059,0.1843,0.7129,0.8058
60,0.0458,0.9092,1.003,0.188,0.72,0.8198
61,0.0457,0.9138,1.0055,0.1857,0.7189,0.8229
