epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.383,0.7215,0.8153,0.5225,0.6514,0.7579
1,0.2304,0.8023,0.8807,0.3824,0.7522,0.8405
2,0.1817,0.832,0.9023,0.3977,0.7171,0.8064
3,0.1664,0.8428,0.9093,0.3482,0.7632,0.8499
4,0.1326,0.8654,0.9247,0.3915,0.7602,0.8452
5,0.1298,0.8693,0.9274,0.3122,0.7804,0.862
6,0.115,0.8773,0.9323,0.4032,0.7572,0.8399
7,0.0997,0.8902,0.94,0.4038,0.7555,0.8435
8,0.103,0.8877,0.9384,0.375,0.7706,0.8565
9,0.0961,0.893,0.9414,0.3937,0.7706,0.8543
10,0.1014,0.8933,0.9416,0.578,0.7175,0.8089
11,0.115,0.8817,0.9348,0.3533,0.7778,0.8619
12,0.082,0.9056,0.9492,0.3687,0.7713,0.8527
13,0.0702,0.9162,0.9554,0.3309,0.7857,0.8664
14,0.0641,0.9229,0.9592,0.3629,0.7854,0.8671
15,0.0592,0.9279,0.962,0.4048,0.7754,0.8583
16,0.0562,0.9299,0.9631,0.4245,0.768,0.8505
17,0.054,0.9326,0.9646,0.4515,0.7735,0.8559
18,0.0515,0.9347,0.9657,0.4565,0.7715,0.8539
19,0.0501,0.9367,0.9669,0.4107,0.775,0.8582
20,0.0493,0.9379,0.9676,0.4387,0.7731,0.8558
21,0.048,0.9385,0.9679,0.4827,0.7701,0.8511
22,0.0473,0.9392,0.9683,0.4599,0.7683,0.8493
23,0.0461,0.9413,0.9694,0.4725,0.7661,0.848
24,0.0442,0.9427,0.9701,0.6031,0.7502,0.8345
25,0.0434,0.9434,0.9705,0.5277,0.7646,0.8469
26,0.0436,0.944,0.9709,0.5979,0.7494,0.8325
27,0.0424,0.9458,0.9718,0.5657,0.7548,0.8375
28,0.0404,0.9466,0.9723,0.5089,0.769,0.8525
29,0.0404,0.9471,0.9725,0.567,0.7638,0.8459
30,0.0404,0.9462,0.972,0.5771,0.7497,0.8324
31,0.0606,0.9343,0.9641,0.8023,0.6774,0.7815
32,0.1731,0.8463,0.909,0.3783,0.7483,0.8349
33,0.1034,0.8939,0.9416,0.3971,0.7648,0.8458
34,0.0694,0.9192,0.9567,0.4814,0.7528,0.8366
35,0.0523,0.9346,0.9656,0.4925,0.7559,0.8399
