epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.2669,0.1901,0.2901,1.4024,0.2119,0.326
1,0.8303,0.4709,0.5865,1.2042,0.3648,0.4884
2,0.5777,0.5637,0.674,0.9123,0.4741,0.5895
3,0.4085,0.6322,0.7372,0.4902,0.5881,0.6973
4,0.3107,0.6825,0.7825,0.3984,0.6018,0.6981
5,0.2905,0.7361,0.8297,0.3824,0.6356,0.7298
6,0.2194,0.7557,0.8458,0.3491,0.6364,0.7322
7,0.1837,0.7762,0.861,0.331,0.6261,0.7199
8,0.1448,0.815,0.8879,0.3162,0.6621,0.7594
9,0.1345,0.8196,0.8896,0.2967,0.6827,0.7764
10,0.1527,0.8239,0.8924,0.3431,0.6466,0.74
11,0.133,0.8201,0.8894,0.3168,0.6667,0.7626
12,0.1143,0.8397,0.9054,0.3374,0.6728,0.7667
13,0.1001,0.8635,0.9228,0.3174,0.6722,0.7657
14,0.0964,0.8671,0.9257,0.3372,0.6781,0.7721
15,0.0944,0.8606,0.9223,0.3073,0.6743,0.7701
16,0.0914,0.8583,0.918,0.3183,0.6819,0.7738
17,0.0788,0.8756,0.9296,0.3313,0.6832,0.7762
18,0.0744,0.8955,0.9436,0.3122,0.681,0.7727
19,0.0679,0.8994,0.9458,0.3293,0.6766,0.768
20,0.0681,0.9031,0.9479,0.3218,0.6846,0.7762
21,0.0638,0.8993,0.9444,0.3181,0.6804,0.773
22,0.0629,0.9018,0.9469,0.3252,0.6768,0.7689
23,0.06,0.904,0.948,0.3195,0.6867,0.7778
24,0.0563,0.9102,0.9521,0.3352,0.6735,0.7676
25,0.0574,0.9077,0.9505,0.3131,0.688,0.7799
26,0.0541,0.9118,0.9523,0.3155,0.6943,0.7841
27,0.0528,0.9142,0.9544,0.328,0.6882,0.779
28,0.0542,0.9162,0.9555,0.3301,0.6867,0.7775
29,0.0525,0.9144,0.9545,0.3323,0.6935,0.7838
30,0.0714,0.8935,0.941,0.3504,0.6679,0.7609
31,0.1011,0.8608,0.9197,0.333,0.6858,0.7737
32,0.0956,0.8628,0.9199,0.3312,0.6875,0.7815
33,0.0798,0.8759,0.9311,0.2907,0.7098,0.7979
34,0.0709,0.8883,0.9392,0.3249,0.6955,0.7812
35,0.063,0.8994,0.9458,0.3202,0.7005,0.7873
36,0.0545,0.9081,0.9506,0.3094,0.7103,0.7954
37,0.0511,0.9112,0.9524,0.3165,0.7089,0.7938
38,0.0494,0.9194,0.9569,0.3204,0.7054,0.7907
39,0.0473,0.9212,0.9583,0.3306,0.7074,0.7916
40,0.0431,0.9256,0.9607,0.329,0.7066,0.7918
41,0.0419,0.9286,0.9624,0.324,0.7029,0.7883
42,0.0415,0.924,0.9598,0.3358,0.7028,0.7873
43,0.0407,0.9292,0.9628,0.3334,0.7013,0.7875
44,0.0411,0.9324,0.9646,0.3328,0.7094,0.7933
45,0.0417,0.9221,0.9586,0.3254,0.7038,0.7888
46,0.0396,0.927,0.9614,0.3317,0.707,0.7914
47,0.0391,0.9314,0.964,0.3428,0.7071,0.7904
48,0.0376,0.9322,0.9644,0.3676,0.7053,0.7886
49,0.037,0.9335,0.965,0.3544,0.7074,0.7911
50,0.0358,0.9339,0.9652,0.344,0.7085,0.7919
51,0.0355,0.9352,0.9661,0.3534,0.7107,0.794
52,0.0369,0.9357,0.9664,0.3702,0.7034,0.7867
53,0.0368,0.936,0.9665,0.357,0.7043,0.7884
54,0.0364,0.9316,0.9638,0.3778,0.6974,0.7823
