epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.8002,0.2799,0.374,0.6077,0.4231,0.5294
1,0.4818,0.4918,0.6104,0.5043,0.5032,0.6298
2,0.38,0.5587,0.6725,0.4013,0.5724,0.6908
3,0.2997,0.6237,0.7328,0.3619,0.6081,0.7221
4,0.2535,0.6659,0.7731,0.3508,0.6095,0.7215
5,0.2348,0.6879,0.7868,0.3045,0.6578,0.7605
6,0.2049,0.7162,0.8113,0.3043,0.6723,0.7738
7,0.2016,0.7236,0.8142,0.3106,0.658,0.766
8,0.1835,0.7518,0.8389,0.2598,0.6979,0.7922
9,0.1605,0.7741,0.8551,0.2593,0.7039,0.7957
10,0.1424,0.7921,0.869,0.2498,0.7135,0.8066
11,0.1475,0.7919,0.8694,0.2506,0.7178,0.8076
12,0.1396,0.8008,0.8753,0.2472,0.7243,0.8149
13,0.1299,0.8135,0.8832,0.2756,0.7086,0.7987
14,0.1173,0.8265,0.8925,0.2502,0.7227,0.8131
15,0.1183,0.8275,0.894,0.2639,0.7219,0.8133
16,0.1114,0.8323,0.8973,0.2635,0.7292,0.8175
17,0.1074,0.8347,0.8972,0.2496,0.7325,0.8206
18,0.1033,0.841,0.9019,0.2604,0.7313,0.8166
19,0.1013,0.8433,0.9037,0.2336,0.7409,0.8273
20,0.0949,0.8516,0.9096,0.2614,0.7267,0.8167
21,0.096,0.8505,0.9084,0.2502,0.741,0.8277
22,0.0904,0.864,0.9211,0.2443,0.7452,0.8297
23,0.1,0.8504,0.91,0.2934,0.7186,0.8079
24,0.0957,0.8592,0.9182,0.2404,0.7421,0.8237
25,0.0959,0.8502,0.9067,0.2194,0.7536,0.8369
26,0.0854,0.8662,0.9208,0.2279,0.7591,0.8414
27,0.0795,0.8737,0.9263,0.2296,0.7592,0.8411
28,0.0891,0.8693,0.9236,0.2287,0.7417,0.827
29,0.0823,0.8744,0.9274,0.2326,0.752,0.8339
30,0.0828,0.8722,0.9237,0.2311,0.7558,0.841
31,0.0773,0.8777,0.9276,0.2488,0.7487,0.8318
32,0.0732,0.8866,0.9368,0.237,0.7521,0.8336
33,0.0742,0.888,0.9367,0.23,0.7567,0.8393
34,0.0757,0.8839,0.9316,0.2443,0.7527,0.8373
35,0.0692,0.892,0.9389,0.2365,0.7573,0.8389
36,0.0649,0.8967,0.9425,0.2369,0.7575,0.8378
37,0.0722,0.8891,0.937,0.2471,0.7538,0.8397
38,0.0693,0.8905,0.9382,0.2248,0.7663,0.8485
39,0.0651,0.8983,0.9433,0.2506,0.761,0.8425
40,0.0617,0.9048,0.9483,0.2389,0.7676,0.848
41,0.0604,0.9082,0.9501,0.2188,0.7661,0.8451
42,0.059,0.9023,0.9438,0.2483,0.7684,0.8497
43,0.0684,0.8952,0.9394,0.2616,0.7546,0.8371
44,0.0686,0.8966,0.9423,0.2661,0.7577,0.8381
45,0.0657,0.8983,0.9418,0.2634,0.7596,0.8452
46,0.0648,0.9005,0.9455,0.2384,0.7643,0.8458
47,0.0691,0.8984,0.9433,0.3148,0.7308,0.8151
48,0.0929,0.8893,0.9377,0.2707,0.7371,0.8213
49,0.068,0.8952,0.9409,0.2457,0.7676,0.8459
50,0.0614,0.9028,0.9448,0.2359,0.7651,0.8446
51,0.0543,0.9127,0.9527,0.2473,0.769,0.848
52,0.0545,0.9124,0.9514,0.2416,0.7724,0.8495
53,0.0547,0.9128,0.9516,0.2325,0.7772,0.8563
54,0.0534,0.9149,0.9529,0.2319,0.7758,0.8526
55,0.0509,0.9157,0.9531,0.2472,0.7704,0.8455
56,0.0513,0.9168,0.9541,0.2252,0.781,0.8572
57,0.0512,0.919,0.9559,0.2436,0.7823,0.8616
58,0.0537,0.9146,0.9537,0.2497,0.7614,0.8389
59,0.0547,0.9152,0.953,0.2538,0.7656,0.8454
60,0.0495,0.9193,0.9556,0.2382,0.7653,0.8444
61,0.053,0.9163,0.9541,0.2473,0.7634,0.8414
62,0.0482,0.9235,0.9589,0.2558,0.7643,0.8401
63,0.0531,0.9165,0.9537,0.2421,0.7649,0.8412
64,0.05,0.9201,0.9568,0.2449,0.7655,0.8429
65,0.0526,0.9195,0.9561,0.259,0.7703,0.848
66,0.0509,0.9215,0.9575,0.2458,0.7674,0.8411
67,0.0519,0.9195,0.9564,0.2458,0.7746,0.8517
68,0.0468,0.925,0.9599,0.2451,0.7762,0.8516
69,0.044,0.9293,0.9623,0.2386,0.7819,0.8575
70,0.0495,0.9168,0.9505,0.2433,0.7736,0.8503
71,0.0432,0.9288,0.962,0.2425,0.7782,0.8538
72,0.0423,0.931,0.9622,0.2633,0.7661,0.841
73,0.0456,0.9244,0.9581,0.2437,0.7783,0.8533
74,0.0438,0.9293,0.9621,0.2468,0.778,0.8542
75,0.0413,0.9335,0.9645,0.2393,0.7773,0.8526
76,0.0495,0.9234,0.9575,0.2275,0.7717,0.8493
77,0.0494,0.9236,0.9588,0.2394,0.7738,0.8479
78,0.0431,0.9322,0.9641,0.2358,0.7758,0.8519
