epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.6083,0.5019,0.6175,0.4585,0.6346,0.7503
1,0.3957,0.6494,0.7586,0.3937,0.677,0.7914
2,0.3042,0.7181,0.8174,0.3885,0.6989,0.7983
3,0.2384,0.7628,0.8502,0.3329,0.748,0.8413
4,0.1944,0.7953,0.8729,0.3298,0.7515,0.842
5,0.1682,0.8139,0.8871,0.3137,0.7677,0.8546
6,0.1565,0.8304,0.8988,0.307,0.7712,0.856
7,0.1483,0.8308,0.8977,0.3258,0.765,0.852
8,0.1401,0.8423,0.9055,0.336,0.769,0.8536
9,0.1207,0.8556,0.9146,0.339,0.7824,0.8628
10,0.1116,0.8682,0.924,0.3044,0.7818,0.863
11,0.1064,0.871,0.9254,0.325,0.7905,0.8691
12,0.1044,0.8766,0.9303,0.3052,0.7929,0.8704
13,0.1055,0.8788,0.9322,0.3325,0.787,0.865
14,0.1015,0.8778,0.9304,0.33,0.792,0.8698
15,0.0985,0.8819,0.9329,0.3301,0.7857,0.865
16,0.1116,0.8727,0.9261,0.3221,0.7841,0.8633
17,0.0887,0.8929,0.9408,0.3342,0.7952,0.8716
18,0.0812,0.8994,0.9439,0.3175,0.8009,0.8751
19,0.0763,0.9045,0.9468,0.3411,0.8052,0.8783
20,0.0725,0.9085,0.9496,0.3137,0.8012,0.8752
21,0.0697,0.9093,0.9497,0.3602,0.8061,0.8795
22,0.0673,0.9124,0.9515,0.352,0.8079,0.8804
23,0.0722,0.9092,0.95,0.3691,0.8092,0.8819
24,0.0713,0.9126,0.9526,0.3286,0.8008,0.8735
25,0.0742,0.9096,0.9508,0.3521,0.8088,0.8803
26,0.0681,0.9119,0.9509,0.3735,0.8052,0.8787
27,0.0894,0.8974,0.9419,0.388,0.8023,0.8762
28,0.1018,0.8882,0.9347,0.332,0.8045,0.8748
29,0.0868,0.8973,0.9419,0.4061,0.788,0.8634
30,0.0744,0.9094,0.9505,0.3795,0.7984,0.8719
31,0.1045,0.8877,0.9353,0.3399,0.7969,0.8726
32,0.0831,0.8991,0.9436,0.3296,0.8129,0.8831
33,0.0758,0.9068,0.9479,0.345,0.8016,0.8756
34,0.0674,0.9139,0.9523,0.3487,0.8059,0.8779
35,0.0701,0.9124,0.951,0.3312,0.808,0.8796
36,0.0588,0.9238,0.9585,0.3407,0.8148,0.8839
37,0.0617,0.9219,0.9575,0.3295,0.8138,0.8833
38,0.0583,0.9254,0.9595,0.3852,0.8055,0.8771
39,0.0558,0.9274,0.9603,0.4554,0.8077,0.8781
40,0.0554,0.9299,0.9626,0.3983,0.8102,0.88
41,0.0608,0.9241,0.9587,0.4134,0.8036,0.8762
42,0.091,0.9029,0.9455,0.3639,0.7826,0.8595
43,0.0633,0.9221,0.9573,0.3813,0.8038,0.877
44,0.0629,0.9238,0.9588,0.4316,0.793,0.8686
45,0.0645,0.9229,0.958,0.3535,0.806,0.8781
46,0.0633,0.9233,0.9587,0.3748,0.8141,0.8842
47,0.0655,0.9188,0.955,0.4644,0.7726,0.8525
48,0.087,0.9026,0.9443,0.3639,0.8055,0.8766
49,0.0584,0.9245,0.9578,0.3837,0.8036,0.8746
50,0.0621,0.9241,0.959,0.3747,0.8032,0.8734
51,0.0533,0.9304,0.9625,0.3691,0.8133,0.8828
52,0.0705,0.9141,0.9523,0.3728,0.8104,0.8801
53,0.0544,0.9303,0.9627,0.4093,0.8096,0.8784
54,0.0493,0.9358,0.966,0.4036,0.816,0.8836
55,0.046,0.9388,0.967,0.4178,0.8188,0.8855
56,0.0446,0.9421,0.9696,0.4313,0.8162,0.8841
57,0.0443,0.9411,0.9686,0.4234,0.818,0.8854
58,0.0551,0.9298,0.9613,0.4124,0.8124,0.8827
59,0.0605,0.9289,0.962,0.4316,0.815,0.8823
