epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.0035,0.2114,0.2867,0.682,0.4387,0.5757
1,0.7283,0.4282,0.5581,0.6222,0.4729,0.6065
2,0.5963,0.5015,0.6374,0.6118,0.474,0.6093
3,0.5495,0.5326,0.6581,0.5949,0.4855,0.62
4,0.4933,0.5515,0.6738,0.5137,0.5354,0.664
5,0.4109,0.5955,0.717,0.5128,0.5452,0.672
6,0.3777,0.6244,0.742,0.5293,0.5396,0.6692
7,0.3321,0.6537,0.7668,0.4791,0.5617,0.6835
8,0.3067,0.6717,0.7812,0.5308,0.5409,0.6639
9,0.2908,0.6894,0.7973,0.5084,0.5525,0.6748
10,0.2827,0.694,0.7996,0.4958,0.5613,0.6814
11,0.2678,0.7177,0.822,0.5382,0.5458,0.6767
12,0.2464,0.7265,0.828,0.5177,0.5611,0.6833
13,0.2549,0.7233,0.824,0.5024,0.5743,0.697
14,0.2243,0.7454,0.8441,0.5026,0.5669,0.6915
15,0.2443,0.734,0.8338,0.5269,0.5527,0.6777
16,0.2292,0.7457,0.8438,0.5002,0.5791,0.7025
17,0.2202,0.7578,0.8548,0.4961,0.5784,0.7002
18,0.2071,0.7644,0.8561,0.5231,0.5667,0.6908
19,0.2016,0.774,0.8631,0.5059,0.5776,0.7006
20,0.1975,0.7705,0.86,0.5152,0.5719,0.6935
21,0.1966,0.7695,0.8565,0.5044,0.5797,0.7023
22,0.1835,0.788,0.8731,0.5139,0.5758,0.6983
23,0.1888,0.7828,0.8686,0.5146,0.5822,0.7055
24,0.1711,0.7976,0.8785,0.5121,0.5786,0.7012
25,0.182,0.7962,0.8773,0.4985,0.5916,0.7122
26,0.1713,0.7989,0.8805,0.5023,0.5908,0.7095
27,0.1613,0.8067,0.8848,0.5193,0.5834,0.7021
28,0.1625,0.8113,0.8892,0.5444,0.5732,0.6932
29,0.157,0.8175,0.8935,0.5184,0.5908,0.7101
30,0.1518,0.8262,0.9005,0.5207,0.5821,0.702
31,0.1497,0.8263,0.9014,0.5151,0.5887,0.704
32,0.1485,0.8304,0.9041,0.5164,0.5868,0.7007
33,0.1483,0.8237,0.8997,0.5535,0.5767,0.6928
34,0.148,0.8247,0.8973,0.5237,0.5931,0.7108
35,0.1461,0.8293,0.9034,0.5081,0.594,0.71
36,0.1398,0.8422,0.9096,0.4884,0.6069,0.7224
37,0.1338,0.8488,0.9167,0.5101,0.6002,0.7158
38,0.1352,0.843,0.9099,0.5099,0.6015,0.7179
39,0.1338,0.8515,0.918,0.537,0.5916,0.7067
40,0.1257,0.8554,0.9204,0.5518,0.584,0.701
41,0.1318,0.8522,0.9182,0.5423,0.5902,0.7081
42,0.1195,0.8551,0.9192,0.551,0.5876,0.7042
43,0.1215,0.8599,0.923,0.5402,0.5981,0.7151
44,0.1251,0.8552,0.9184,0.5401,0.5997,0.717
45,0.1224,0.8544,0.9165,0.5359,0.5918,0.7106
46,0.1214,0.8577,0.9218,0.5318,0.5984,0.7171
47,0.1205,0.8619,0.924,0.5297,0.5986,0.7163
48,0.1203,0.8617,0.9235,0.5414,0.5923,0.7096
49,0.1206,0.856,0.9201,0.5037,0.6047,0.7193
50,0.1105,0.8688,0.9284,0.5204,0.6109,0.7253
51,0.1109,0.8636,0.9236,0.5244,0.6065,0.7213
52,0.117,0.8678,0.9273,0.5453,0.5966,0.7134
53,0.1167,0.864,0.9251,0.54,0.6081,0.7213
54,0.1203,0.8636,0.9251,0.532,0.6067,0.7216
55,0.1126,0.8707,0.9298,0.5436,0.6017,0.7162
56,0.1089,0.8766,0.9331,0.5681,0.5951,0.7112
57,0.1052,0.8777,0.9337,0.5455,0.6056,0.7187
58,0.112,0.8753,0.9323,0.547,0.6024,0.7182
59,0.1121,0.8724,0.9308,0.5712,0.5985,0.7153
60,0.1071,0.8762,0.9324,0.569,0.5983,0.7157
61,0.1023,0.879,0.9345,0.5465,0.6023,0.7197
62,0.1032,0.88,0.9351,0.5556,0.6061,0.7241
63,0.0944,0.8848,0.9375,0.5434,0.6111,0.7257
64,0.0962,0.8858,0.9379,0.5526,0.6054,0.7217
65,0.0921,0.8918,0.942,0.5596,0.6059,0.7222
66,0.0952,0.8899,0.9409,0.5746,0.6019,0.7178
67,0.0986,0.8861,0.9379,0.5646,0.6022,0.7184
68,0.0899,0.8944,0.9435,0.5737,0.6029,0.7187
69,0.0908,0.8927,0.9425,0.5901,0.5971,0.7151
70,0.089,0.8944,0.9433,0.5879,0.6043,0.7203
71,0.0832,0.8984,0.9458,0.5971,0.6033,0.7183
72,0.0895,0.8924,0.9418,0.5992,0.5944,0.7117
73,0.0894,0.8965,0.9446,0.608,0.6005,0.7168
74,0.0902,0.8913,0.9413,0.6002,0.6058,0.723
75,0.0925,0.8941,0.9435,0.611,0.5951,0.7153
76,0.0883,0.8955,0.9441,0.6056,0.5938,0.7132
77,0.0868,0.8924,0.9411,0.601,0.5984,0.7166
78,0.089,0.8972,0.945,0.6262,0.5919,0.7086
79,0.0865,0.895,0.9432,0.5988,0.6069,0.7229
80,0.0858,0.895,0.9413,0.6029,0.6072,0.7222
81,0.0855,0.8943,0.9431,0.6336,0.5999,0.7187
82,0.0831,0.9024,0.948,0.6282,0.6122,0.7269
83,0.0874,0.895,0.9428,0.6296,0.6057,0.7212
84,0.0866,0.893,0.9423,0.6073,0.602,0.7204
85,0.0823,0.9014,0.9476,0.6169,0.6034,0.7199
86,0.084,0.8988,0.9458,0.6182,0.5953,0.7138
87,0.0791,0.9088,0.9517,0.6523,0.5964,0.7149
88,0.0767,0.9064,0.9504,0.6336,0.6051,0.7217
89,0.0806,0.9019,0.9476,0.6286,0.5945,0.7141
90,0.0824,0.9011,0.9472,0.6303,0.5907,0.7097
91,0.0763,0.9081,0.9512,0.6415,0.5968,0.7157
92,0.0729,0.9097,0.9516,0.6529,0.5991,0.7166
93,0.0725,0.9104,0.9524,0.665,0.5938,0.7116
94,0.0721,0.9132,0.9541,0.6189,0.6032,0.7196
95,0.0656,0.9202,0.958,0.6623,0.5969,0.7143
96,0.0807,0.901,0.9464,0.6219,0.5997,0.7173
97,0.0809,0.9038,0.9487,0.6564,0.6003,0.7176
98,0.0704,0.9129,0.954,0.6308,0.6056,0.7215
99,0.0758,0.9077,0.9508,0.6402,0.601,0.7187
