epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.632,0.4854,0.6081,0.3691,0.6215,0.7299
1,0.2661,0.7062,0.8041,0.2773,0.71,0.8047
2,0.1516,0.8054,0.8777,0.2295,0.7395,0.82
3,0.1116,0.8536,0.9113,0.206,0.7676,0.8448
4,0.0865,0.8761,0.928,0.1808,0.7814,0.8568
5,0.0676,0.8985,0.943,0.1849,0.7686,0.8468
6,0.0647,0.9011,0.9443,0.1757,0.7952,0.8653
7,0.0527,0.916,0.9525,0.191,0.7916,0.863
8,0.0473,0.9257,0.9598,0.211,0.7912,0.8636
9,0.0419,0.9321,0.964,0.199,0.78,0.8498
10,0.0414,0.9336,0.9649,0.1943,0.8016,0.8705
11,0.0409,0.9401,0.9685,0.2047,0.795,0.8665
12,0.0355,0.9447,0.9711,0.2076,0.7968,0.869
13,0.0352,0.944,0.9703,0.2082,0.8062,0.8774
14,0.0313,0.9499,0.9737,0.2151,0.7979,0.8661
15,0.0293,0.9522,0.9749,0.2153,0.8066,0.8774
16,0.0293,0.9536,0.9759,0.2073,0.8081,0.8779
17,0.0291,0.954,0.9762,0.2339,0.8029,0.8741
18,0.0261,0.9595,0.9792,0.2168,0.8083,0.8782
19,0.0251,0.9607,0.9797,0.2345,0.8063,0.8767
20,0.0249,0.96,0.9793,0.2379,0.8032,0.8739
21,0.024,0.9615,0.9802,0.2371,0.8094,0.8789
22,0.0224,0.9656,0.9824,0.2292,0.8062,0.8774
23,0.0227,0.9646,0.9818,0.234,0.8068,0.8761
24,0.0211,0.9667,0.983,0.244,0.8058,0.8758
25,0.0191,0.9699,0.9846,0.2484,0.8083,0.8766
26,0.0188,0.9701,0.9847,0.2673,0.8055,0.8752
27,0.0182,0.9702,0.9847,0.2525,0.8092,0.8779
28,0.0169,0.9733,0.9864,0.2607,0.807,0.8762
29,0.0167,0.9735,0.9865,0.2593,0.8129,0.8816
30,0.0159,0.9753,0.9874,0.2768,0.8026,0.8725
31,0.0154,0.9759,0.9877,0.2818,0.8076,0.8769
32,0.0161,0.9756,0.9876,0.2788,0.8077,0.8765
33,0.0158,0.9749,0.9872,0.2786,0.8061,0.8758
34,0.0165,0.974,0.9868,0.2617,0.8065,0.876
35,0.0151,0.9758,0.9877,0.2847,0.8069,0.8761
36,0.0135,0.9787,0.9892,0.2895,0.8073,0.8759
37,0.0125,0.9799,0.9898,0.3061,0.8079,0.8762
38,0.0125,0.9803,0.99,0.3034,0.8038,0.874
39,0.0128,0.9792,0.9894,0.3044,0.8067,0.8759
40,0.0126,0.9803,0.99,0.304,0.8079,0.8779
41,0.0117,0.9821,0.9909,0.3164,0.8086,0.8783
42,0.0113,0.9821,0.9909,0.3195,0.8083,0.8779
43,0.0109,0.9832,0.9915,0.3271,0.811,0.8793
44,0.0101,0.9844,0.9921,0.3081,0.8069,0.8768
45,0.0103,0.9837,0.9917,0.3368,0.8033,0.8729
46,0.0101,0.9838,0.9918,0.3361,0.8103,0.8794
47,0.0101,0.9837,0.9917,0.315,0.8088,0.8781
48,0.01,0.9842,0.992,0.3198,0.8051,0.8756
49,0.0085,0.9867,0.9933,0.3358,0.807,0.8767
50,0.0076,0.9884,0.9941,0.3514,0.809,0.8784
