epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.4877,0.652,0.7576,0.3632,0.7652,0.8538
1,0.2348,0.8056,0.8787,0.3299,0.7565,0.8504
2,0.1667,0.8463,0.9079,0.2756,0.8188,0.8871
3,0.1177,0.8829,0.9329,0.2316,0.8285,0.8971
4,0.0909,0.9038,0.9469,0.2267,0.8456,0.9071
5,0.0715,0.9185,0.9554,0.2085,0.8469,0.9095
6,0.061,0.9288,0.9618,0.2311,0.8452,0.9065
7,0.0483,0.9404,0.9687,0.2298,0.8541,0.9131
8,0.0434,0.9459,0.9717,0.2399,0.8528,0.9131
9,0.0397,0.9499,0.9739,0.2387,0.8569,0.9159
10,0.0348,0.9548,0.9765,0.242,0.8554,0.9144
11,0.0322,0.9586,0.9786,0.2557,0.8532,0.9132
12,0.0301,0.9613,0.9801,0.2561,0.8571,0.9161
13,0.028,0.9633,0.9811,0.2551,0.8549,0.9136
14,0.0264,0.9652,0.9821,0.2768,0.8491,0.9089
15,0.0242,0.9677,0.9834,0.2805,0.8529,0.9124
16,0.0218,0.9705,0.9849,0.2913,0.8522,0.9119
17,0.0202,0.9729,0.9862,0.3023,0.8514,0.9114
18,0.0192,0.9742,0.9868,0.2969,0.854,0.9127
19,0.0175,0.9764,0.988,0.3132,0.8528,0.9125
20,0.0171,0.9775,0.9886,0.3205,0.8523,0.9115
21,0.0168,0.9773,0.9885,0.3086,0.8563,0.9147
22,0.0149,0.9798,0.9897,0.3262,0.8542,0.9131
23,0.0133,0.982,0.9909,0.3663,0.8504,0.9106
24,0.013,0.9821,0.9909,0.3685,0.854,0.9126
25,0.0131,0.982,0.9909,0.3761,0.8564,0.9141
26,0.0131,0.982,0.9909,0.3592,0.8555,0.9133
27,0.012,0.9836,0.9917,0.3756,0.8551,0.9135
28,0.0112,0.9847,0.9923,0.407,0.8548,0.9131
29,0.0106,0.9853,0.9926,0.419,0.8547,0.913
30,0.0108,0.9849,0.9923,0.4354,0.8561,0.9141
31,0.0108,0.9851,0.9925,0.4374,0.8559,0.9135
32,0.0104,0.9855,0.9926,0.4335,0.8546,0.913
33,0.0095,0.9869,0.9934,0.4606,0.8548,0.913
