epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.7759,0.4189,0.5308,0.4331,0.5822,0.6888
1,0.4131,0.6382,0.7447,0.3464,0.6633,0.7654
2,0.2978,0.7119,0.8096,0.3735,0.6238,0.7306
3,0.2609,0.7488,0.8401,0.282,0.7192,0.8021
4,0.1726,0.7968,0.875,0.2705,0.7211,0.8054
5,0.1555,0.8161,0.8907,0.2703,0.721,0.8044
6,0.1305,0.8388,0.9057,0.2598,0.7427,0.8187
7,0.1106,0.8485,0.9131,0.3228,0.7044,0.7873
8,0.1224,0.857,0.9155,0.2853,0.7325,0.8131
9,0.0917,0.8738,0.9285,0.277,0.7336,0.8084
10,0.0737,0.885,0.9331,0.2739,0.7359,0.8102
11,0.0652,0.8952,0.9415,0.2795,0.7379,0.8124
12,0.0625,0.8995,0.9442,0.2856,0.7402,0.8142
13,0.0509,0.9089,0.9494,0.287,0.7435,0.8156
14,0.0489,0.9174,0.9544,0.3144,0.7351,0.8098
15,0.0508,0.9182,0.955,0.2976,0.7265,0.8046
16,0.0489,0.9179,0.9551,0.3303,0.7331,0.808
17,0.0423,0.9272,0.9609,0.3329,0.7327,0.8086
18,0.0371,0.938,0.9677,0.3272,0.741,0.8149
19,0.0342,0.9394,0.9684,0.3844,0.734,0.8098
20,0.0332,0.9445,0.9712,0.4148,0.7249,0.8041
21,0.0343,0.9405,0.969,0.3897,0.7437,0.8182
22,0.0318,0.9449,0.9714,0.3912,0.7376,0.8123
23,0.0298,0.9496,0.974,0.4456,0.7372,0.8122
24,0.0267,0.9552,0.9769,0.453,0.7299,0.8071
25,0.0244,0.9574,0.978,0.4666,0.7336,0.8098
26,0.0263,0.9555,0.9771,0.4673,0.7368,0.8123
27,0.027,0.9515,0.975,0.4671,0.7389,0.8137
