epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.9648,0.3343,0.4558,0.6613,0.4754,0.6111
1,0.5792,0.5637,0.6906,0.5359,0.5445,0.6726
2,0.415,0.6505,0.7682,0.4817,0.595,0.7103
3,0.2998,0.7168,0.8198,0.4679,0.6348,0.7487
4,0.2471,0.7573,0.8532,0.4689,0.6267,0.739
5,0.2021,0.7892,0.8764,0.4559,0.6401,0.748
6,0.1704,0.8223,0.8979,0.461,0.6402,0.7467
7,0.1384,0.8455,0.9123,0.4718,0.6483,0.7549
8,0.1115,0.8722,0.9283,0.462,0.6607,0.7683
9,0.1033,0.8796,0.9331,0.4903,0.6497,0.7566
10,0.0962,0.8875,0.9387,0.5313,0.6423,0.7508
11,0.0889,0.8986,0.9458,0.4961,0.6513,0.758
12,0.0788,0.9049,0.9492,0.5083,0.6532,0.7604
13,0.0696,0.9172,0.9563,0.5254,0.6498,0.7566
14,0.0637,0.9242,0.9603,0.5317,0.6543,0.7597
15,0.0538,0.9327,0.9648,0.5602,0.6503,0.7558
16,0.0481,0.942,0.9699,0.5772,0.6504,0.756
17,0.0476,0.9433,0.9706,0.6023,0.6467,0.7532
18,0.0462,0.9442,0.9712,0.6093,0.6473,0.7539
19,0.0464,0.9405,0.9689,0.6039,0.644,0.7516
20,0.0467,0.9413,0.9695,0.6059,0.6479,0.7545
21,0.0404,0.951,0.9747,0.6002,0.6484,0.755
22,0.0355,0.9561,0.9775,0.5931,0.6548,0.7615
23,0.0324,0.9608,0.9799,0.6485,0.6517,0.7561
24,0.0306,0.9625,0.9808,0.6956,0.644,0.7508
25,0.0294,0.9647,0.982,0.7202,0.647,0.7543
26,0.0282,0.9655,0.9824,0.7184,0.6451,0.7527
27,0.028,0.9653,0.9822,0.7168,0.6505,0.7567
28,0.0255,0.9684,0.9839,0.747,0.6506,0.758
29,0.0244,0.9706,0.985,0.7417,0.6489,0.7551
