epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.9856,0.4066,0.5194,0.6786,0.5171,0.6443
1,0.4455,0.671,0.7752,0.4632,0.571,0.6743
2,0.2938,0.7566,0.8391,0.3554,0.6933,0.7837
3,0.21,0.8053,0.8744,0.2996,0.7278,0.8099
4,0.1731,0.8221,0.8877,0.2679,0.7444,0.8256
5,0.149,0.8377,0.8959,0.2326,0.7465,0.8247
6,0.1355,0.8471,0.905,0.271,0.7343,0.8174
7,0.1069,0.8696,0.9192,0.2177,0.7685,0.844
8,0.0934,0.8792,0.9243,0.2194,0.7714,0.8456
9,0.0868,0.8869,0.9306,0.1874,0.7912,0.8615
10,0.0738,0.9033,0.9415,0.1863,0.7881,0.8597
11,0.0676,0.9102,0.9462,0.1753,0.8009,0.8695
12,0.0611,0.9178,0.9524,0.1863,0.7979,0.869
13,0.0561,0.9241,0.9558,0.1775,0.8013,0.87
14,0.0525,0.9267,0.9572,0.1704,0.8081,0.8756
15,0.0511,0.9321,0.963,0.179,0.8039,0.8715
16,0.0492,0.9342,0.964,0.1775,0.8001,0.8682
17,0.0461,0.9374,0.9659,0.1687,0.8123,0.8787
18,0.0427,0.9414,0.9684,0.1747,0.806,0.8729
19,0.0415,0.9419,0.9684,0.1816,0.8071,0.8752
20,0.0403,0.9446,0.9706,0.1795,0.8103,0.8773
21,0.0377,0.9466,0.9716,0.1834,0.8105,0.8771
22,0.0362,0.9492,0.9733,0.1774,0.8108,0.8777
23,0.0352,0.9519,0.9749,0.1904,0.8086,0.8763
24,0.0352,0.9504,0.974,0.1979,0.7967,0.8684
25,0.036,0.9501,0.9739,0.1945,0.8039,0.8725
26,0.0332,0.951,0.9731,0.1839,0.8158,0.8815
27,0.0308,0.9559,0.9767,0.1897,0.8126,0.8795
28,0.0308,0.9567,0.9773,0.1885,0.8141,0.881
29,0.0306,0.9553,0.9767,0.1924,0.8166,0.8809
30,0.0285,0.9589,0.9787,0.1925,0.8101,0.876
31,0.0278,0.9605,0.9795,0.1868,0.816,0.882
32,0.0261,0.9624,0.9806,0.1987,0.8148,0.8813
33,0.0265,0.9611,0.9798,0.2007,0.8114,0.8775
34,0.0257,0.9636,0.9813,0.2006,0.815,0.8819
35,0.0243,0.9649,0.9819,0.2009,0.8141,0.8799
36,0.0232,0.9675,0.9833,0.1945,0.8164,0.8818
37,0.0227,0.968,0.9836,0.2027,0.8198,0.885
38,0.0228,0.9684,0.9838,0.2024,0.8149,0.8794
39,0.0229,0.967,0.9831,0.2012,0.8137,0.8785
40,0.0229,0.9675,0.9833,0.1991,0.8205,0.8855
41,0.0218,0.9682,0.9837,0.2094,0.8188,0.8841
42,0.0212,0.9695,0.9843,0.2046,0.8161,0.8826
43,0.2848,0.7819,0.8462,0.8608,0.2512,0.3147
44,0.3147,0.6969,0.7895,0.3998,0.6273,0.7319
45,0.2069,0.7758,0.8489,0.3477,0.6691,0.7761
46,0.1324,0.8359,0.8973,0.2048,0.7536,0.8244
47,0.0886,0.8706,0.9201,0.1933,0.7813,0.8535
48,0.0708,0.8931,0.9345,0.1905,0.7877,0.8565
49,0.0634,0.9064,0.946,0.1885,0.7947,0.864
50,0.0594,0.9113,0.9487,0.1665,0.7978,0.8649
51,0.0542,0.9191,0.9534,0.2774,0.7424,0.8192
52,0.0623,0.9081,0.9465,0.1904,0.7801,0.8498
53,0.0472,0.9259,0.9582,0.1762,0.7974,0.8652
54,0.0378,0.9384,0.9659,0.1704,0.8123,0.8777
55,0.0333,0.9467,0.9706,0.1718,0.8116,0.8768
56,0.0296,0.9527,0.9741,0.1838,0.8099,0.8764
57,0.0282,0.9561,0.9764,0.1862,0.8126,0.8785
58,0.0257,0.9601,0.9793,0.1891,0.8112,0.8763
59,0.025,0.9607,0.9785,0.1926,0.8087,0.8749
60,0.0236,0.9639,0.9813,0.1884,0.8123,0.8784
61,0.0227,0.9641,0.9815,0.1997,0.8074,0.8751
