epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.375,0.7311,0.8223,0.4122,0.7176,0.8103
1,0.2148,0.8144,0.8892,0.4507,0.6799,0.7785
2,0.1757,0.8306,0.9005,0.3169,0.7593,0.8474
3,0.1552,0.8458,0.9116,0.489,0.7262,0.8185
4,0.168,0.8391,0.9067,0.4165,0.7529,0.8405
5,0.1343,0.8619,0.9227,0.3694,0.7626,0.8457
6,0.1171,0.8749,0.9312,0.3906,0.7456,0.8353
7,0.1077,0.8818,0.9353,0.392,0.7642,0.8494
8,0.0939,0.8942,0.9429,0.3596,0.7822,0.864
9,0.0943,0.8938,0.9425,0.4212,0.7667,0.8515
10,0.0928,0.8977,0.944,0.4658,0.6417,0.7366
11,0.1653,0.8491,0.912,0.4315,0.7109,0.8009
12,0.1027,0.8879,0.939,0.4102,0.767,0.8519
13,0.0816,0.9057,0.9495,0.405,0.7717,0.8544
14,0.0749,0.9112,0.9525,0.4229,0.7692,0.8525
15,0.0681,0.9183,0.9567,0.4681,0.7624,0.8485
16,0.0626,0.9245,0.9602,0.3959,0.7782,0.861
17,0.0574,0.929,0.9626,0.4428,0.7737,0.857
18,0.0545,0.9325,0.9646,0.4427,0.7805,0.8608
19,0.0532,0.934,0.9654,0.4586,0.7745,0.8565
20,0.0513,0.9351,0.9659,0.5179,0.7574,0.8407
21,0.0491,0.9391,0.9682,0.4507,0.7816,0.8608
22,0.049,0.939,0.9681,0.4836,0.7719,0.8551
23,0.0463,0.9422,0.9699,0.4899,0.7799,0.8605
24,0.0446,0.9438,0.9708,0.4969,0.7679,0.8504
25,0.0433,0.9445,0.9712,0.5083,0.7756,0.8574
26,0.0416,0.947,0.9725,0.4948,0.7736,0.855
27,0.0388,0.9501,0.9741,0.5009,0.7715,0.8531
28,0.0372,0.9514,0.9748,0.5061,0.7772,0.8589
29,0.0361,0.9533,0.9759,0.5258,0.7735,0.8553
