epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.9594,0.4072,0.5309,0.6701,0.531,0.6675
1,0.5016,0.6093,0.7395,0.4106,0.585,0.7225
2,0.3264,0.6622,0.7797,0.3159,0.6537,0.7631
3,0.24,0.6967,0.8162,0.2562,0.6935,0.7976
4,0.1972,0.7314,0.855,0.2816,0.6632,0.7763
5,0.1609,0.7486,0.8632,0.2183,0.655,0.7893
6,0.1394,0.7656,0.8843,0.1916,0.7081,0.8283
7,0.1168,0.7981,0.9167,0.1763,0.7153,0.8261
8,0.1156,0.8135,0.9289,0.1703,0.7194,0.8239
9,0.0869,0.8304,0.9412,0.1595,0.7263,0.8313
10,0.0806,0.8504,0.9631,0.1701,0.7364,0.8433
11,0.0718,0.8609,0.9733,0.1572,0.74,0.8577
12,0.0699,0.8721,0.9853,0.1551,0.7351,0.8453
13,0.0685,0.8655,0.9772,0.1555,0.7401,0.8488
14,0.0671,0.8705,0.9847,0.1616,0.719,0.8302
15,0.0661,0.8576,0.9637,0.1549,0.7318,0.8291
16,0.057,0.8839,0.9941,0.149,0.7269,0.8256
17,0.0523,0.8961,1.0018,0.1522,0.731,0.8308
18,0.0506,0.8981,1.0034,0.1581,0.7384,0.8322
19,0.0541,0.8814,0.9831,0.1668,0.7082,0.8209
20,0.0598,0.8661,0.968,0.155,0.723,0.8203
21,0.0528,0.8902,0.9963,0.1471,0.7309,0.8275
22,0.0495,0.8967,1.0007,0.1501,0.7229,0.8185
23,0.0492,0.8954,0.999,0.1506,0.7314,0.8347
24,0.0653,0.8885,0.9933,0.1725,0.7172,0.8322
25,0.1704,0.7519,0.8617,0.2687,0.6838,0.7888
26,0.1559,0.7334,0.84,0.1759,0.6941,0.8047
27,0.0874,0.8124,0.9138,0.1512,0.7311,0.8404
28,0.0652,0.8599,0.9648,0.1444,0.7314,0.8335
29,0.0538,0.8833,0.9894,0.1405,0.7398,0.8477
30,0.0481,0.8941,0.9959,0.145,0.7347,0.84
31,0.0455,0.8985,0.9978,0.1543,0.7331,0.845
32,0.0545,0.8742,0.9762,0.1687,0.7088,0.8331
