epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.4866,0.1219,0.2028,1.4096,0.1753,0.275
1,1.2163,0.345,0.4635,1.0685,0.3307,0.4586
2,0.8545,0.4711,0.593,0.7549,0.4729,0.5899
3,0.5544,0.5869,0.7029,0.5468,0.5508,0.669
4,0.4083,0.643,0.7541,0.4709,0.5604,0.6705
5,0.3415,0.6798,0.7872,0.3667,0.6345,0.7373
6,0.2583,0.7388,0.832,0.3382,0.6578,0.7608
7,0.2492,0.7363,0.8307,0.3359,0.6759,0.7734
8,0.1938,0.7779,0.8601,0.3159,0.6805,0.7725
9,0.1833,0.7875,0.8648,0.3382,0.6544,0.7553
10,0.15,0.8107,0.8809,0.3255,0.6435,0.7541
11,0.1335,0.8316,0.8991,0.2592,0.7061,0.7946
12,0.1143,0.8497,0.9088,0.2407,0.7417,0.8335
13,0.1099,0.8546,0.9141,0.2315,0.7464,0.8285
14,0.1053,0.8585,0.9157,0.2244,0.7436,0.8239
15,0.0911,0.8737,0.9268,0.2205,0.758,0.8413
16,0.0831,0.8864,0.9361,0.2065,0.7649,0.8456
17,0.0795,0.8894,0.9374,0.2171,0.757,0.8371
18,0.0749,0.8958,0.9419,0.2341,0.749,0.8318
19,0.0771,0.8928,0.9399,0.2087,0.7615,0.8435
20,0.0775,0.89,0.9388,0.2194,0.7545,0.8332
21,0.0728,0.8928,0.94,0.2242,0.7577,0.8354
22,0.0682,0.9024,0.9462,0.2329,0.7581,0.8372
23,0.0694,0.9011,0.9455,0.2357,0.7585,0.838
24,0.0692,0.9002,0.9446,0.2195,0.765,0.8434
25,0.065,0.9058,0.9482,0.2209,0.7642,0.8423
26,0.0602,0.9122,0.952,0.2396,0.7618,0.8403
27,0.0592,0.9104,0.9503,0.2631,0.7477,0.8267
28,0.0583,0.9162,0.9545,0.2546,0.7497,0.8275
29,0.0572,0.9159,0.9542,0.241,0.7584,0.8334
30,0.0553,0.9176,0.9551,0.2427,0.7585,0.8395
31,0.1886,0.8129,0.878,0.9554,0.4885,0.6108
32,0.2811,0.7101,0.8016,0.4698,0.54,0.6379
33,0.183,0.7806,0.8562,0.3309,0.664,0.752
34,0.1463,0.8131,0.8806,0.3052,0.6889,0.7708
35,0.0991,0.8611,0.9178,0.2385,0.7323,0.8088
36,0.0758,0.887,0.9363,0.2251,0.7528,0.8316
37,0.063,0.9057,0.9481,0.2818,0.7342,0.8144
