epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.7654,0.566,0.6812,0.5062,0.6712,0.7823
1,0.3241,0.738,0.8339,0.4139,0.708,0.8062
2,0.25,0.7768,0.8631,0.4867,0.6987,0.8021
3,0.2092,0.8007,0.8822,0.363,0.7265,0.8225
4,0.2021,0.8061,0.8841,0.5637,0.6821,0.7798
5,0.1707,0.8265,0.8991,0.4326,0.7257,0.8233
6,0.1429,0.8454,0.9121,0.5364,0.7076,0.8026
7,0.1291,0.8562,0.9193,0.4174,0.7473,0.8412
8,0.1655,0.8362,0.9053,0.4162,0.7389,0.8356
9,0.1564,0.8376,0.9063,0.4586,0.7184,0.8156
10,0.1312,0.8556,0.9186,0.3841,0.7369,0.8327
11,0.1145,0.8709,0.9288,0.5761,0.7154,0.8123
12,0.0963,0.8857,0.9379,0.433,0.7416,0.836
13,0.0905,0.8904,0.9406,0.4566,0.75,0.8432
14,0.0837,0.8969,0.9444,0.4576,0.7336,0.8286
15,0.0765,0.9051,0.9491,0.4611,0.7476,0.8395
16,0.0732,0.9079,0.9508,0.5655,0.7161,0.8109
17,0.0718,0.9094,0.9517,0.5684,0.727,0.8167
18,0.0678,0.9142,0.9543,0.4902,0.7495,0.8395
19,0.0641,0.9177,0.9563,0.4786,0.7567,0.8443
20,0.0605,0.9222,0.9587,0.5102,0.7442,0.8319
21,0.0596,0.9231,0.9594,0.4997,0.753,0.8427
22,0.1625,0.8524,0.9121,0.4839,0.6865,0.78
23,0.1483,0.8513,0.9152,0.4339,0.736,0.8269
24,0.0927,0.8905,0.9404,0.4544,0.7305,0.8224
25,0.0717,0.9108,0.9522,0.4831,0.7431,0.8308
26,0.0608,0.923,0.9593,0.5301,0.7329,0.8227
27,0.0561,0.9273,0.9617,0.5232,0.7393,0.8282
28,0.0529,0.9316,0.9641,0.5314,0.7428,0.8311
29,0.0502,0.9349,0.9659,0.4992,0.7528,0.8408
30,0.0505,0.9335,0.9651,0.5602,0.7411,0.8281
31,0.0487,0.9358,0.9664,0.5795,0.7439,0.831
32,0.0472,0.9383,0.9678,0.5143,0.7397,0.8279
33,0.0488,0.9367,0.9669,0.7373,0.7103,0.7984
34,0.0483,0.9366,0.9668,0.666,0.7284,0.8164
35,0.0454,0.9394,0.9684,0.5841,0.7388,0.8255
36,0.1168,0.8838,0.9323,0.4381,0.691,0.7862
37,0.1326,0.8674,0.925,0.5188,0.7173,0.8121
38,0.0673,0.9161,0.9551,0.506,0.731,0.819
39,0.0517,0.932,0.9641,0.4994,0.7339,0.8208
40,0.045,0.9397,0.9685,0.5084,0.7349,0.8214
