epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.3355,0.2697,0.391,1.0503,0.3974,0.5367
1,0.8267,0.5077,0.6421,0.6446,0.5622,0.6976
2,0.5315,0.596,0.7231,0.5288,0.5862,0.7156
3,0.3778,0.6642,0.7805,0.4318,0.6543,0.7689
4,0.2955,0.708,0.8145,0.4888,0.6084,0.7224
5,0.2683,0.7222,0.8253,0.6584,0.5332,0.6471
6,0.2475,0.7341,0.8342,0.4709,0.6379,0.7543
7,0.2013,0.7586,0.8521,0.4026,0.6782,0.7832
8,0.2127,0.7475,0.8445,0.5264,0.6312,0.7408
9,0.1945,0.7619,0.8551,0.4054,0.671,0.7761
10,0.1432,0.7947,0.8779,0.5119,0.6257,0.7379
11,0.1912,0.7713,0.8606,0.4474,0.6652,0.7731
12,0.135,0.8049,0.8846,0.434,0.7433,0.8289
13,0.1095,0.8985,0.9421,0.434,0.7607,0.8414
14,0.0983,0.911,0.9504,0.434,0.7596,0.8426
15,0.0935,0.9156,0.954,0.4542,0.7644,0.8423
16,0.0898,0.9185,0.9556,0.4357,0.7692,0.8478
17,0.0853,0.9235,0.9585,0.4254,0.7757,0.854
18,0.0815,0.9281,0.9612,0.4474,0.7726,0.8513
19,0.079,0.9301,0.9629,0.4481,0.7747,0.8509
20,0.078,0.9318,0.9639,0.4566,0.773,0.8483
21,0.0775,0.9309,0.9627,0.4537,0.7787,0.8544
22,0.0759,0.9337,0.965,0.4439,0.7803,0.8562
23,0.0722,0.9368,0.9661,0.4779,0.7773,0.8536
24,0.0719,0.9387,0.9679,0.4593,0.7794,0.8546
25,0.0695,0.9402,0.9684,0.4841,0.7778,0.8551
26,0.072,0.9372,0.967,0.4848,0.7786,0.8558
27,0.071,0.9374,0.9672,0.5156,0.7761,0.851
28,0.0695,0.94,0.9687,0.5026,0.7771,0.8524
29,0.0673,0.9419,0.9696,0.4968,0.7806,0.8564
30,0.0676,0.9413,0.9692,0.4843,0.7853,0.8598
31,0.0662,0.9439,0.9707,0.4991,0.7842,0.8577
32,0.0643,0.945,0.9713,0.4954,0.7806,0.8544
33,0.062,0.9476,0.9728,0.499,0.7826,0.8577
34,0.0635,0.947,0.9725,0.534,0.7773,0.852
35,0.0656,0.9445,0.9711,0.5331,0.7778,0.8509
36,0.0634,0.9473,0.9727,0.5117,0.7797,0.8543
37,0.0621,0.9479,0.9729,0.5167,0.7846,0.8573
38,0.0595,0.9504,0.9744,0.5134,0.7829,0.8577
39,0.0603,0.9503,0.9742,0.5359,0.7855,0.8586
40,0.0586,0.9524,0.9754,0.5274,0.7845,0.8566
41,0.0576,0.9528,0.9756,0.5081,0.7875,0.8613
42,0.0572,0.9538,0.9762,0.5335,0.7851,0.8587
43,0.0566,0.9538,0.9761,0.5343,0.7844,0.8589
44,0.057,0.9538,0.9761,0.5362,0.7814,0.8567
45,0.0571,0.953,0.9756,0.5241,0.7877,0.8612
46,0.0578,0.9534,0.976,0.5283,0.7792,0.8531
47,0.0577,0.9522,0.9753,0.5435,0.7876,0.8595
48,0.116,0.9165,0.9508,0.7933,0.5828,0.6914
49,0.3698,0.7244,0.8181,0.4459,0.7044,0.7983
50,0.2129,0.8214,0.8896,0.4637,0.7087,0.7978
51,0.1744,0.852,0.91,0.4737,0.7159,0.7978
52,0.1147,0.8957,0.9398,0.4109,0.7453,0.8227
53,0.0966,0.9098,0.9489,0.4751,0.7462,0.826
54,0.081,0.9265,0.9592,0.4267,0.7655,0.8445
55,0.0672,0.9416,0.9694,0.4358,0.7655,0.8443
56,0.0636,0.9452,0.9712,0.4685,0.7648,0.8441
57,0.0601,0.9488,0.9734,0.446,0.7735,0.8511
58,0.0573,0.9521,0.9751,0.4699,0.7713,0.8495
59,0.0546,0.9553,0.9769,0.4759,0.7726,0.8512
60,0.0537,0.9558,0.9772,0.472,0.7715,0.8508
61,0.0532,0.9564,0.9775,0.528,0.7653,0.8415
62,0.0519,0.9579,0.9783,0.5325,0.7662,0.8431
