epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.3075,0.2522,0.3618,1.3106,0.1584,0.2367
1,1.1924,0.3063,0.4152,1.2196,0.2912,0.4
2,1.1339,0.3683,0.4849,1.1605,0.3161,0.4258
3,1.0994,0.4015,0.5205,1.1215,0.3122,0.4144
4,1.0562,0.4271,0.5405,1.1253,0.3552,0.4848
5,1.0206,0.4525,0.5667,1.0836,0.3949,0.5156
6,0.9683,0.525,0.6374,1.0436,0.4228,0.5395
7,0.9509,0.5368,0.6486,1.0425,0.3918,0.5057
8,0.905,0.5806,0.6888,1.0005,0.4742,0.5756
9,0.8648,0.6207,0.721,0.9964,0.3969,0.4948
10,0.8402,0.6349,0.738,0.9346,0.4948,0.5959
11,0.7981,0.6793,0.7745,0.8906,0.5573,0.6737
12,0.7702,0.6832,0.7787,0.8844,0.5486,0.6522
13,0.7432,0.7023,0.7968,0.8789,0.5001,0.5905
14,0.7281,0.6952,0.7891,0.9133,0.4037,0.4886
15,0.6967,0.7303,0.8174,0.7963,0.5807,0.663
16,0.6436,0.7831,0.8573,0.7687,0.6372,0.7262
17,0.6164,0.8049,0.8714,0.7442,0.5933,0.6859
18,0.5945,0.8177,0.8838,0.7601,0.564,0.6473
19,0.5624,0.825,0.8898,0.7139,0.6269,0.7196
20,0.5516,0.8258,0.8897,0.6784,0.6355,0.7205
21,0.5462,0.7978,0.8681,0.7346,0.5731,0.6753
22,0.5326,0.7965,0.8695,0.7881,0.4938,0.6038
23,0.5083,0.8007,0.8691,0.6554,0.6457,0.7338
24,0.4826,0.8198,0.8857,0.6812,0.5668,0.6662
25,0.4742,0.8042,0.8741,0.6779,0.5212,0.6097
26,0.4437,0.8345,0.8965,0.6922,0.5146,0.6054
27,0.4302,0.8397,0.901,0.6014,0.6214,0.714
28,0.4,0.8602,0.9117,0.5821,0.6338,0.725
29,0.3709,0.8795,0.9266,0.5713,0.6195,0.7025
30,0.3535,0.8927,0.9354,0.547,0.6663,0.7439
31,0.3391,0.8966,0.9384,0.519,0.6704,0.7474
32,0.3247,0.9001,0.9405,0.5177,0.6601,0.7409
33,0.307,0.908,0.945,0.4931,0.6824,0.7649
34,0.2958,0.9115,0.9462,0.4943,0.662,0.7412
35,0.2757,0.9175,0.9501,0.4788,0.6812,0.7628
36,0.2639,0.9227,0.9535,0.4613,0.6811,0.7624
