epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.8836,0.6068,0.7156,0.8899,0.6286,0.7342
1,0.7074,0.6936,0.7909,0.8163,0.6218,0.7355
2,0.6023,0.7263,0.8182,0.713,0.6612,0.7609
3,0.5233,0.7452,0.8331,0.6267,0.7208,0.8113
4,0.4426,0.7657,0.8492,0.559,0.7245,0.8138
5,0.4047,0.7687,0.8528,0.541,0.7106,0.8008
6,0.363,0.7816,0.862,0.5462,0.6951,0.7824
7,0.3413,0.7845,0.8641,0.4848,0.7265,0.8143
8,0.3048,0.7938,0.8718,0.4748,0.7237,0.8105
9,0.2894,0.8004,0.8765,0.4401,0.7248,0.8152
10,0.2686,0.8065,0.8814,0.4421,0.7235,0.8166
11,0.2611,0.8094,0.8832,0.4595,0.7331,0.8191
12,0.2423,0.8109,0.8841,0.4458,0.7277,0.819
13,0.2397,0.8164,0.8883,0.4421,0.7384,0.8305
14,0.2289,0.8186,0.8903,0.4885,0.727,0.8148
15,0.2221,0.8228,0.8937,0.4355,0.7424,0.8317
16,0.2036,0.8339,0.9019,0.4352,0.7358,0.8248
17,0.2007,0.8311,0.8998,0.4049,0.7445,0.8317
18,0.1896,0.8362,0.9042,0.4101,0.7388,0.8291
19,0.1814,0.8404,0.907,0.4398,0.7384,0.8289
20,0.1839,0.8386,0.9056,0.4298,0.7392,0.8291
21,0.1723,0.8451,0.9102,0.4413,0.7336,0.8256
22,0.1666,0.8473,0.9118,0.4163,0.7475,0.837
23,0.1662,0.8485,0.9129,0.4666,0.7369,0.8244
24,0.16,0.8503,0.9139,0.4459,0.7416,0.8268
25,0.1658,0.8487,0.9128,0.445,0.7277,0.8195
26,0.1522,0.8554,0.9173,0.5075,0.719,0.809
27,0.1889,0.8338,0.9017,0.4069,0.7552,0.8414
28,0.1419,0.8624,0.9227,0.4624,0.7405,0.828
29,0.1387,0.8633,0.9228,0.4795,0.7321,0.8238
30,0.1336,0.8667,0.9249,0.4632,0.7422,0.8293
31,0.1265,0.8716,0.9287,0.4527,0.7471,0.8346
32,0.1183,0.8762,0.9316,0.4186,0.743,0.8333
33,0.117,0.8781,0.9329,0.4881,0.7441,0.8339
34,0.1152,0.878,0.9323,0.492,0.7405,0.8316
35,0.1224,0.8733,0.9289,0.4621,0.7337,0.8245
36,0.115,0.8787,0.9328,0.4477,0.7525,0.8386
37,0.105,0.8869,0.9382,0.5045,0.7374,0.829
38,0.1085,0.8837,0.9359,0.4788,0.7403,0.8266
39,0.1041,0.8868,0.9379,0.5131,0.7281,0.8149
40,0.1336,0.8668,0.9244,0.4215,0.742,0.8317
41,0.1032,0.8865,0.9377,0.5176,0.736,0.822
42,0.0981,0.8911,0.9405,0.5065,0.7363,0.8243
43,0.0876,0.9012,0.9468,0.5488,0.7332,0.8234
44,0.0878,0.9002,0.946,0.5296,0.7193,0.8117
45,0.1011,0.89,0.9395,0.5243,0.7338,0.8224
46,0.0802,0.9057,0.9493,0.545,0.7356,0.8237
47,0.0823,0.9048,0.9484,0.5466,0.74,0.8287
48,0.0741,0.9112,0.9526,0.5866,0.7215,0.812
