epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.3275,0.4462,0.5738,1.2524,0.5223,0.6444
1,1.2393,0.5407,0.6661,1.2141,0.58,0.708
2,1.2007,0.5518,0.6773,1.1857,0.6004,0.7224
3,1.1653,0.575,0.7019,1.1521,0.5635,0.6932
4,1.1389,0.5726,0.693,1.1249,0.6098,0.7248
5,1.1022,0.6061,0.7236,1.163,0.4056,0.5478
6,1.0767,0.5943,0.7125,1.0519,0.627,0.7463
7,1.0461,0.6186,0.7326,1.0468,0.6235,0.738
8,1.0168,0.6268,0.739,1.0226,0.6266,0.7414
9,0.9938,0.6187,0.727,0.9961,0.6735,0.7794
10,0.9617,0.6359,0.7432,0.9369,0.6342,0.747
11,0.9265,0.659,0.7685,0.9797,0.5832,0.7063
12,0.9068,0.6453,0.7557,0.8944,0.668,0.7826
13,0.8743,0.6648,0.7724,0.8693,0.6196,0.7405
14,0.8476,0.6764,0.7787,0.8567,0.6669,0.7744
15,0.809,0.6997,0.8096,0.805,0.6911,0.7919
16,0.7819,0.7024,0.8034,0.7883,0.6616,0.7779
17,0.7577,0.7067,0.8107,0.7667,0.6555,0.77
18,0.7236,0.7045,0.8041,0.7655,0.6878,0.7863
19,0.6944,0.721,0.8236,0.7087,0.6925,0.8025
20,0.6543,0.7347,0.828,0.6843,0.6584,0.7738
21,0.6391,0.7081,0.8103,0.663,0.6806,0.776
22,0.5944,0.7417,0.8409,0.6224,0.708,0.8208
23,0.5816,0.7352,0.8354,0.5849,0.6778,0.7767
24,0.541,0.7548,0.8552,0.5609,0.7041,0.8009
25,0.5087,0.7709,0.8725,0.5407,0.7187,0.8162
26,0.4918,0.7555,0.8513,0.5413,0.6792,0.7975
27,0.456,0.7691,0.8667,0.4779,0.6985,0.7931
28,0.4235,0.7903,0.8883,0.464,0.7082,0.8184
29,0.3951,0.7987,0.8949,0.438,0.7176,0.8121
30,0.3735,0.7979,0.8961,0.4096,0.734,0.8284
31,0.3464,0.8033,0.8993,0.4006,0.7086,0.8226
32,0.3246,0.8114,0.9099,0.373,0.7147,0.8089
33,0.3212,0.7901,0.8871,0.6291,0.5262,0.6413
34,0.3431,0.7175,0.8192,0.3585,0.6848,0.8035
35,0.2987,0.7626,0.8629,0.3566,0.6931,0.801
36,0.2711,0.7719,0.8645,0.3631,0.6831,0.7985
37,0.2489,0.8049,0.9058,0.3029,0.7309,0.8389
38,0.2333,0.8166,0.9156,0.3054,0.7033,0.801
39,0.2733,0.7325,0.8306,0.3121,0.701,0.8057
40,0.2252,0.7943,0.8913,0.2871,0.7098,0.8167
41,0.198,0.8315,0.9341,0.2606,0.7246,0.8217
42,0.1878,0.8395,0.9421,0.2622,0.7223,0.82
43,0.1719,0.8534,0.9571,0.2476,0.7288,0.832
44,0.1755,0.8502,0.9487,0.2447,0.7178,0.8191
45,0.1717,0.8347,0.9295,0.2349,0.7164,0.8144
46,0.1577,0.8437,0.9489,0.2327,0.7254,0.8245
47,0.1444,0.8566,0.9577,0.2349,0.7074,0.8047
48,0.1423,0.856,0.9553,0.2984,0.7105,0.8098
49,0.176,0.7845,0.8869,0.2639,0.6909,0.7985
50,0.1458,0.8298,0.9312,0.2346,0.7123,0.8069
51,0.1288,0.84,0.9433,0.22,0.7254,0.8332
52,0.124,0.8634,0.9632,0.2035,0.7365,0.8372
53,0.1077,0.882,0.9861,0.2125,0.7198,0.8147
54,0.1064,0.8786,0.9835,0.2083,0.717,0.8249
55,0.1002,0.8874,0.9924,0.213,0.7077,0.8098
56,0.1077,0.8765,0.9769,0.2048,0.7119,0.8119
57,0.0944,0.8897,0.9901,0.2011,0.709,0.8145
58,0.0866,0.8967,1.0,0.1914,0.7265,0.8238
