epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.1202,0.3275,0.454,1.0513,0.3449,0.4724
1,0.9494,0.4026,0.534,0.8433,0.4464,0.5631
2,0.8523,0.4408,0.5684,0.9914,0.4083,0.5437
3,0.7651,0.4745,0.5971,0.7695,0.4789,0.5957
4,0.7108,0.4956,0.6144,0.7581,0.4624,0.5684
5,0.6536,0.5398,0.6578,0.6773,0.5219,0.6292
6,0.5847,0.5822,0.6957,0.6512,0.5553,0.67
7,0.5252,0.6194,0.7263,0.6762,0.5065,0.6004
8,0.4896,0.6403,0.7437,0.5543,0.6053,0.7113
9,0.4393,0.6791,0.7788,0.5838,0.5953,0.6924
10,0.4104,0.6934,0.7893,0.5309,0.6303,0.7297
11,0.3764,0.7143,0.8035,0.5424,0.6341,0.731
12,0.3631,0.7213,0.8111,0.5066,0.657,0.756
13,0.32,0.7472,0.8306,0.4901,0.6698,0.7638
14,0.314,0.7556,0.837,0.5052,0.6443,0.7478
15,0.2932,0.768,0.8475,0.4928,0.6662,0.766
16,0.2682,0.7856,0.8596,0.4555,0.6828,0.7712
17,0.2455,0.7929,0.866,0.472,0.6801,0.7747
18,0.2106,0.8202,0.8856,0.4987,0.657,0.7441
19,0.1893,0.8365,0.8981,0.4573,0.6924,0.7787
20,0.2191,0.813,0.8813,0.5136,0.6668,0.7674
21,0.1916,0.8289,0.8925,0.4795,0.679,0.7672
22,0.1562,0.8543,0.9112,0.4844,0.6708,0.7552
23,0.1509,0.8553,0.91,0.5034,0.6618,0.75
24,0.147,0.8625,0.916,0.4347,0.7054,0.7996
25,0.155,0.8549,0.9092,0.5256,0.6722,0.7607
26,0.1589,0.852,0.9093,0.5087,0.6583,0.7496
27,0.1153,0.8841,0.9308,0.488,0.7005,0.7831
28,0.1163,0.8837,0.9295,0.475,0.6991,0.7917
29,0.1045,0.892,0.9372,0.4733,0.707,0.7947
30,0.0942,0.9005,0.9423,0.4846,0.7097,0.7958
31,0.0804,0.9112,0.9488,0.4778,0.6946,0.7839
32,0.083,0.9097,0.9488,0.4618,0.7049,0.7936
33,0.0727,0.9183,0.9533,0.4565,0.7247,0.8062
34,0.0666,0.9246,0.9577,0.4574,0.724,0.8063
35,0.0622,0.9288,0.9598,0.497,0.7106,0.795
36,0.0629,0.9256,0.9572,0.4767,0.7167,0.8068
37,0.0591,0.9309,0.9617,0.4797,0.7186,0.8046
38,0.0537,0.9347,0.9632,0.4898,0.7088,0.8007
39,0.0623,0.9262,0.9588,0.456,0.7267,0.8124
40,0.066,0.9224,0.9564,0.5491,0.6908,0.7758
41,0.0557,0.9324,0.9626,0.4726,0.7211,0.8074
42,0.0569,0.9317,0.9622,0.5531,0.671,0.7753
43,0.1378,0.8638,0.9169,0.6641,0.6233,0.7201
44,0.1688,0.8425,0.9021,0.5179,0.6663,0.7578
45,0.0824,0.9068,0.9465,0.5879,0.6505,0.735
46,0.0867,0.9045,0.9454,0.5122,0.6876,0.782
47,0.0669,0.9202,0.9552,0.5485,0.6879,0.7736
48,0.0534,0.934,0.9628,0.5287,0.7068,0.7905
49,0.0487,0.9392,0.9665,0.5239,0.7059,0.7875
50,0.0438,0.944,0.9691,0.5034,0.7238,0.807
51,0.041,0.9481,0.9721,0.5173,0.7157,0.8015
52,0.0389,0.9497,0.973,0.5552,0.7075,0.7877
53,0.0388,0.9499,0.9728,0.5195,0.7167,0.7986
54,0.0371,0.952,0.9741,0.5093,0.7228,0.8054
55,0.0348,0.9541,0.9752,0.5194,0.7202,0.8032
56,0.0335,0.9565,0.9773,0.5246,0.726,0.8087
57,0.0323,0.9579,0.9781,0.5419,0.7211,0.8013
58,0.0313,0.9591,0.9787,0.5313,0.7238,0.8108
59,0.0319,0.9589,0.9787,0.5415,0.7174,0.799
60,0.0306,0.9606,0.9796,0.5379,0.7205,0.8072
