epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.3186,0.1766,0.2794,1.4206,0.0,0.0
1,1.12,0.3802,0.5202,1.5247,0.1856,0.2873
2,0.9948,0.4367,0.572,1.111,0.4023,0.5364
3,0.9471,0.4659,0.6004,1.1397,0.4111,0.5496
4,0.8882,0.4891,0.6191,0.9252,0.4382,0.5762
5,0.8776,0.4906,0.6235,0.8593,0.4895,0.6192
6,0.8622,0.5069,0.6366,0.8913,0.4798,0.6113
7,0.8096,0.5565,0.6859,0.9113,0.3941,0.4984
8,0.7969,0.5487,0.6781,0.8236,0.4855,0.6115
9,0.7491,0.5845,0.7083,0.8805,0.4985,0.6319
10,0.7359,0.6096,0.7273,0.8616,0.4065,0.5234
11,0.7037,0.597,0.7133,1.0448,0.4013,0.5415
12,0.6883,0.6045,0.727,0.8662,0.4537,0.5825
13,0.6727,0.6303,0.7464,0.8036,0.4899,0.6085
14,0.6521,0.6312,0.7498,0.7897,0.4689,0.5941
15,0.6397,0.6369,0.7549,0.9308,0.3525,0.4439
16,0.647,0.6223,0.7406,1.0109,0.3674,0.5066
17,0.6232,0.6357,0.7565,0.7599,0.5022,0.6316
18,0.5818,0.6728,0.7835,0.8326,0.4599,0.5788
19,0.5728,0.6841,0.7943,0.7629,0.4805,0.6021
20,0.5291,0.7116,0.8187,0.7742,0.5066,0.6197
21,0.5011,0.7426,0.8424,0.664,0.583,0.6945
22,0.511,0.7219,0.8221,0.7177,0.5183,0.6391
23,0.5165,0.7017,0.8091,0.7321,0.5152,0.634
24,0.464,0.7544,0.852,0.6896,0.5227,0.6498
25,0.4716,0.7361,0.8364,0.7535,0.487,0.6128
26,0.4649,0.7336,0.8319,0.831,0.4031,0.5051
27,0.4397,0.7533,0.8492,0.7003,0.5103,0.6264
28,0.4219,0.7717,0.8628,0.7284,0.4812,0.5963
29,0.4033,0.78,0.8689,0.6555,0.5554,0.6762
30,0.3794,0.7963,0.8814,0.6396,0.5664,0.6801
31,0.3678,0.8138,0.8946,0.6166,0.5553,0.6719
32,0.3509,0.8197,0.8978,0.6393,0.5448,0.6691
33,0.3353,0.836,0.9068,0.7457,0.4585,0.5668
34,0.3403,0.8189,0.8942,0.6305,0.5463,0.665
35,0.3219,0.8427,0.9131,0.5921,0.5711,0.6887
36,0.3113,0.8412,0.9113,0.6132,0.5466,0.6703
37,0.2911,0.8608,0.9242,0.6617,0.5174,0.6341
38,0.2993,0.8493,0.9143,0.6409,0.5567,0.6783
39,0.3088,0.8338,0.906,0.647,0.5167,0.6313
40,0.3002,0.8264,0.8995,0.7298,0.4622,0.5888
41,0.2933,0.8293,0.8986,0.6297,0.524,0.6539
42,0.2865,0.8398,0.9102,0.6988,0.4845,0.609
