epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.2349,0.4334,0.5573,1.1184,0.5414,0.6775
1,1.0835,0.5351,0.6586,1.0265,0.5876,0.7139
2,1.0259,0.5483,0.6703,0.997,0.5836,0.708
3,0.9717,0.5675,0.6939,0.934,0.5962,0.7205
4,0.917,0.5777,0.7037,0.8847,0.5313,0.656
5,0.8678,0.5779,0.693,0.8547,0.6052,0.7232
6,0.8086,0.6016,0.7188,0.7836,0.5815,0.7101
7,0.7648,0.6016,0.7226,0.7966,0.4382,0.576
8,0.7068,0.6167,0.7281,0.6766,0.6324,0.7553
9,0.6567,0.6372,0.7471,0.652,0.643,0.7579
10,0.5985,0.6532,0.7737,0.5947,0.6396,0.7483
11,0.5639,0.6441,0.7582,0.5304,0.661,0.7705
12,0.5091,0.6658,0.7811,0.49,0.669,0.7795
13,0.4543,0.6869,0.7986,0.4476,0.6357,0.7519
14,0.3978,0.6956,0.804,0.471,0.6444,0.7599
15,0.4008,0.669,0.7792,0.4225,0.6335,0.7555
16,0.3656,0.6784,0.7834,0.3777,0.6579,0.7722
17,0.3318,0.6938,0.7986,0.3324,0.6843,0.7915
18,0.3072,0.6918,0.8,0.3064,0.6855,0.7895
19,0.2987,0.7014,0.81,0.3696,0.6855,0.7885
20,0.2559,0.7213,0.828,0.2688,0.701,0.7998
21,0.2354,0.7342,0.8362,0.2481,0.7161,0.8145
22,0.2242,0.7309,0.8372,0.2441,0.7117,0.8295
23,0.2135,0.7423,0.8467,0.2741,0.6931,0.8036
24,0.1953,0.7491,0.852,0.2278,0.7285,0.8427
25,0.1827,0.7622,0.8694,0.2416,0.7056,0.8214
26,0.1794,0.765,0.8713,0.2159,0.7239,0.8215
27,0.1775,0.7486,0.8499,0.2561,0.6791,0.8049
28,0.1842,0.7432,0.8488,0.2059,0.7157,0.811
29,0.1766,0.7419,0.845,0.2016,0.7152,0.8132
30,0.1486,0.7652,0.8615,0.2041,0.7163,0.8283
31,0.1499,0.7672,0.877,0.1824,0.7297,0.8309
32,0.1391,0.7764,0.8791,0.1777,0.7431,0.8434
33,0.1539,0.7642,0.8601,0.1915,0.7214,0.8246
34,0.1943,0.724,0.833,0.2409,0.6672,0.7887
35,0.1682,0.7322,0.8373,0.1791,0.7149,0.8201
36,0.139,0.7687,0.8728,0.1862,0.7216,0.8364
37,0.1367,0.7631,0.8685,0.1933,0.7202,0.8304
38,0.1245,0.7814,0.8835,0.2402,0.6716,0.7797
39,0.1262,0.7763,0.8844,0.1791,0.7091,0.8078
40,0.1241,0.7797,0.878,0.1583,0.7383,0.8401
41,0.1141,0.7956,0.8956,0.1591,0.736,0.8306
42,0.1551,0.739,0.8415,0.2344,0.6679,0.7773
43,0.1276,0.7739,0.873,0.1754,0.7218,0.8281
44,0.1102,0.7869,0.8811,0.1666,0.7318,0.8312
45,0.1122,0.8,0.9082,0.1762,0.7228,0.8179
46,0.1605,0.7382,0.8345,0.1941,0.6937,0.8027
47,0.1309,0.7828,0.8936,0.1644,0.7421,0.849
48,0.1072,0.7923,0.8952,0.1598,0.7472,0.852
49,0.1104,0.7984,0.8977,0.168,0.7397,0.8473
50,0.1058,0.8079,0.9155,0.1606,0.7342,0.8322
51,0.097,0.8121,0.9121,0.1542,0.7415,0.8435
52,0.0936,0.816,0.9183,0.16,0.7408,0.846
53,0.1151,0.784,0.8843,0.1526,0.7355,0.8341
54,0.1011,0.8059,0.9081,0.1618,0.7268,0.8297
55,0.0973,0.8158,0.9237,0.1514,0.7454,0.8489
56,0.1051,0.8133,0.9205,0.1642,0.7256,0.8308
57,0.0832,0.8255,0.9247,0.1416,0.7516,0.8461
58,0.0832,0.8343,0.9338,0.1524,0.743,0.844
59,0.0801,0.8352,0.9325,0.1598,0.7298,0.8379
60,0.0788,0.8407,0.9421,0.1518,0.7435,0.8441
61,0.0789,0.8347,0.9284,0.1463,0.7405,0.8422
62,0.1117,0.7967,0.9006,0.2246,0.671,0.794
63,0.0957,0.8111,0.9186,0.1613,0.7315,0.8266
64,0.0916,0.8184,0.9218,0.1788,0.7105,0.8114
65,0.1288,0.7672,0.8746,0.1665,0.7299,0.8288
66,0.0977,0.7969,0.8872,0.1624,0.7357,0.8318
67,0.0844,0.8243,0.9255,0.154,0.7352,0.8296
68,0.076,0.8379,0.9355,0.1523,0.7385,0.8351
69,0.0782,0.8394,0.9381,0.1542,0.7395,0.829
