epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.4597,0.2184,0.3306,1.3616,0.3187,0.4638
1,1.1895,0.4416,0.5863,1.1535,0.4834,0.6315
2,0.9961,0.5814,0.7122,0.9724,0.6096,0.7229
3,0.8106,0.6623,0.7762,0.7587,0.6543,0.7623
4,0.662,0.7108,0.8108,0.659,0.6046,0.7251
5,0.5394,0.7397,0.8321,0.6108,0.6731,0.7835
6,0.4587,0.7453,0.8333,0.5192,0.7026,0.7975
7,0.3994,0.7631,0.8483,0.4366,0.6778,0.767
8,0.3619,0.7688,0.8505,0.3727,0.6192,0.7176
9,0.3249,0.7808,0.8574,0.4042,0.7255,0.8056
10,0.3089,0.7793,0.8548,0.3679,0.7145,0.8004
11,0.292,0.7896,0.8634,0.3921,0.7377,0.8213
12,0.2641,0.7931,0.8654,0.3115,0.7309,0.8107
13,0.2587,0.8062,0.8751,0.3594,0.7472,0.8325
14,0.2506,0.8006,0.8725,0.3055,0.6852,0.7856
15,0.2374,0.8133,0.8811,0.4064,0.6308,0.7315
16,0.2341,0.807,0.8771,0.2977,0.7255,0.8144
17,0.2197,0.8137,0.8809,0.3057,0.7386,0.825
18,0.2261,0.8217,0.8895,0.3185,0.6587,0.7618
19,0.2079,0.8272,0.8917,0.2786,0.7236,0.8126
20,0.2039,0.8311,0.8938,0.2764,0.7403,0.8311
21,0.198,0.8361,0.8987,0.2776,0.722,0.8066
22,0.1866,0.8419,0.8995,0.2667,0.7548,0.8355
23,0.179,0.8537,0.9106,0.2696,0.7577,0.8388
24,0.1828,0.8494,0.907,0.2494,0.7601,0.8407
25,0.174,0.8549,0.913,0.258,0.7631,0.8426
26,0.1701,0.8631,0.9174,0.2665,0.7546,0.8352
27,0.171,0.8555,0.9105,0.2547,0.7562,0.8408
28,0.1641,0.8644,0.9181,0.2437,0.7705,0.8512
29,0.1617,0.8572,0.9132,0.2735,0.777,0.8626
30,0.1578,0.8644,0.9191,0.2428,0.7646,0.845
31,0.158,0.8646,0.9174,0.2449,0.7438,0.8251
32,0.1544,0.8683,0.9207,0.247,0.7296,0.8142
33,0.156,0.8631,0.914,0.2376,0.7518,0.8323
34,0.1594,0.8655,0.919,0.2527,0.7554,0.8365
35,0.1521,0.8652,0.919,0.2489,0.7743,0.8539
36,0.1533,0.8668,0.9185,0.2301,0.7597,0.8383
37,0.1493,0.8702,0.9216,0.2368,0.7616,0.8385
38,0.1408,0.8823,0.9305,0.2298,0.7581,0.8391
39,0.1347,0.8803,0.9253,0.2263,0.7522,0.8325
40,0.1305,0.8883,0.9333,0.2098,0.7621,0.8413
41,0.1344,0.883,0.9293,0.2279,0.7635,0.8456
42,0.1283,0.8884,0.934,0.2516,0.719,0.8013
43,0.1279,0.8898,0.9345,0.23,0.757,0.8395
44,0.1297,0.8883,0.9349,0.2208,0.7636,0.8429
45,0.1382,0.8755,0.9243,0.2404,0.719,0.8056
46,0.1299,0.8822,0.9295,0.2371,0.7732,0.8551
47,0.125,0.888,0.934,0.2346,0.7369,0.8192
48,0.1202,0.8986,0.9415,0.2285,0.7509,0.8339
49,0.1246,0.8949,0.9387,0.2296,0.7577,0.8398
50,0.1203,0.8961,0.9392,0.2146,0.7707,0.8496
