epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.8102,0.6446,0.7571,0.7063,0.6711,0.7634
1,0.4237,0.7539,0.8458,0.4706,0.7455,0.836
2,0.3018,0.7904,0.8719,0.3849,0.7428,0.8292
3,0.2447,0.8104,0.8857,0.3983,0.7297,0.812
4,0.2246,0.809,0.8841,0.3773,0.7509,0.8362
5,0.1927,0.833,0.9019,0.3281,0.7576,0.8413
6,0.1739,0.8429,0.9091,0.321,0.7569,0.8442
7,0.1637,0.8478,0.912,0.3286,0.7568,0.8453
8,0.1535,0.853,0.9157,0.3609,0.7689,0.8527
9,0.145,0.8611,0.921,0.3314,0.7539,0.8398
10,0.1435,0.8593,0.9195,0.312,0.7746,0.8609
11,0.1317,0.8693,0.926,0.3148,0.7772,0.8637
12,0.1237,0.8784,0.9326,0.3304,0.7867,0.8674
13,0.1157,0.8824,0.9345,0.3326,0.7899,0.8693
14,0.11,0.8878,0.9377,0.3493,0.7839,0.8638
15,0.1068,0.8909,0.9397,0.3272,0.7874,0.867
16,0.111,0.8914,0.9397,0.355,0.7827,0.8627
17,0.099,0.8975,0.9437,0.3578,0.7789,0.8602
18,0.0912,0.9058,0.9489,0.3143,0.7887,0.8688
19,0.0877,0.9088,0.9505,0.3308,0.7878,0.8679
20,0.0871,0.9096,0.951,0.3295,0.7874,0.8677
21,0.0803,0.9164,0.9552,0.329,0.7938,0.8709
22,0.0811,0.9152,0.9541,0.3391,0.7798,0.8623
23,0.0761,0.9192,0.9566,0.3188,0.7931,0.8719
24,0.0743,0.9198,0.9566,0.3806,0.7787,0.8596
25,0.0704,0.9243,0.9596,0.3468,0.7828,0.8638
26,0.0681,0.9259,0.9605,0.3454,0.7909,0.8697
27,0.0753,0.9201,0.9569,0.3111,0.7896,0.8685
28,0.0686,0.9258,0.9604,0.3956,0.7751,0.8565
29,0.0652,0.9308,0.9635,0.3491,0.7821,0.8648
30,0.0644,0.9313,0.9637,0.3672,0.786,0.866
31,0.0619,0.9332,0.9646,0.34,0.7897,0.869
32,0.0595,0.9342,0.9652,0.4,0.7799,0.8609
33,0.0595,0.9352,0.9659,0.3942,0.7715,0.8531
34,0.0606,0.9335,0.9648,0.4332,0.7566,0.8413
35,0.1196,0.8869,0.9346,0.3795,0.7787,0.8595
36,0.063,0.9307,0.9634,0.3797,0.7761,0.8571
37,0.0548,0.9397,0.9684,0.3791,0.779,0.8589
38,0.0525,0.9434,0.9704,0.4003,0.7782,0.8581
39,0.0507,0.9448,0.9712,0.3788,0.7814,0.8616
40,0.0491,0.9455,0.9716,0.3906,0.783,0.8619
41,0.0496,0.9452,0.9713,0.3999,0.7803,0.8599
42,0.0494,0.9449,0.9712,0.3982,0.7726,0.8544
43,0.0506,0.9435,0.9705,0.4068,0.7758,0.8567
44,0.0507,0.9432,0.9703,0.3991,0.7752,0.8562
