epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.1688,0.4552,0.5894,0.9615,0.6157,0.7474
1,0.8556,0.6709,0.785,0.6937,0.7471,0.846
2,0.6326,0.7545,0.848,0.5988,0.7606,0.8502
3,0.4883,0.7894,0.8701,0.5598,0.7421,0.8333
4,0.4117,0.7944,0.8734,0.4088,0.759,0.8461
5,0.3567,0.809,0.882,0.3846,0.7458,0.833
6,0.3186,0.8176,0.8875,0.4265,0.7581,0.8453
7,0.2974,0.8287,0.8978,0.3829,0.6951,0.7881
8,0.2719,0.8302,0.8973,0.3567,0.7778,0.8621
9,0.2513,0.8426,0.9045,0.3605,0.7531,0.8384
10,0.239,0.845,0.9068,0.3417,0.7834,0.8662
11,0.2249,0.8503,0.9098,0.3752,0.6943,0.7887
12,0.2149,0.8612,0.9163,0.3438,0.7785,0.8625
13,0.1977,0.8656,0.9208,0.3409,0.7942,0.8732
14,0.1984,0.8691,0.9226,0.3166,0.7831,0.8645
15,0.1828,0.8765,0.9285,0.3196,0.7589,0.8469
16,0.1753,0.8823,0.9319,0.3247,0.7814,0.8635
17,0.1724,0.8824,0.9306,0.3323,0.7357,0.827
18,0.1615,0.8928,0.9397,0.3038,0.7773,0.859
19,0.1594,0.8927,0.9384,0.302,0.7957,0.8748
20,0.157,0.893,0.9391,0.3008,0.7699,0.8518
21,0.1483,0.899,0.9419,0.2968,0.7914,0.8693
22,0.139,0.906,0.947,0.3023,0.7708,0.8528
23,0.1331,0.9072,0.9469,0.3092,0.7849,0.8648
24,0.1309,0.9084,0.9483,0.2963,0.785,0.8648
25,0.1282,0.9098,0.949,0.2977,0.7934,0.871
26,0.1283,0.9098,0.9498,0.3079,0.7865,0.8651
27,0.1253,0.9092,0.949,0.2908,0.781,0.8597
28,0.118,0.9136,0.9511,0.2888,0.8005,0.8749
29,0.1125,0.9163,0.9532,0.2879,0.8013,0.8759
30,0.1158,0.9159,0.9537,0.2896,0.793,0.8697
31,0.1065,0.9218,0.9563,0.2979,0.7885,0.8666
32,0.1066,0.9212,0.9555,0.2844,0.8022,0.8757
33,0.1014,0.926,0.9593,0.2914,0.7908,0.8672
34,0.1091,0.9201,0.9549,0.3355,0.7588,0.8364
35,0.1521,0.875,0.926,0.436,0.7144,0.8065
36,0.1803,0.8507,0.9116,0.3716,0.75,0.8353
37,0.1226,0.9011,0.9448,0.3006,0.7951,0.8731
38,0.1061,0.9169,0.9545,0.2994,0.8015,0.877
39,0.0983,0.925,0.9592,0.3359,0.7809,0.8618
40,0.0958,0.9272,0.9603,0.3018,0.795,0.8698
41,0.0888,0.9319,0.9633,0.3092,0.7986,0.8738
42,0.086,0.9342,0.9646,0.3051,0.8026,0.8783
43,0.0856,0.9357,0.9656,0.2975,0.7944,0.8689
44,0.0835,0.9366,0.9656,0.3053,0.8003,0.8763
45,0.0827,0.9365,0.9655,0.3085,0.7965,0.8721
46,0.0806,0.9374,0.9664,0.3045,0.8028,0.8782
47,0.0806,0.9387,0.9671,0.2961,0.8018,0.8762
48,0.0856,0.9347,0.9639,0.2954,0.8051,0.8776
49,0.0787,0.9381,0.9661,0.2937,0.8029,0.8773
50,0.0752,0.9434,0.9701,0.301,0.8018,0.8756
51,0.0733,0.9436,0.97,0.3015,0.8011,0.8754
52,0.0718,0.9435,0.9697,0.3022,0.8008,0.8731
53,0.0695,0.946,0.9716,0.3129,0.7984,0.8743
54,0.0699,0.9451,0.9709,0.3214,0.7845,0.8598
55,0.0743,0.9389,0.9674,0.3825,0.7568,0.8388
56,0.0757,0.9364,0.9664,0.32,0.7845,0.8586
57,0.0732,0.9383,0.9671,0.3377,0.7877,0.8637
58,0.0843,0.9285,0.9609,0.3134,0.7952,0.8707
59,0.0725,0.9405,0.9684,0.3134,0.7902,0.8667
60,0.0656,0.9459,0.9705,0.3082,0.8077,0.8805
61,0.0648,0.947,0.9716,0.3053,0.8027,0.8762
62,0.0606,0.9511,0.9745,0.2994,0.8049,0.878
63,0.0603,0.9506,0.9737,0.3072,0.8027,0.8756
64,0.0582,0.9527,0.9751,0.3126,0.7945,0.8689
65,0.0593,0.9509,0.974,0.2964,0.8137,0.8852
66,0.0573,0.9518,0.9746,0.3059,0.8043,0.8781
67,0.0554,0.9535,0.9753,0.305,0.8012,0.8754
68,0.0554,0.953,0.975,0.3021,0.8038,0.8765
69,0.0543,0.9543,0.9762,0.304,0.8062,0.8791
70,0.056,0.9513,0.9739,0.3091,0.8115,0.883
71,0.0534,0.9547,0.9764,0.3098,0.7989,0.8746
72,0.0515,0.9562,0.9772,0.3006,0.8098,0.8823
73,0.0503,0.9573,0.9777,0.3115,0.8028,0.875
74,0.0505,0.9563,0.9772,0.3026,0.8076,0.8799
75,0.0503,0.9561,0.9773,0.3483,0.7911,0.8638
76,0.0493,0.9559,0.977,0.3143,0.7984,0.8718
77,0.0478,0.9578,0.9782,0.3165,0.8035,0.877
78,0.0481,0.956,0.9767,0.3238,0.8011,0.8759
79,0.0497,0.9553,0.9766,0.3199,0.8042,0.8754
80,0.0477,0.9561,0.9771,0.3124,0.8038,0.877
81,0.0531,0.9514,0.9747,0.3198,0.8008,0.8745
82,0.0494,0.954,0.9757,0.3111,0.8092,0.8814
83,0.0457,0.9578,0.9781,0.3199,0.8029,0.8766
84,0.0459,0.9583,0.9784,0.3273,0.8096,0.8805
85,0.0453,0.9589,0.9787,0.3124,0.8077,0.8791
86,0.0431,0.9601,0.9793,0.3148,0.807,0.8797
