epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.5794,0.1521,0.237,1.4862,0.2672,0.3822
1,1.3862,0.3096,0.4346,1.3361,0.307,0.4407
2,1.267,0.4189,0.5508,1.2042,0.4335,0.5676
3,1.1656,0.4917,0.6306,1.1831,0.5139,0.6305
4,1.0643,0.5464,0.6788,1.0571,0.4445,0.5858
5,0.9558,0.5981,0.7229,1.0096,0.5335,0.6591
6,0.8546,0.6501,0.771,0.8578,0.6012,0.7009
7,0.7855,0.6571,0.7716,0.748,0.6048,0.7088
8,0.6995,0.6924,0.8003,0.7083,0.6418,0.7367
9,0.6301,0.7137,0.8167,0.6969,0.6216,0.7277
10,0.5573,0.7298,0.8261,0.574,0.6742,0.768
11,0.5123,0.7523,0.8465,0.5529,0.6489,0.7429
12,0.461,0.731,0.8254,0.5543,0.6456,0.7385
13,0.4159,0.7486,0.8372,0.4838,0.6359,0.7265
14,0.3721,0.7543,0.8397,0.4533,0.6652,0.7567
15,0.3353,0.7627,0.8438,0.4435,0.6347,0.7212
16,0.3259,0.7691,0.8533,0.3895,0.6077,0.6955
17,0.3052,0.7613,0.8419,0.3909,0.646,0.7322
18,0.2874,0.7556,0.8377,0.3743,0.6294,0.7157
19,0.2656,0.7782,0.8563,0.3646,0.6309,0.7113
20,0.2529,0.7778,0.8543,0.4308,0.6377,0.7293
21,0.2406,0.7772,0.8559,0.4077,0.6627,0.7528
22,0.2254,0.7742,0.8476,0.3531,0.635,0.7271
23,0.2733,0.7543,0.8383,0.4055,0.5183,0.6083
24,0.2743,0.7274,0.8163,0.3611,0.6127,0.7008
25,0.2263,0.7811,0.8611,0.363,0.5825,0.6737
26,0.2233,0.7793,0.857,0.4383,0.641,0.7397
27,0.2339,0.7678,0.8481,0.3064,0.6473,0.7418
28,0.2021,0.7981,0.8735,0.3498,0.5958,0.6777
29,0.1998,0.8006,0.8736,0.3355,0.6362,0.7243
30,0.1786,0.8185,0.8866,0.3083,0.6764,0.7663
31,0.1739,0.822,0.8909,0.3409,0.6769,0.7681
32,0.1753,0.8197,0.8865,0.3148,0.6209,0.7074
33,0.1788,0.8165,0.8849,0.388,0.6717,0.7612
34,0.1731,0.8151,0.885,0.3136,0.5813,0.6633
35,0.1695,0.8253,0.8917,0.3263,0.6862,0.7803
36,0.1752,0.8104,0.8781,0.2912,0.6081,0.6894
37,0.1576,0.8258,0.8887,0.3152,0.6174,0.7006
38,0.162,0.8123,0.8798,0.3106,0.6576,0.7482
39,0.15,0.8429,0.9054,0.3091,0.6466,0.7351
40,0.1488,0.8462,0.9071,0.3044,0.6338,0.7241
41,0.1536,0.8421,0.9052,0.3208,0.6094,0.6922
42,0.1546,0.8302,0.8907,0.3019,0.6462,0.7283
43,0.1488,0.8366,0.897,0.3042,0.6802,0.7729
44,0.139,0.8519,0.9101,0.2997,0.6689,0.7578
45,0.1465,0.8315,0.8924,0.3068,0.6757,0.7664
46,0.1421,0.853,0.9118,0.2965,0.6267,0.7109
47,0.1328,0.8522,0.9099,0.2987,0.6855,0.775
48,0.1358,0.855,0.913,0.2947,0.648,0.7384
49,0.1313,0.8484,0.9042,0.3004,0.6351,0.7196
50,0.1431,0.8501,0.908,0.3415,0.6402,0.7293
51,0.1275,0.8596,0.9165,0.3152,0.6149,0.7079
52,0.1369,0.863,0.9205,0.2919,0.6378,0.7267
53,0.1354,0.8498,0.906,0.2972,0.6778,0.767
54,0.1431,0.8459,0.9066,0.2988,0.6039,0.6895
55,0.1345,0.8424,0.9063,0.2968,0.6609,0.7477
56,0.1359,0.8618,0.9164,0.2944,0.6777,0.7681
