epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.5418,0.1946,0.2903,1.4427,0.2877,0.4231
1,1.3016,0.4112,0.5517,1.1255,0.5005,0.6487
2,1.1077,0.5044,0.645,1.0535,0.5603,0.706
3,0.8991,0.5712,0.7129,0.8895,0.5282,0.6767
4,0.7131,0.6081,0.7449,0.6023,0.5751,0.7284
5,0.5402,0.6472,0.7791,0.6082,0.6361,0.7672
6,0.4221,0.6479,0.7832,0.3427,0.6777,0.8015
7,0.3582,0.6531,0.7943,0.3571,0.6543,0.7784
8,0.2793,0.6854,0.8186,0.2941,0.6477,0.7672
9,0.2661,0.6954,0.8368,0.2885,0.6485,0.7803
10,0.2355,0.705,0.8506,0.2749,0.6599,0.7747
11,0.2204,0.7159,0.8589,0.3127,0.6498,0.776
12,0.2037,0.7234,0.8633,0.2426,0.6706,0.7948
13,0.1965,0.7232,0.8635,0.2555,0.6529,0.7754
14,0.1856,0.7426,0.8764,0.2392,0.6751,0.797
15,0.1879,0.7282,0.8663,0.2479,0.6044,0.7308
16,0.1753,0.7448,0.8782,0.2304,0.6795,0.799
17,0.1705,0.7507,0.8862,0.2276,0.658,0.7828
18,0.1648,0.7622,0.8975,0.2273,0.6772,0.7927
19,0.1594,0.7697,0.9032,0.2236,0.6428,0.7654
20,0.1522,0.7814,0.9105,0.204,0.6975,0.8138
21,0.1578,0.7715,0.9061,0.21,0.6653,0.7942
22,0.1467,0.7825,0.9127,0.2017,0.7024,0.8239
23,0.148,0.7843,0.9146,0.2105,0.6621,0.7864
24,0.1424,0.7909,0.9203,0.2007,0.6931,0.8097
25,0.1376,0.794,0.9213,0.2032,0.6661,0.7858
26,0.1313,0.8083,0.9336,0.1943,0.711,0.827
27,0.13,0.8085,0.9326,0.1914,0.6936,0.8069
28,0.129,0.8109,0.935,0.196,0.7101,0.815
29,0.1248,0.8115,0.9344,0.1889,0.7087,0.8211
30,0.1244,0.8158,0.9388,0.2058,0.6986,0.8129
31,0.1239,0.8139,0.9383,0.1861,0.7027,0.8197
32,0.1194,0.8134,0.9361,0.2049,0.6628,0.7901
33,0.121,0.8199,0.944,0.1829,0.7194,0.8372
34,0.1162,0.8216,0.9432,0.1924,0.7059,0.819
35,0.1091,0.8283,0.9472,0.208,0.6768,0.8059
36,0.1131,0.8231,0.9446,0.1966,0.7081,0.8234
37,0.1136,0.817,0.9382,0.1853,0.6997,0.8195
38,0.1127,0.8262,0.9453,0.1854,0.7106,0.8293
39,0.1056,0.8358,0.9525,0.1831,0.7219,0.8386
40,0.1027,0.8431,0.9589,0.1734,0.7347,0.8483
41,0.1002,0.8428,0.9586,0.1755,0.7328,0.8458
42,0.0991,0.8459,0.9595,0.1775,0.7055,0.8238
43,0.0966,0.8505,0.9646,0.174,0.7186,0.816
44,0.095,0.8473,0.9606,0.1717,0.7248,0.8381
45,0.0971,0.843,0.9585,0.1826,0.7213,0.8367
46,0.097,0.8508,0.9654,0.1658,0.7326,0.8322
47,0.0899,0.8545,0.9674,0.1741,0.7258,0.8358
48,0.0919,0.8521,0.9655,0.1716,0.7236,0.8228
49,0.0883,0.8597,0.9713,0.173,0.7287,0.847
50,0.0938,0.8542,0.9684,0.1611,0.7286,0.8187
51,0.0885,0.8563,0.9694,0.1627,0.7364,0.8391
52,0.0913,0.8544,0.9673,0.1645,0.7323,0.8267
53,0.0869,0.8585,0.9699,0.173,0.7128,0.826
54,0.0826,0.8638,0.9737,0.1579,0.7285,0.8209
55,0.082,0.8605,0.9702,0.1592,0.7324,0.8273
56,0.0815,0.8645,0.9737,0.16,0.726,0.816
57,0.0819,0.865,0.9737,0.1582,0.7297,0.8275
58,0.0787,0.8651,0.9741,0.16,0.7283,0.8255
59,0.0786,0.8671,0.9754,0.1624,0.7267,0.8228
60,0.0756,0.8674,0.9745,0.1717,0.721,0.8261
61,0.0745,0.875,0.9821,0.1615,0.716,0.8064
