epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.2619,0.2181,0.3235,1.2213,0.0032,0.0063
1,1.1216,0.2841,0.3996,1.1367,0.1245,0.1864
2,1.0732,0.291,0.403,1.1038,0.2605,0.375
3,1.0226,0.3121,0.4247,1.0779,0.2667,0.3758
4,0.9855,0.3377,0.4526,1.0128,0.2765,0.393
5,0.9414,0.3633,0.4803,0.997,0.2948,0.4177
6,0.9062,0.3849,0.5059,0.9618,0.2814,0.388
7,0.861,0.4058,0.5287,1.0218,0.1711,0.2396
8,0.8253,0.4303,0.5552,0.9139,0.3473,0.4853
9,0.7796,0.4658,0.5906,0.8691,0.379,0.5073
10,0.7261,0.504,0.6257,0.8087,0.4394,0.565
11,0.6703,0.5583,0.6766,1.1018,0.2935,0.4139
12,0.6611,0.5375,0.657,0.8357,0.3277,0.4303
13,0.6442,0.5446,0.6667,0.747,0.4179,0.5269
14,0.5809,0.5861,0.7033,0.7066,0.4559,0.5805
15,0.5118,0.6414,0.7511,0.687,0.4772,0.6065
16,0.4868,0.6642,0.7725,0.6443,0.5118,0.6368
17,0.4403,0.6904,0.7931,0.6085,0.5174,0.6323
18,0.4237,0.6972,0.7965,0.9205,0.3613,0.4895
19,0.3984,0.7086,0.8067,0.6137,0.5332,0.6494
20,0.3512,0.7469,0.8349,0.5734,0.5545,0.6749
21,0.3127,0.7713,0.8513,0.7284,0.3559,0.4517
22,0.3021,0.7631,0.8451,0.5987,0.5014,0.6082
23,0.2696,0.7961,0.8686,0.6441,0.4467,0.5676
24,0.2534,0.8072,0.8787,0.5198,0.5542,0.6722
25,0.2388,0.8207,0.8892,0.6821,0.4222,0.547
26,0.2257,0.8197,0.8871,0.6346,0.4685,0.6055
27,0.1973,0.8348,0.8965,0.5412,0.5428,0.6467
28,0.1748,0.8537,0.9082,0.5139,0.5462,0.6489
29,0.1582,0.8692,0.9194,0.5178,0.5289,0.6352
30,0.1576,0.8717,0.9222,0.5193,0.5178,0.6147
31,0.1487,0.8711,0.9213,0.4669,0.5675,0.6728
32,0.1239,0.8848,0.9294,0.4385,0.599,0.7055
33,0.1305,0.8807,0.9285,0.5325,0.5483,0.6684
34,0.1241,0.8832,0.9292,0.5144,0.5413,0.6571
35,0.1307,0.8708,0.9213,0.4935,0.5525,0.6741
36,0.124,0.8794,0.9288,0.5051,0.5199,0.6277
37,0.1579,0.8499,0.9084,0.5817,0.5043,0.6332
38,0.1415,0.8537,0.9101,0.572,0.4931,0.6132
39,0.124,0.8654,0.9175,0.4657,0.5785,0.6848
40,0.1097,0.8858,0.9309,0.52,0.5161,0.6202
41,0.1059,0.8826,0.9304,0.5032,0.5392,0.6503
42,0.086,0.9056,0.944,0.6155,0.4432,0.5426
43,0.0956,0.8953,0.9371,0.5835,0.4793,0.5821
44,0.0787,0.9071,0.9443,0.4834,0.5691,0.6786
45,0.0925,0.8968,0.9388,0.758,0.3937,0.5127
46,0.0924,0.8984,0.9411,0.4639,0.5692,0.6756
47,0.0671,0.9243,0.9569,0.484,0.5759,0.6797
48,0.0589,0.9338,0.9623,0.4839,0.5725,0.6762
49,0.0568,0.9372,0.9642,0.4848,0.5682,0.6699
50,0.0512,0.9397,0.9653,0.4944,0.5697,0.6757
51,0.0494,0.9442,0.9681,0.483,0.5753,0.678
52,0.047,0.9452,0.9686,0.4855,0.5747,0.6801
53,0.0442,0.9494,0.9709,0.4965,0.5656,0.6712
