epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.8124,0.568,0.6789,0.754,0.5879,0.7036
1,0.5671,0.6646,0.766,0.669,0.6033,0.7161
2,0.4697,0.6956,0.7902,0.6199,0.59,0.7081
3,0.4168,0.7143,0.805,0.5353,0.6791,0.768
4,0.3771,0.7275,0.8154,0.5221,0.6659,0.754
5,0.3582,0.7371,0.8218,0.5263,0.6602,0.7527
6,0.3278,0.75,0.8305,0.5063,0.6709,0.7573
7,0.3161,0.7518,0.8333,0.5423,0.654,0.7439
8,0.3052,0.7566,0.8366,0.6946,0.5914,0.6714
9,0.2912,0.7639,0.8418,0.489,0.6908,0.7764
10,0.2793,0.7706,0.847,0.5828,0.6463,0.7254
11,0.2733,0.7765,0.8515,0.5517,0.6489,0.7245
12,0.2685,0.7809,0.854,0.5098,0.6661,0.7485
13,0.257,0.7819,0.8553,0.4491,0.7049,0.7857
14,0.2562,0.7828,0.8562,0.4479,0.7026,0.7855
15,0.2567,0.7864,0.8603,0.4812,0.7,0.7829
16,0.2356,0.7969,0.868,0.4298,0.7106,0.7903
17,0.2428,0.7923,0.8649,0.5371,0.6519,0.7337
18,0.245,0.7915,0.8635,0.496,0.6675,0.7446
19,0.2293,0.7989,0.8698,0.4927,0.6692,0.7526
20,0.2308,0.7992,0.8705,0.4234,0.7161,0.8
21,0.2254,0.8025,0.8737,0.4604,0.7053,0.7855
22,0.2205,0.8046,0.8749,0.4532,0.71,0.7901
23,0.2224,0.801,0.8702,0.4994,0.6866,0.7688
24,0.2197,0.8043,0.8739,0.4597,0.7036,0.791
25,0.2322,0.7974,0.8684,0.4538,0.6838,0.7641
26,0.2201,0.8012,0.8714,0.4759,0.6964,0.776
27,0.2108,0.8113,0.8794,0.4528,0.7123,0.7927
28,0.2045,0.8149,0.8827,0.4362,0.7135,0.7929
29,0.2119,0.8104,0.8797,0.4432,0.7056,0.7881
30,0.1988,0.8147,0.8828,0.5404,0.6634,0.7388
31,0.1937,0.8179,0.8856,0.4037,0.7254,0.8057
32,0.1993,0.8153,0.8839,0.4801,0.6962,0.7731
33,0.1944,0.8181,0.8855,0.4448,0.722,0.8068
34,0.1906,0.8229,0.8893,0.4687,0.7261,0.8063
35,0.196,0.82,0.8869,0.3949,0.7319,0.8109
36,0.1829,0.8283,0.8945,0.5034,0.7065,0.7835
37,0.1848,0.8221,0.8891,0.4203,0.7339,0.8203
38,0.1842,0.8283,0.8936,0.4249,0.7209,0.8079
39,0.1773,0.8304,0.8953,0.5472,0.6913,0.7706
40,0.1833,0.8264,0.8919,0.4708,0.6949,0.7885
41,0.1918,0.8208,0.8884,0.4593,0.7162,0.7979
42,0.1725,0.831,0.8958,0.4781,0.722,0.8016
43,0.1636,0.8394,0.9026,0.5242,0.7106,0.7904
44,0.1743,0.8306,0.8963,0.4706,0.6974,0.7726
45,0.1852,0.829,0.8942,0.4969,0.6958,0.774
46,0.1916,0.8216,0.8883,0.4632,0.7213,0.8013
47,0.1599,0.8417,0.9049,0.4274,0.7282,0.8105
48,0.1544,0.8442,0.9064,0.3849,0.7409,0.8226
49,0.1579,0.8421,0.9041,0.4359,0.7348,0.814
50,0.1556,0.8469,0.9091,0.552,0.6969,0.7739
51,0.155,0.8441,0.9059,0.5211,0.7191,0.7983
52,0.1484,0.8508,0.912,0.5071,0.7143,0.7909
53,0.1569,0.845,0.907,0.488,0.7177,0.7979
54,0.1419,0.8555,0.9152,0.4068,0.7391,0.8243
55,0.1509,0.8491,0.9098,0.4928,0.718,0.8
56,0.1533,0.8439,0.9061,0.4667,0.7398,0.821
57,0.1342,0.86,0.919,0.439,0.7309,0.8158
58,0.131,0.8623,0.92,0.4712,0.7216,0.7982
59,0.1479,0.8501,0.9106,0.4331,0.7221,0.8072
60,0.1469,0.8526,0.9134,0.5287,0.7097,0.796
61,0.1372,0.8608,0.9197,0.42,0.7449,0.8299
62,0.138,0.8563,0.916,0.5224,0.7158,0.7998
63,0.1261,0.8661,0.9224,0.4761,0.7314,0.8152
64,0.1248,0.8673,0.9234,0.5226,0.7209,0.7994
65,0.1224,0.8689,0.9246,0.4715,0.739,0.8189
66,0.1197,0.8708,0.9267,0.5096,0.7201,0.7997
67,0.1283,0.8671,0.9239,0.4513,0.7292,0.8127
68,0.1469,0.8579,0.917,0.4456,0.7353,0.8154
69,0.1118,0.878,0.9314,0.4739,0.7376,0.8168
70,0.1127,0.8758,0.9296,0.5366,0.7232,0.7992
71,0.1088,0.8813,0.9334,0.4715,0.7318,0.8158
72,0.1045,0.8847,0.9359,0.5412,0.7168,0.8003
73,0.1055,0.8848,0.936,0.5345,0.7221,0.8025
74,0.1171,0.8726,0.9269,0.4659,0.7067,0.7937
75,0.1091,0.8813,0.9337,0.5441,0.7219,0.8042
76,0.0992,0.8886,0.9383,0.5606,0.713,0.7979
77,0.0973,0.8904,0.9395,0.5362,0.7258,0.8075
78,0.0928,0.8937,0.9417,0.5146,0.731,0.8141
79,0.0929,0.8931,0.9412,0.5437,0.7229,0.8046
80,0.0904,0.8948,0.9424,0.565,0.7157,0.7951
81,0.0878,0.8982,0.9444,0.5624,0.7096,0.7918
82,0.0895,0.8956,0.9425,0.6418,0.6977,0.7788
