epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.198,0.2774,0.3973,1.0972,0.3511,0.4803
1,1.0518,0.3365,0.4659,0.9677,0.4027,0.5287
2,0.9821,0.37,0.5018,0.9338,0.403,0.5296
3,0.9175,0.397,0.5287,0.9048,0.3774,0.4945
4,0.8561,0.4226,0.5532,0.8778,0.4207,0.5451
5,0.8216,0.4406,0.5711,0.8443,0.4529,0.5776
6,0.7607,0.4793,0.6075,0.7766,0.4754,0.598
7,0.7343,0.4872,0.6159,0.756,0.4972,0.6219
8,0.66,0.5364,0.6623,0.7153,0.5113,0.6304
9,0.6276,0.5582,0.68,0.6906,0.5273,0.6468
10,0.5819,0.584,0.7059,0.6703,0.5354,0.6518
11,0.5372,0.6133,0.7309,0.6865,0.5136,0.6298
12,0.4939,0.6416,0.7549,0.6364,0.5574,0.6757
13,0.4573,0.6622,0.772,0.6729,0.5118,0.6246
14,0.4166,0.69,0.7935,0.6663,0.525,0.6391
15,0.3553,0.7363,0.8293,0.6105,0.5676,0.686
16,0.3279,0.7474,0.8387,0.6022,0.5629,0.6785
17,0.2711,0.7951,0.8739,0.6434,0.5397,0.6502
18,0.2571,0.798,0.8771,0.6806,0.5513,0.6707
19,0.2359,0.8085,0.8822,0.6201,0.5661,0.6783
20,0.2081,0.8374,0.9032,0.587,0.5802,0.6915
21,0.2043,0.8331,0.8999,0.6181,0.5748,0.6935
22,0.1901,0.8412,0.9046,0.6239,0.5599,0.6697
23,0.1816,0.8457,0.9069,0.5949,0.5764,0.6903
24,0.1542,0.873,0.9273,0.7699,0.5011,0.6062
25,0.1437,0.8783,0.9295,0.6499,0.551,0.6629
26,0.1416,0.8798,0.9315,0.6755,0.5617,0.6737
27,0.1232,0.8927,0.9401,0.6174,0.5785,0.6886
28,0.1238,0.8877,0.9363,0.7218,0.5499,0.6692
29,0.1172,0.8907,0.9375,0.6384,0.5563,0.6648
30,0.1052,0.9018,0.9439,0.6773,0.5478,0.6572
31,0.1061,0.902,0.9455,0.7744,0.5258,0.6337
32,0.0946,0.9104,0.9506,0.6823,0.566,0.6792
33,0.0795,0.9217,0.9576,0.7132,0.5417,0.6502
34,0.0703,0.9301,0.9623,0.6909,0.5592,0.668
35,0.0781,0.9224,0.9581,0.7552,0.5254,0.6308
36,0.0653,0.9334,0.9645,0.682,0.5594,0.6677
37,0.0642,0.9362,0.966,0.7013,0.5619,0.6763
38,0.0558,0.9417,0.9685,0.7243,0.5539,0.6627
39,0.0555,0.9414,0.969,0.6841,0.5793,0.6885
40,0.0502,0.9467,0.9718,0.6798,0.5765,0.6852
41,0.045,0.9504,0.9737,0.7107,0.5733,0.6813
42,0.0424,0.9546,0.9761,0.6867,0.5827,0.6953
43,0.0746,0.9236,0.9564,0.7652,0.5006,0.6152
44,0.1816,0.8263,0.8912,0.9016,0.4582,0.5611
45,0.1472,0.8576,0.9158,0.7331,0.5406,0.6581
46,0.1057,0.8922,0.9387,0.7463,0.5551,0.6692
47,0.0686,0.9238,0.9585,0.7933,0.5334,0.6336
48,0.053,0.942,0.9692,0.6374,0.5972,0.7079
49,0.0464,0.9483,0.9725,0.6954,0.5673,0.6754
50,0.0517,0.9408,0.968,0.6823,0.5829,0.6934
51,0.0404,0.953,0.9752,0.6787,0.591,0.7023
52,0.0351,0.9589,0.9786,0.6955,0.589,0.7008
53,0.0337,0.9613,0.9799,0.6995,0.5919,0.7007
54,0.0312,0.9637,0.9811,0.7087,0.5934,0.7037
55,0.0295,0.9647,0.9816,0.7374,0.5787,0.6898
56,0.0306,0.9635,0.981,0.7467,0.5842,0.6961
57,0.0296,0.9643,0.9814,0.7702,0.5688,0.6801
58,0.0276,0.9665,0.9827,0.7369,0.5919,0.7046
59,0.026,0.9683,0.9836,0.7268,0.5939,0.7064
60,0.025,0.9697,0.9844,0.7913,0.5671,0.6793
61,0.0238,0.9707,0.9849,0.737,0.5926,0.7075
62,0.0229,0.9718,0.9855,0.769,0.5922,0.703
63,0.0241,0.9704,0.9848,0.784,0.5752,0.6866
64,0.0227,0.9723,0.9858,0.8176,0.5632,0.6729
65,0.0233,0.9715,0.9853,0.7958,0.5758,0.687
66,0.0235,0.9705,0.9848,0.8082,0.5659,0.6786
67,0.0213,0.9729,0.9861,0.7848,0.5752,0.688
68,0.0217,0.9726,0.9859,0.7728,0.5766,0.6905
69,0.0217,0.9728,0.9861,0.7873,0.5789,0.6889
