epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.3583,0.1757,0.2639,1.3255,0.014,0.0225
1,1.1736,0.3303,0.4379,1.1418,0.3524,0.4711
2,1.1228,0.3562,0.4691,1.0964,0.4013,0.5076
3,1.0662,0.388,0.5069,1.152,0.2585,0.3688
4,1.032,0.4156,0.5347,1.1056,0.2858,0.4009
5,0.9977,0.4154,0.5333,0.9877,0.395,0.5153
6,0.9581,0.4489,0.5653,0.9755,0.4362,0.5578
7,0.9478,0.4262,0.5467,0.9469,0.4604,0.572
8,0.9115,0.4739,0.5923,0.9513,0.3694,0.4848
9,0.8823,0.484,0.6,1.1981,0.2284,0.3219
10,0.8728,0.4642,0.5824,1.0681,0.2593,0.3677
11,0.8392,0.4896,0.6055,0.8549,0.4781,0.5803
12,0.7949,0.5323,0.6478,0.8585,0.4376,0.5546
13,0.7556,0.5737,0.685,0.8236,0.4401,0.5536
14,0.7507,0.5706,0.6846,0.8091,0.4448,0.5659
15,0.7205,0.6011,0.7115,0.7784,0.49,0.6025
16,0.6836,0.6241,0.7334,0.8426,0.3862,0.5011
17,0.6207,0.6707,0.7762,0.7754,0.4905,0.5935
18,0.5885,0.7122,0.8106,0.7439,0.5343,0.6322
19,0.5892,0.6882,0.793,0.79,0.4125,0.5345
20,0.5495,0.7092,0.8083,0.7456,0.4539,0.5737
21,0.5196,0.7379,0.8322,0.7433,0.5173,0.6081
22,0.4932,0.7586,0.8471,0.9194,0.3164,0.4246
23,0.4628,0.7899,0.8716,0.6578,0.5079,0.6189
24,0.455,0.7681,0.8523,0.7866,0.3855,0.5036
25,0.4509,0.7605,0.8478,0.6806,0.503,0.5965
26,0.4251,0.7799,0.8619,0.6705,0.5246,0.6294
27,0.3911,0.7865,0.8708,0.6445,0.5336,0.6263
28,0.3874,0.7942,0.8758,0.7135,0.4124,0.5285
29,0.3718,0.7757,0.8599,0.6418,0.4925,0.5766
30,0.3362,0.8207,0.891,0.6003,0.5179,0.6154
31,0.3202,0.8306,0.9,0.596,0.5446,0.6456
32,0.2967,0.8504,0.9143,0.6449,0.5005,0.5938
33,0.2857,0.8599,0.9216,0.6035,0.4879,0.5976
34,0.2501,0.8659,0.9253,0.56,0.5488,0.6523
35,0.2741,0.8593,0.9198,0.5777,0.5266,0.6392
36,0.284,0.8282,0.8973,0.5924,0.5207,0.6169
37,0.2554,0.8523,0.9157,0.7186,0.4156,0.5309
38,0.2601,0.8186,0.8897,0.5596,0.5028,0.6068
39,0.2291,0.8538,0.9173,0.5884,0.5025,0.5933
40,0.2071,0.8652,0.921,0.5753,0.5211,0.6104
41,0.1921,0.8915,0.9405,0.5678,0.5446,0.6302
42,0.1715,0.9038,0.9481,0.5489,0.5406,0.6287
43,0.1672,0.9065,0.9498,0.5658,0.5009,0.5927
44,0.1554,0.9125,0.9532,0.5403,0.5121,0.6169
45,0.1559,0.8989,0.9445,0.592,0.5095,0.5914
46,0.1477,0.8995,0.9452,0.5673,0.5042,0.6022
47,0.1375,0.9144,0.9539,0.5524,0.5348,0.6266
48,0.1347,0.9117,0.9527,0.5014,0.5598,0.6613
