epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.3724,0.1424,0.2378,1.502,0.1392,0.2347
1,1.2267,0.2325,0.3484,1.5488,0.1483,0.2486
2,1.1431,0.3117,0.4475,1.2263,0.2723,0.4029
3,1.04,0.3879,0.5314,1.0482,0.3935,0.5348
4,0.9901,0.425,0.567,0.9869,0.42,0.5648
5,0.9778,0.425,0.565,0.9455,0.4081,0.5532
6,0.9577,0.4349,0.577,1.0151,0.392,0.5372
7,0.8984,0.4755,0.6155,1.0181,0.3906,0.5316
8,0.8741,0.4986,0.6384,0.9078,0.4408,0.5876
9,0.8622,0.4953,0.636,1.493,0.3009,0.4383
10,0.8682,0.4756,0.6158,0.9621,0.3806,0.5322
11,0.8091,0.5298,0.6686,0.9087,0.4365,0.5811
12,0.7883,0.5397,0.6746,1.0215,0.3089,0.4486
13,0.7576,0.5637,0.6927,1.0223,0.253,0.363
14,0.693,0.6099,0.7359,0.9321,0.3724,0.514
15,0.6879,0.6214,0.7459,0.9103,0.4062,0.5596
16,0.6512,0.6632,0.781,0.9483,0.3203,0.445
17,0.582,0.714,0.8216,1.05,0.384,0.5333
18,0.5747,0.7264,0.8294,0.8983,0.4208,0.5622
19,0.5559,0.7435,0.8444,0.9067,0.4097,0.5608
20,0.5127,0.7748,0.8659,0.8945,0.3757,0.5165
21,0.5032,0.769,0.8612,0.8996,0.3845,0.5272
22,0.4693,0.807,0.8878,0.9739,0.294,0.4145
23,0.4596,0.8118,0.8916,0.866,0.4364,0.5797
24,0.4345,0.8298,0.9033,0.875,0.4031,0.5426
25,0.429,0.8147,0.8929,0.9475,0.3859,0.5383
26,0.4142,0.8307,0.904,0.8454,0.4141,0.5643
27,0.4197,0.8111,0.8872,0.8643,0.3992,0.5469
28,0.4064,0.8405,0.9112,0.9205,0.3414,0.4699
29,0.3626,0.8632,0.9252,0.8734,0.3905,0.5313
