epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.009,0.361,0.4818,1.2605,0.4099,0.5445
1,0.4635,0.6367,0.7408,0.5524,0.5992,0.7086
2,0.3206,0.7154,0.8073,0.3493,0.6536,0.7509
3,0.2453,0.7563,0.839,0.3192,0.6809,0.7704
4,0.1868,0.7943,0.8671,0.2812,0.7038,0.7938
5,0.151,0.8195,0.8852,0.2843,0.7076,0.7953
6,0.132,0.8373,0.897,0.2613,0.7189,0.8015
7,0.116,0.8478,0.906,0.2625,0.717,0.8062
8,0.0989,0.869,0.9201,0.2505,0.7322,0.8121
9,0.092,0.8743,0.924,0.2717,0.7206,0.8007
10,0.0874,0.8819,0.9293,0.28,0.7008,0.791
11,0.0931,0.8719,0.9224,0.2483,0.7301,0.8116
12,0.0856,0.8807,0.9284,0.2236,0.7459,0.8217
13,0.0819,0.8852,0.9309,0.2428,0.7285,0.8052
14,0.0752,0.8894,0.934,0.2317,0.7424,0.8207
15,0.0696,0.896,0.9383,0.2176,0.7527,0.8334
16,0.0623,0.9082,0.9472,0.2227,0.757,0.8318
17,0.0598,0.9117,0.9485,0.231,0.7372,0.8147
18,0.0589,0.9086,0.9469,0.2426,0.7411,0.8224
19,0.057,0.9149,0.9512,0.2289,0.7587,0.8343
20,0.0539,0.918,0.9529,0.2335,0.7513,0.8262
21,0.0503,0.9243,0.9573,0.2208,0.7612,0.8366
22,0.0509,0.9225,0.9558,0.2193,0.7711,0.8425
23,0.0496,0.9244,0.9578,0.2499,0.7297,0.8046
24,0.0476,0.9258,0.9584,0.2256,0.7672,0.8424
25,0.0475,0.926,0.9592,0.2371,0.7505,0.8252
26,0.0443,0.9305,0.9611,0.2262,0.767,0.8426
27,0.044,0.9322,0.9624,0.2389,0.746,0.8225
28,0.0444,0.9323,0.9628,0.221,0.7676,0.8436
29,0.0439,0.9326,0.9627,0.2274,0.7687,0.8445
30,0.0426,0.9336,0.9633,0.2357,0.7563,0.8318
31,0.0414,0.9378,0.967,0.2441,0.7569,0.8314
32,0.0404,0.9363,0.9661,0.2224,0.7713,0.8477
33,0.0499,0.9317,0.9633,0.3488,0.7425,0.8298
34,0.2609,0.7728,0.8459,0.7667,0.368,0.4521
35,0.2548,0.7369,0.8255,0.5071,0.5139,0.606
36,0.1359,0.8238,0.8878,0.2018,0.7507,0.8224
37,0.0975,0.8664,0.9193,0.1895,0.779,0.8562
38,0.0707,0.8955,0.9399,0.1995,0.7686,0.8424
39,0.0646,0.9035,0.9436,0.1875,0.7932,0.8668
40,0.0563,0.9117,0.9501,0.2063,0.7695,0.8445
41,0.0528,0.9166,0.9517,0.2491,0.7544,0.833
42,0.0476,0.924,0.957,0.2153,0.771,0.8469
43,0.0455,0.926,0.9593,0.1931,0.7918,0.8667
44,0.0427,0.9336,0.9647,0.2117,0.7895,0.8633
45,0.0407,0.9344,0.9647,0.1977,0.7954,0.8689
46,0.0391,0.9379,0.9672,0.2117,0.7879,0.8621
47,0.0373,0.9408,0.9688,0.2043,0.7981,0.8711
48,0.0364,0.9424,0.9695,0.2423,0.7758,0.8509
49,0.0359,0.9398,0.9667,0.2338,0.7811,0.8569
50,0.0355,0.9435,0.9696,0.2293,0.7914,0.8638
51,0.035,0.9434,0.9698,0.2181,0.7907,0.8648
52,0.0358,0.9439,0.9705,0.2202,0.7934,0.8673
53,0.0346,0.9445,0.9702,0.2229,0.7838,0.8574
54,0.0335,0.947,0.9723,0.2249,0.7898,0.8641
55,0.0326,0.9482,0.973,0.2291,0.7862,0.8605
56,0.0321,0.9493,0.9735,0.2387,0.7828,0.8566
57,0.0321,0.9497,0.9738,0.2375,0.7893,0.8635
58,0.0326,0.9475,0.9723,0.2453,0.7859,0.8612
59,0.0313,0.9488,0.9729,0.2323,0.7915,0.8651
60,0.0311,0.95,0.9738,0.2327,0.7867,0.8589
61,0.0317,0.95,0.974,0.2365,0.7931,0.8658
62,0.0308,0.9506,0.9742,0.246,0.7867,0.8608
63,0.0304,0.9516,0.9748,0.2325,0.7901,0.8638
64,0.029,0.9516,0.9745,0.2399,0.7878,0.8619
65,0.0296,0.9527,0.9754,0.2328,0.7946,0.8674
66,0.0298,0.9521,0.9751,0.2512,0.7854,0.8586
67,0.0297,0.9523,0.9752,0.2416,0.7954,0.8684
68,0.0295,0.9539,0.976,0.2412,0.7927,0.8661
