epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.8049,0.5327,0.656,0.6123,0.6418,0.7517
1,0.3709,0.732,0.8275,0.4511,0.7134,0.8102
2,0.2527,0.7904,0.8696,0.3415,0.7426,0.828
3,0.1864,0.8325,0.8995,0.3504,0.7431,0.8316
4,0.153,0.8537,0.9124,0.3284,0.7594,0.8417
5,0.1236,0.8736,0.9261,0.3517,0.7651,0.8438
6,0.104,0.8877,0.935,0.3301,0.7654,0.8464
7,0.0863,0.9044,0.9465,0.3127,0.7809,0.8601
8,0.0768,0.9111,0.9498,0.3066,0.7904,0.8665
9,0.0692,0.918,0.9537,0.3383,0.7803,0.8554
10,0.0622,0.9239,0.9574,0.3583,0.7749,0.8489
11,0.0577,0.9287,0.9607,0.3488,0.7816,0.8556
12,0.0537,0.9341,0.9646,0.3383,0.7899,0.8654
13,0.0493,0.9385,0.9667,0.345,0.7939,0.8676
14,0.054,0.9336,0.9645,0.4144,0.7607,0.8421
15,0.0561,0.9283,0.9607,0.3933,0.7723,0.8522
16,0.0519,0.9353,0.9648,0.373,0.779,0.8549
17,0.0459,0.9426,0.9691,0.3577,0.7918,0.8653
18,0.0817,0.9133,0.9497,0.5771,0.717,0.8105
19,0.2596,0.79,0.865,0.528,0.6755,0.7773
20,0.2255,0.8075,0.8778,0.3851,0.7345,0.8159
21,0.123,0.8769,0.9286,0.326,0.7694,0.846
22,0.0829,0.9037,0.9452,0.3601,0.7768,0.8494
23,0.0614,0.9249,0.959,0.3731,0.7818,0.8523
24,0.0525,0.9349,0.9649,0.355,0.7926,0.8613
25,0.0452,0.9429,0.9693,0.3607,0.7932,0.8619
26,0.0543,0.9351,0.9649,0.3999,0.7738,0.845
27,0.0742,0.9192,0.9551,0.3764,0.7724,0.8474
28,0.0666,0.9168,0.9531,0.4052,0.7701,0.8417
29,0.0516,0.9363,0.9656,0.525,0.734,0.8162
30,0.0446,0.9409,0.968,0.4,0.78,0.8522
31,0.0387,0.9487,0.9724,0.408,0.7805,0.8525
32,0.0368,0.9519,0.9748,0.4158,0.7875,0.8575
33,0.0346,0.9538,0.9751,0.4448,0.7831,0.8557
34,0.0338,0.9546,0.9756,0.4415,0.7803,0.8508
