epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.2012,0.2778,0.4069,1.405,0.2569,0.3872
1,0.9276,0.4346,0.5768,1.3302,0.3279,0.4687
2,0.6042,0.5974,0.7209,1.4959,0.4412,0.5812
3,0.4479,0.6626,0.775,0.9783,0.4741,0.6174
4,0.3673,0.6965,0.7994,0.6692,0.537,0.6707
5,0.2901,0.7417,0.8346,0.6463,0.5281,0.6636
6,0.2453,0.7877,0.8719,0.6482,0.5487,0.6753
7,0.2111,0.8018,0.8775,0.5751,0.5323,0.655
8,0.1892,0.8343,0.9064,0.589,0.5693,0.699
9,0.182,0.8328,0.9028,0.5534,0.5646,0.692
10,0.1861,0.8289,0.9007,0.6202,0.564,0.694
11,0.16,0.8435,0.9071,0.5892,0.525,0.654
12,0.157,0.8518,0.918,0.641,0.5618,0.6897
13,0.1464,0.8553,0.9201,0.5527,0.5663,0.6931
14,0.1289,0.8703,0.9287,0.5773,0.5547,0.6845
15,0.1199,0.8723,0.9271,0.582,0.5505,0.677
16,0.1201,0.8806,0.9351,0.5826,0.5594,0.6869
17,0.1065,0.8858,0.9382,0.5827,0.5545,0.6845
18,0.1129,0.8832,0.9364,0.6094,0.5339,0.6619
19,0.1071,0.8876,0.9364,0.5782,0.5752,0.7024
20,0.1008,0.8881,0.9385,0.5895,0.5468,0.677
21,0.0986,0.8983,0.9457,0.6197,0.5458,0.6771
22,0.0974,0.8967,0.9447,0.6031,0.5489,0.6792
23,0.0917,0.8998,0.9465,0.5832,0.5703,0.6944
24,0.0897,0.9027,0.948,0.5806,0.5694,0.6961
25,0.0853,0.9059,0.95,0.5665,0.5789,0.7028
26,0.0838,0.9049,0.9476,0.5832,0.5742,0.6996
27,0.0808,0.9083,0.9512,0.57,0.5738,0.6963
28,0.0838,0.9083,0.9512,0.5684,0.577,0.6991
29,0.0901,0.9058,0.9498,0.5569,0.5823,0.7021
30,0.0805,0.9099,0.9522,0.5774,0.5781,0.7026
31,0.0781,0.9113,0.9527,0.555,0.5832,0.7078
32,0.0781,0.9108,0.9527,0.5614,0.584,0.7077
33,0.0788,0.9137,0.9543,0.5634,0.584,0.7074
34,0.0732,0.9124,0.9533,0.5787,0.5828,0.7062
35,0.0701,0.919,0.9573,0.5656,0.5858,0.7076
36,0.076,0.9153,0.955,0.575,0.5886,0.7105
37,0.0782,0.9096,0.9514,0.5497,0.5922,0.7131
38,0.0756,0.9114,0.9521,0.5782,0.5809,0.7063
39,0.0701,0.9183,0.9567,0.6314,0.546,0.67
40,0.0697,0.9185,0.957,0.5963,0.5838,0.705
41,0.0664,0.9232,0.9597,0.5999,0.5709,0.6929
42,0.0637,0.9259,0.9612,0.577,0.5791,0.7017
43,0.0644,0.9248,0.9605,0.5798,0.577,0.7009
44,0.0637,0.9244,0.9602,0.597,0.5778,0.7004
45,0.0644,0.9258,0.961,0.5925,0.5759,0.702
46,0.0671,0.9247,0.9605,0.5811,0.5822,0.7044
47,0.0614,0.927,0.9616,0.5938,0.5799,0.7034
48,0.0614,0.9263,0.9612,0.6042,0.572,0.6951
49,0.0599,0.9269,0.9615,0.5952,0.5802,0.7027
50,0.0611,0.9285,0.9625,0.5967,0.5771,0.6944
51,0.0654,0.9233,0.9595,0.6884,0.5472,0.6616
52,0.0627,0.9283,0.9625,0.6086,0.5811,0.7011
53,0.0616,0.9275,0.962,0.6267,0.5642,0.6848
54,0.0571,0.931,0.9639,0.6135,0.5759,0.7016
55,0.0579,0.9292,0.9628,0.6217,0.5798,0.7
56,0.056,0.9313,0.9639,0.613,0.5827,0.7017
57,0.0554,0.9282,0.9612,0.632,0.5784,0.7008
58,0.0571,0.9323,0.9647,0.6273,0.5695,0.6862
