epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.0033,0.3651,0.4892,0.6556,0.5174,0.6669
1,0.4688,0.574,0.7044,0.3773,0.5774,0.7159
2,0.3019,0.6433,0.7732,0.3023,0.6116,0.7457
3,0.2233,0.686,0.8125,0.2431,0.6689,0.7906
4,0.2141,0.6941,0.8065,0.2439,0.6545,0.7794
5,0.1853,0.7198,0.8441,0.2102,0.6863,0.8059
6,0.1537,0.7407,0.8606,0.2238,0.6398,0.7709
7,0.1407,0.7653,0.8903,0.2093,0.6667,0.7916
8,0.1233,0.7723,0.8875,0.1786,0.7248,0.8346
9,0.1101,0.7971,0.916,0.1798,0.7079,0.8244
10,0.1059,0.7977,0.9157,0.166,0.7235,0.8329
11,0.0939,0.8086,0.9217,0.1787,0.7037,0.8157
12,0.0905,0.8181,0.9328,0.1742,0.7125,0.8186
13,0.0895,0.8208,0.9407,0.1705,0.7203,0.8275
14,0.0804,0.836,0.9541,0.1683,0.7055,0.8076
15,0.0767,0.8377,0.9534,0.1582,0.7375,0.8399
16,0.075,0.8383,0.9538,0.1593,0.7251,0.8262
17,0.0714,0.8392,0.9473,0.1595,0.7234,0.8331
18,0.0698,0.8462,0.9595,0.1835,0.7012,0.8063
19,0.068,0.843,0.9504,0.1705,0.717,0.8202
20,0.0657,0.8441,0.9471,0.1669,0.7149,0.813
21,0.0623,0.8567,0.9636,0.1604,0.7287,0.8343
22,0.0655,0.8574,0.9708,0.1727,0.7103,0.8119
23,0.0665,0.8486,0.9576,0.1597,0.7194,0.8179
24,0.0611,0.8591,0.9713,0.155,0.7267,0.8245
25,0.0572,0.8663,0.9758,0.1523,0.7392,0.8314
26,0.0569,0.8689,0.9771,0.159,0.7275,0.8248
27,0.0553,0.8715,0.9819,0.1604,0.7297,0.8276
28,0.0523,0.8768,0.9833,0.1566,0.7365,0.8342
29,0.0514,0.8816,0.9894,0.1629,0.729,0.8261
30,0.0493,0.8823,0.9872,0.1664,0.7175,0.8148
31,0.0501,0.8837,0.9883,0.1593,0.7324,0.8247
32,0.0512,0.8804,0.9879,0.1682,0.7221,0.8145
33,0.0505,0.8797,0.9852,0.1658,0.7332,0.8262
34,0.0479,0.8849,0.9887,0.1645,0.7421,0.8377
35,0.0469,0.8846,0.9881,0.1599,0.7267,0.819
36,0.0443,0.8896,0.991,0.1583,0.735,0.8305
