epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.3316,0.6936,0.789,0.4198,0.6694,0.7664
1,0.2138,0.7913,0.8705,0.3658,0.738,0.823
2,0.181,0.8211,0.8929,0.4813,0.6846,0.7843
3,0.1823,0.8244,0.8953,0.3621,0.7431,0.8263
4,0.1544,0.8451,0.9101,0.3773,0.7511,0.8357
5,0.1447,0.851,0.914,0.3383,0.7674,0.8479
6,0.1315,0.8612,0.9212,0.34,0.766,0.8472
7,0.1288,0.8631,0.922,0.3483,0.7663,0.8472
8,0.1246,0.8673,0.9255,0.2941,0.782,0.8643
9,0.1242,0.8699,0.9266,0.3415,0.7774,0.8584
10,0.1141,0.8751,0.93,0.4651,0.7546,0.8414
11,0.1119,0.8777,0.9315,0.3785,0.7656,0.8454
12,0.1072,0.8824,0.9346,0.3711,0.7711,0.852
13,0.1114,0.8794,0.9326,0.3505,0.7719,0.8547
14,0.1063,0.8823,0.9341,0.4038,0.7635,0.845
15,0.0938,0.8941,0.9424,0.43,0.7753,0.8556
16,0.0895,0.8982,0.9441,0.462,0.7674,0.8485
17,0.0975,0.8921,0.9406,0.4637,0.7622,0.8435
18,0.087,0.9013,0.9464,0.3603,0.7758,0.8574
19,0.0867,0.8994,0.945,0.428,0.7699,0.8529
20,0.0795,0.9057,0.949,0.4615,0.7696,0.8528
21,0.0794,0.907,0.9497,0.4365,0.7769,0.8566
22,0.0789,0.9074,0.95,0.4103,0.7851,0.8659
23,0.0785,0.9088,0.9505,0.5219,0.7603,0.8405
24,0.0819,0.9062,0.9489,0.3959,0.7764,0.8541
25,0.083,0.9027,0.9469,0.4038,0.7839,0.8627
26,0.085,0.9047,0.9483,0.4514,0.7767,0.8559
27,0.0729,0.9136,0.9534,0.4197,0.7827,0.862
28,0.069,0.9167,0.9554,0.4639,0.7767,0.8555
29,0.0676,0.9177,0.9557,0.4568,0.7708,0.8536
30,0.0658,0.92,0.9574,0.4912,0.782,0.864
31,0.066,0.9198,0.9572,0.4304,0.7782,0.8585
32,0.0662,0.9208,0.9577,0.4641,0.7737,0.8535
33,0.0636,0.9235,0.9594,0.4983,0.7693,0.8499
34,0.0637,0.9235,0.9593,0.4448,0.7743,0.8549
35,0.0653,0.9222,0.9585,0.515,0.7587,0.838
36,0.0745,0.9138,0.9531,0.445,0.7735,0.8527
37,0.0674,0.9208,0.9578,0.4651,0.7757,0.8554
38,0.0613,0.9255,0.9605,0.4748,0.7797,0.8604
39,0.0575,0.9288,0.9623,0.4616,0.7806,0.8616
40,0.0566,0.9302,0.9631,0.4676,0.7802,0.8605
41,0.0573,0.931,0.9636,0.5106,0.7722,0.8546
42,0.0579,0.9285,0.962,0.442,0.7789,0.859
43,0.0589,0.9279,0.9617,0.456,0.7846,0.8655
