epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.8494,0.2466,0.3305,0.4928,0.3758,0.465
1,0.5357,0.4012,0.5063,0.4302,0.4001,0.4887
2,0.4612,0.4507,0.5528,0.4409,0.4696,0.5853
3,0.3985,0.5045,0.6168,0.4069,0.4946,0.6032
4,0.3472,0.5519,0.6659,0.4254,0.4923,0.5906
5,0.3208,0.5553,0.6612,0.3627,0.5393,0.6423
6,0.2687,0.6175,0.7203,0.3605,0.5527,0.6537
7,0.2392,0.6577,0.7605,0.3562,0.5735,0.6813
8,0.2336,0.666,0.7689,0.3636,0.5782,0.6844
9,0.2363,0.6888,0.7912,0.3771,0.5435,0.6431
10,0.1856,0.7116,0.8078,0.3497,0.6084,0.7072
11,0.1649,0.7365,0.8317,0.3216,0.629,0.7283
12,0.1717,0.7491,0.8388,0.2992,0.6345,0.7318
13,0.1509,0.7606,0.849,0.3219,0.6499,0.7504
14,0.1372,0.7699,0.8541,0.3216,0.6339,0.7344
15,0.1332,0.7798,0.8644,0.3433,0.6456,0.7442
16,0.1325,0.78,0.8635,0.3331,0.6395,0.7367
17,0.1493,0.7678,0.855,0.3763,0.6209,0.7203
18,0.1459,0.7843,0.8682,0.3513,0.6509,0.7453
19,0.1297,0.7969,0.8775,0.3077,0.6606,0.7543
20,0.1109,0.8102,0.8862,0.3065,0.6699,0.7644
21,0.1186,0.8107,0.8841,0.3448,0.6294,0.7316
22,0.1243,0.8039,0.882,0.3324,0.6584,0.7532
23,0.1097,0.8129,0.8871,0.3203,0.6563,0.7509
24,0.1118,0.8213,0.8951,0.3547,0.6426,0.7385
25,0.1027,0.8244,0.8951,0.3163,0.6827,0.7753
26,0.0993,0.8359,0.906,0.316,0.6717,0.7655
27,0.0936,0.8429,0.9115,0.3006,0.6784,0.7696
28,0.0899,0.8439,0.9113,0.3352,0.6619,0.7562
29,0.081,0.8514,0.9162,0.3415,0.6641,0.7577
30,0.0836,0.8537,0.9175,0.359,0.6704,0.7639
31,0.0802,0.8552,0.9182,0.3384,0.6656,0.7583
32,0.0769,0.863,0.923,0.349,0.661,0.754
33,0.0768,0.8668,0.9266,0.354,0.6643,0.7598
34,0.0792,0.8618,0.9218,0.3725,0.6757,0.7667
35,0.0822,0.8608,0.9206,0.3901,0.6702,0.7624
36,0.0822,0.8514,0.9165,0.3754,0.6664,0.7588
37,0.0876,0.8515,0.9152,0.3578,0.691,0.7822
38,0.074,0.8751,0.9316,0.3353,0.6878,0.7776
39,0.0699,0.8713,0.9271,0.3583,0.679,0.7679
40,0.0707,0.8787,0.9336,0.358,0.6878,0.7773
41,0.0721,0.8726,0.9281,0.352,0.6887,0.7756
42,0.0725,0.8771,0.9327,0.3804,0.6778,0.7676
43,0.0709,0.8717,0.9274,0.3389,0.6941,0.7824
44,0.067,0.8808,0.9347,0.3731,0.6807,0.7722
45,0.0667,0.8805,0.9333,0.3609,0.6812,0.7709
46,0.0742,0.8738,0.9281,0.3989,0.6836,0.7756
47,0.0751,0.8764,0.9316,0.335,0.6877,0.7758
48,0.0745,0.8718,0.9289,0.3856,0.6821,0.7712
49,0.0717,0.8832,0.9362,0.374,0.677,0.7668
50,0.065,0.8787,0.9325,0.3909,0.6805,0.7692
51,0.0699,0.8825,0.9349,0.397,0.681,0.7711
52,0.0813,0.8748,0.9289,0.4576,0.67,0.7588
53,0.0951,0.8576,0.9194,0.3641,0.6989,0.7878
54,0.0773,0.87,0.9286,0.4241,0.6845,0.7759
55,0.0638,0.8792,0.9332,0.4302,0.6831,0.7741
56,0.0677,0.8828,0.9356,0.3603,0.6948,0.7838
57,0.0616,0.8932,0.942,0.3701,0.6932,0.7816
58,0.0565,0.8995,0.9457,0.4413,0.68,0.7717
59,0.0615,0.8926,0.9417,0.3919,0.6935,0.7817
60,0.0594,0.8949,0.9429,0.4147,0.694,0.782
61,0.0623,0.8929,0.9416,0.3567,0.696,0.7825
62,0.0538,0.9063,0.95,0.4091,0.6905,0.7787
63,0.0532,0.9036,0.9483,0.4206,0.6895,0.7791
64,0.0518,0.9043,0.9485,0.4059,0.6921,0.7802
65,0.0498,0.907,0.9502,0.4233,0.6877,0.7772
66,0.0524,0.9043,0.948,0.407,0.6951,0.7839
67,0.0555,0.8992,0.9441,0.4277,0.6946,0.7834
68,0.0566,0.9003,0.945,0.4166,0.6858,0.7757
69,0.0505,0.903,0.9466,0.4222,0.6914,0.7822
70,0.0509,0.9088,0.951,0.4279,0.6992,0.7873
71,0.0479,0.9124,0.9533,0.421,0.6971,0.7855
72,0.05,0.9135,0.9539,0.4231,0.6916,0.7816
73,0.0477,0.9104,0.9518,0.4356,0.6925,0.781
74,0.0447,0.9168,0.9558,0.4344,0.694,0.7824
