epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.2927,0.7781,0.8584,0.3438,0.7807,0.8622
1,0.176,0.8401,0.9067,0.3719,0.7784,0.8594
2,0.1518,0.8547,0.9169,0.3388,0.7839,0.8655
3,0.1315,0.8671,0.9255,0.4124,0.7744,0.8551
4,0.1204,0.877,0.9318,0.3526,0.7869,0.8661
5,0.1058,0.8878,0.9386,0.3232,0.8054,0.8819
6,0.0928,0.8971,0.944,0.2839,0.7933,0.8726
7,0.0837,0.9055,0.9492,0.3282,0.8047,0.8808
8,0.0768,0.9111,0.9525,0.5058,0.7825,0.8623
9,0.0706,0.9182,0.9565,0.3572,0.7864,0.8646
10,0.0643,0.923,0.9592,0.3817,0.7894,0.8698
11,0.0582,0.929,0.9626,0.3992,0.7972,0.8748
12,0.0547,0.9334,0.965,0.4419,0.7903,0.8697
13,0.0518,0.9355,0.9662,0.452,0.7894,0.8679
14,0.0494,0.9373,0.9671,0.3985,0.7974,0.8757
15,0.0485,0.9387,0.9679,0.4639,0.7887,0.8678
16,0.0457,0.943,0.9703,0.4841,0.7898,0.8683
17,0.0447,0.943,0.9702,0.5011,0.7871,0.8665
18,0.0413,0.948,0.973,0.5438,0.7839,0.8639
19,0.0384,0.9499,0.974,0.5062,0.7897,0.8684
20,0.0392,0.9493,0.9737,0.5799,0.7785,0.8583
21,0.0393,0.9488,0.9734,0.4958,0.7791,0.8598
22,0.0352,0.9534,0.9759,0.466,0.7907,0.8703
23,0.0327,0.9565,0.9775,0.4694,0.7921,0.8704
24,0.0323,0.9565,0.9776,0.4403,0.7955,0.8734
25,0.0326,0.9569,0.9778,0.5097,0.7864,0.8672
26,0.0304,0.9589,0.9788,0.5208,0.7928,0.8719
