epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.4564,0.5327,0.6511,0.2422,0.647,0.7466
1,0.2051,0.6705,0.7748,0.1869,0.692,0.7869
2,0.1458,0.7172,0.8105,0.1601,0.7059,0.8034
3,0.1222,0.753,0.8519,0.1397,0.727,0.8153
4,0.1124,0.7571,0.8568,0.134,0.75,0.8424
5,0.0809,0.8135,0.9104,0.1318,0.7456,0.8298
6,0.0732,0.8359,0.9325,0.1347,0.7375,0.8329
7,0.0647,0.8481,0.9459,0.1323,0.7518,0.8396
8,0.0604,0.8688,0.9712,0.1492,0.7134,0.8197
9,0.0559,0.8659,0.9615,0.1299,0.7481,0.8216
10,0.0554,0.8682,0.9649,0.1364,0.7498,0.8329
11,0.0578,0.858,0.9507,0.1417,0.7421,0.8425
12,0.0528,0.8733,0.9699,0.1412,0.739,0.8168
13,0.0466,0.888,0.9846,0.1386,0.7562,0.8491
14,0.0427,0.9045,0.9998,0.1481,0.7396,0.836
15,0.0388,0.9143,1.0133,0.1441,0.7512,0.8392
16,0.0398,0.9222,1.031,0.1783,0.6902,0.8004
17,0.1253,0.7472,0.8459,0.1641,0.6814,0.7827
18,0.0678,0.8352,0.9279,0.1381,0.7397,0.8247
19,0.0496,0.8896,0.9939,0.1386,0.7491,0.8383
20,0.0408,0.9054,1.0039,0.1427,0.7409,0.8246
21,0.0386,0.9106,1.0049,0.1426,0.752,0.8339
22,0.0351,0.9215,1.0187,0.1474,0.7494,0.8324
23,0.0329,0.9254,1.0185,0.1496,0.7547,0.8367
24,0.0342,0.9211,1.0135,0.1512,0.7466,0.8327
25,0.0337,0.92,1.0104,0.1531,0.7483,0.8315
26,0.0346,0.9242,1.0155,0.1514,0.7541,0.8353
27,0.03,0.9312,1.022,0.157,0.7509,0.8328
28,0.0284,0.9318,1.0194,0.158,0.7499,0.8264
29,0.0277,0.9388,1.0286,0.1611,0.7529,0.8393
30,0.0269,0.9394,1.0267,0.1671,0.7441,0.8276
31,0.0274,0.9294,1.0128,0.1662,0.7525,0.8349
32,0.0266,0.9409,1.03,0.1646,0.7451,0.8222
33,0.0271,0.9425,1.0312,0.1696,0.7445,0.8226
34,0.0258,0.9337,1.0151,0.1707,0.7515,0.8342
