epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.7459,0.5597,0.6764,0.4825,0.6811,0.7827
1,0.3396,0.7585,0.8472,0.3619,0.7505,0.8362
2,0.2226,0.8208,0.8923,0.3509,0.7534,0.8395
3,0.1832,0.8387,0.9027,0.3847,0.7607,0.8402
4,0.1562,0.857,0.9159,0.3434,0.7652,0.8449
5,0.1305,0.875,0.9264,0.3283,0.7591,0.8386
6,0.0986,0.8977,0.9418,0.3325,0.773,0.8495
7,0.1075,0.8944,0.9372,0.401,0.7709,0.8478
8,0.0934,0.8994,0.9431,0.3485,0.7682,0.8408
9,0.0759,0.9153,0.953,0.3096,0.795,0.8639
10,0.0868,0.9119,0.9495,0.3816,0.7673,0.8443
11,0.1016,0.8983,0.9425,0.3816,0.7648,0.8464
12,0.1331,0.8755,0.9268,0.4353,0.715,0.7879
13,0.1103,0.8911,0.9379,0.4443,0.7353,0.8177
14,0.0831,0.9081,0.9483,0.3666,0.7672,0.8439
15,0.0629,0.9252,0.9596,0.3748,0.7787,0.8471
16,0.0625,0.9297,0.9612,0.362,0.7779,0.8491
17,0.0529,0.936,0.9652,0.3355,0.7938,0.866
18,0.046,0.9443,0.9704,0.3376,0.7966,0.8649
19,0.0402,0.951,0.9744,0.3476,0.7984,0.8663
20,0.0376,0.9541,0.976,0.3634,0.7966,0.864
21,0.0366,0.9551,0.9765,0.3825,0.7815,0.8508
22,0.0344,0.9577,0.9779,0.3699,0.7887,0.8564
23,0.032,0.9597,0.979,0.3774,0.795,0.8633
24,0.0306,0.9617,0.9801,0.3714,0.7943,0.8641
25,0.0293,0.9636,0.9812,0.3804,0.7983,0.87
26,0.0284,0.9645,0.9817,0.3669,0.8034,0.8719
27,0.0273,0.966,0.9825,0.3721,0.8051,0.8732
28,0.0253,0.9677,0.9833,0.3875,0.8017,0.8704
29,0.0247,0.9681,0.9831,0.3929,0.8067,0.8752
30,0.0241,0.9695,0.9842,0.385,0.8042,0.8728
31,0.0231,0.9708,0.985,0.3962,0.805,0.8733
32,0.0223,0.9717,0.9854,0.406,0.806,0.8745
33,0.0219,0.9721,0.9857,0.4083,0.8057,0.8735
34,0.0225,0.9706,0.9849,0.418,0.802,0.8708
35,0.0227,0.9704,0.9848,0.4165,0.8049,0.8734
36,0.0225,0.9703,0.9847,0.4023,0.809,0.8747
37,0.0212,0.9719,0.9854,0.4207,0.8079,0.8747
38,0.0202,0.9737,0.9865,0.4154,0.81,0.8763
39,0.0194,0.9743,0.9868,0.4258,0.81,0.8777
40,0.0193,0.9754,0.9874,0.4433,0.81,0.8764
41,0.019,0.9753,0.9874,0.4398,0.8073,0.8753
42,0.0188,0.9758,0.9877,0.4426,0.8068,0.8735
43,0.0183,0.9759,0.9877,0.4545,0.8117,0.8801
44,0.0181,0.9765,0.988,0.4636,0.8095,0.8777
45,0.0176,0.9769,0.9882,0.4583,0.8107,0.8773
46,0.0176,0.9774,0.9885,0.4622,0.8091,0.8752
47,0.0182,0.9757,0.9875,0.4686,0.8072,0.8736
48,0.0179,0.9762,0.9879,0.4696,0.8077,0.8739
49,0.0174,0.9767,0.9881,0.4755,0.8112,0.8782
50,0.0172,0.977,0.9883,0.4776,0.8087,0.8746
51,0.0165,0.9782,0.9889,0.4948,0.8055,0.8721
52,0.0162,0.9788,0.9892,0.4797,0.8093,0.8748
53,0.016,0.9783,0.9889,0.5154,0.8053,0.8727
54,0.0159,0.9792,0.9894,0.4997,0.8073,0.874
55,0.0161,0.9788,0.9892,0.5069,0.8111,0.8769
56,0.0159,0.9784,0.989,0.5089,0.8106,0.8775
57,0.0153,0.9794,0.9895,0.5191,0.8092,0.8756
58,0.0149,0.9803,0.99,0.5334,0.8125,0.8793
59,0.0149,0.9801,0.9898,0.5268,0.8117,0.8796
60,0.0148,0.9802,0.99,0.5296,0.8096,0.8761
61,0.0149,0.9798,0.9897,0.5309,0.8138,0.8804
62,0.0773,0.9375,0.9616,4.3982,0.27,0.3997
63,0.3836,0.7163,0.8043,0.605,0.5865,0.6758
64,0.2159,0.8246,0.8876,0.3614,0.7533,0.8267
65,0.1152,0.886,0.9342,0.3679,0.7675,0.843
66,0.0907,0.9076,0.9486,0.3297,0.7912,0.8615
67,0.0603,0.9301,0.9622,0.3306,0.802,0.868
68,0.0477,0.9417,0.9693,0.3381,0.8048,0.8699
69,0.0405,0.9501,0.9733,0.3562,0.8039,0.8695
70,0.0342,0.9573,0.9778,0.3807,0.8027,0.8683
71,0.0309,0.9608,0.9797,0.3949,0.8013,0.8684
72,0.0269,0.9652,0.982,0.4102,0.8034,0.8698
73,0.0241,0.9685,0.9838,0.4258,0.8031,0.869
74,0.0217,0.9714,0.9853,0.4486,0.8019,0.8682
75,0.0204,0.9733,0.9863,0.4675,0.8007,0.8678
76,0.0195,0.9744,0.9869,0.4728,0.804,0.8703
77,0.019,0.9747,0.9871,0.4727,0.8032,0.8692
78,0.0188,0.9753,0.9873,0.502,0.8039,0.8714
79,0.0379,0.959,0.978,0.5341,0.7881,0.861
80,0.0814,0.922,0.956,0.6288,0.6959,0.7778
81,0.0843,0.9154,0.9525,0.3807,0.7672,0.8371
82,0.0423,0.9491,0.9733,0.3939,0.7871,0.8555
