epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.2666,0.2679,0.3705,0.9776,0.3745,0.4773
1,0.7295,0.5226,0.6345,0.5985,0.5284,0.633
2,0.4509,0.651,0.7552,0.4856,0.5914,0.6891
3,0.3434,0.7121,0.8077,0.425,0.6004,0.6969
4,0.2682,0.7676,0.854,0.3853,0.6448,0.7424
5,0.2523,0.7609,0.8491,0.3446,0.6419,0.7399
6,0.2061,0.7793,0.8598,0.341,0.6117,0.7084
7,0.1613,0.8136,0.8871,0.3282,0.659,0.7509
8,0.1507,0.8255,0.8965,0.3177,0.6764,0.77
9,0.1296,0.8364,0.9025,0.3104,0.6928,0.785
10,0.1076,0.8652,0.9252,0.292,0.6984,0.7852
11,0.1033,0.868,0.9261,0.3209,0.6901,0.7756
12,0.094,0.8755,0.9294,0.3036,0.6775,0.7653
13,0.0867,0.8773,0.9284,0.3021,0.6825,0.773
14,0.0835,0.8822,0.9341,0.2929,0.6917,0.7819
15,0.0769,0.8901,0.9386,0.2756,0.7057,0.7903
16,0.0679,0.9003,0.9451,0.2844,0.6776,0.767
17,0.0669,0.9005,0.9458,0.2821,0.6962,0.7863
18,0.0575,0.9098,0.9516,0.2821,0.7253,0.8056
19,0.0544,0.9182,0.9564,0.29,0.7017,0.7873
20,0.0569,0.9201,0.9576,0.2858,0.6977,0.7824
21,0.0515,0.92,0.9575,0.2922,0.7109,0.7981
22,0.0515,0.921,0.9574,0.2841,0.7076,0.7925
23,0.0496,0.9254,0.9603,0.2743,0.7109,0.7968
24,0.0458,0.9275,0.9617,0.2807,0.7064,0.7898
25,0.0462,0.9297,0.963,0.2708,0.718,0.8009
26,0.0458,0.9276,0.9617,0.2819,0.7148,0.8007
27,0.043,0.9316,0.9639,0.289,0.7105,0.798
28,0.0395,0.9378,0.9674,0.277,0.7218,0.8065
29,0.0382,0.9396,0.9684,0.2928,0.7154,0.7999
30,0.0367,0.9404,0.9688,0.3026,0.7021,0.7899
31,0.0363,0.9416,0.9695,0.2985,0.724,0.8054
32,0.036,0.9423,0.9699,0.3165,0.708,0.7943
33,0.0357,0.9418,0.9696,0.3052,0.7131,0.7976
34,0.0356,0.9415,0.9695,0.3056,0.6962,0.7819
35,0.0356,0.9432,0.9703,0.3004,0.7245,0.8056
36,0.0346,0.9429,0.9701,0.2972,0.7296,0.8088
37,0.0334,0.9455,0.9716,0.2975,0.7176,0.7999
38,0.0307,0.9477,0.9728,0.3049,0.7191,0.8003
39,0.0313,0.9473,0.9726,0.3005,0.7105,0.7947
40,0.0306,0.9484,0.9732,0.2987,0.7233,0.8048
41,0.0292,0.9527,0.9755,0.3194,0.7208,0.8031
42,0.03,0.9489,0.9733,0.3272,0.7196,0.8029
43,0.0308,0.947,0.9724,0.3543,0.7079,0.7922
44,0.0293,0.9435,0.9702,0.3447,0.7136,0.7945
45,0.0285,0.9502,0.9742,0.3617,0.7086,0.7935
46,0.0279,0.9529,0.9757,0.3364,0.7205,0.8005
47,0.0262,0.9542,0.9764,0.3457,0.7222,0.8013
48,0.026,0.9556,0.977,0.3414,0.7177,0.7997
49,0.0251,0.9569,0.9778,0.3569,0.7177,0.799
50,0.0252,0.9608,0.9799,0.3531,0.7217,0.8028
51,0.0254,0.956,0.9772,0.3553,0.7131,0.7967
52,0.0241,0.9568,0.9777,0.3537,0.7104,0.7951
53,0.0241,0.9575,0.9781,0.3767,0.7117,0.7958
54,0.0228,0.9606,0.9797,0.3412,0.7083,0.793
55,0.0237,0.9589,0.9788,0.3459,0.7248,0.8054
56,0.0233,0.9597,0.9792,0.3531,0.727,0.8068
57,0.0239,0.9575,0.9781,0.3531,0.7255,0.8057
