epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.3885,0.3379,0.4637,1.7231,0.304,0.4341
1,0.8181,0.5125,0.6441,0.8048,0.4374,0.5652
2,0.5071,0.6078,0.727,0.7102,0.459,0.5884
3,0.4226,0.679,0.7904,0.7308,0.3691,0.4754
4,0.344,0.7196,0.8202,0.7659,0.3569,0.4543
5,0.2938,0.7486,0.8413,0.623,0.5034,0.6227
6,0.2503,0.7882,0.8733,0.5569,0.5473,0.6632
7,0.2349,0.7981,0.8817,0.5784,0.5345,0.6432
8,0.211,0.8095,0.8896,0.577,0.5465,0.6617
9,0.1964,0.8153,0.89,0.566,0.5448,0.661
10,0.1849,0.8253,0.8961,0.5703,0.5371,0.6526
11,0.1751,0.8423,0.9125,0.5937,0.5263,0.6417
12,0.1729,0.8394,0.9086,0.5453,0.5534,0.6728
13,0.1639,0.8411,0.91,0.5603,0.5608,0.6782
14,0.1443,0.8573,0.9208,0.5699,0.55,0.6698
15,0.1437,0.8589,0.9218,0.5348,0.5733,0.691
16,0.1298,0.867,0.9269,0.5999,0.5398,0.6562
17,0.1223,0.8747,0.9288,0.5386,0.5697,0.6863
18,0.1099,0.8865,0.9357,0.5717,0.5547,0.6684
19,0.1039,0.89,0.9379,0.5398,0.5747,0.6892
20,0.1074,0.8923,0.9422,0.5645,0.561,0.675
21,0.0989,0.898,0.9456,0.5712,0.5542,0.6704
22,0.0951,0.9031,0.9483,0.5647,0.5701,0.6847
23,0.0984,0.9021,0.9478,0.577,0.5508,0.668
24,0.0931,0.9016,0.9474,0.5554,0.5777,0.6928
25,0.0897,0.9057,0.95,0.5639,0.5666,0.6839
26,0.0841,0.9071,0.9473,0.5455,0.572,0.6866
27,0.0787,0.9123,0.9502,0.5638,0.5589,0.675
28,0.0776,0.9173,0.9564,0.5807,0.5644,0.6809
29,0.0753,0.9204,0.958,0.5326,0.5812,0.6966
30,0.0759,0.9206,0.9582,0.552,0.5752,0.6893
31,0.0678,0.9222,0.9587,0.5532,0.5721,0.6884
32,0.0699,0.9272,0.9618,0.5585,0.5744,0.6884
33,0.0661,0.9275,0.962,0.541,0.5859,0.6993
34,0.0669,0.9298,0.9633,0.5849,0.5576,0.6721
35,0.0659,0.9285,0.9626,0.5552,0.5812,0.6927
36,0.0645,0.9294,0.9631,0.5467,0.5736,0.6878
37,0.0601,0.9327,0.9648,0.5703,0.5787,0.6935
38,0.0605,0.9351,0.9661,0.5703,0.5722,0.6855
