epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.548,0.0643,0.115,1.498,0.0506,0.0901
1,1.4087,0.1164,0.1882,1.3276,0.1639,0.2511
2,1.1992,0.2028,0.2904,1.1144,0.1447,0.2083
3,0.9943,0.2999,0.4096,0.9661,0.2351,0.3457
4,0.8283,0.3835,0.5037,0.7576,0.3826,0.4989
5,0.6594,0.4791,0.6041,0.6329,0.4187,0.5403
6,0.5669,0.5202,0.6497,0.5863,0.4418,0.554
7,0.4894,0.548,0.6764,0.5296,0.5126,0.6286
8,0.3977,0.6204,0.7403,0.4805,0.5409,0.6482
9,0.3771,0.6397,0.7625,0.4966,0.5259,0.6401
10,0.3909,0.6267,0.7477,0.5183,0.497,0.6082
11,0.3382,0.6397,0.7541,0.4138,0.5807,0.6911
12,0.2916,0.6753,0.7863,0.4407,0.5399,0.651
13,0.278,0.702,0.8097,0.3896,0.5768,0.6802
14,0.2303,0.7342,0.8343,0.3942,0.5536,0.6575
15,0.2129,0.7354,0.832,0.3619,0.6137,0.7259
16,0.1916,0.7663,0.8577,0.3491,0.6356,0.7424
17,0.1849,0.7781,0.8666,0.3842,0.6109,0.7144
18,0.2142,0.7488,0.8414,0.4072,0.5511,0.6458
19,0.223,0.7414,0.8334,0.7448,0.4078,0.5233
20,0.3596,0.646,0.7546,0.4824,0.5182,0.6241
21,0.2955,0.6735,0.785,0.3787,0.601,0.7145
22,0.1954,0.7409,0.8388,0.3931,0.6383,0.7366
23,0.1581,0.797,0.8801,0.3571,0.6217,0.7165
24,0.1332,0.8201,0.8941,0.4175,0.6085,0.7073
25,0.1338,0.8141,0.8905,0.3945,0.6425,0.7428
26,0.1175,0.8304,0.9027,0.3887,0.6415,0.7425
27,0.1071,0.8495,0.915,0.3882,0.643,0.7418
28,0.1136,0.8362,0.9062,0.3963,0.6485,0.7478
29,0.106,0.8368,0.9069,0.4163,0.6253,0.7232
30,0.0963,0.8491,0.9157,0.3974,0.6561,0.7516
31,0.0907,0.8632,0.9248,0.3766,0.6643,0.7621
32,0.0892,0.8645,0.9253,0.4139,0.6599,0.756
33,0.0858,0.8652,0.9261,0.4231,0.6592,0.7559
34,0.0854,0.8601,0.9227,0.3968,0.66,0.7557
35,0.0809,0.8697,0.9287,0.4135,0.6556,0.7518
36,0.0813,0.8706,0.9292,0.4131,0.6416,0.7431
37,0.0825,0.8677,0.9259,0.3949,0.6437,0.7454
38,0.0785,0.8726,0.9298,0.3828,0.6646,0.7593
39,0.0706,0.8813,0.9356,0.3976,0.6617,0.7571
40,0.0697,0.882,0.9361,0.3898,0.6657,0.7604
41,0.0717,0.8815,0.9357,0.3973,0.6522,0.7516
42,0.0705,0.8792,0.9345,0.4021,0.6653,0.7606
43,0.0668,0.8876,0.9395,0.4102,0.6579,0.7562
44,0.0656,0.8854,0.9382,0.4197,0.6617,0.7579
45,0.0628,0.8913,0.9417,0.4052,0.6761,0.7679
46,0.0617,0.8941,0.9433,0.4373,0.6632,0.7595
47,0.063,0.8925,0.9421,0.4008,0.6694,0.7627
48,0.063,0.8914,0.9417,0.4105,0.6628,0.7582
49,0.0657,0.886,0.9385,0.4099,0.6656,0.7594
50,0.0641,0.8892,0.9403,0.4155,0.6703,0.765
51,0.0628,0.8871,0.939,0.3972,0.6602,0.7559
52,0.0648,0.8891,0.9402,0.3767,0.6705,0.7659
53,0.057,0.8959,0.9441,0.3917,0.6733,0.7668
54,0.0563,0.9011,0.9472,0.4003,0.6712,0.7666
55,0.0568,0.8992,0.946,0.3877,0.675,0.769
56,0.0576,0.8986,0.9456,0.3825,0.6746,0.7689
57,0.0627,0.8914,0.9415,0.4917,0.6398,0.7325
58,0.0613,0.8924,0.942,0.4554,0.6585,0.7504
59,0.0584,0.8972,0.9449,0.4486,0.6613,0.7517
60,0.0573,0.8992,0.9461,0.4208,0.6717,0.7643
61,0.0578,0.8976,0.9449,0.4095,0.6687,0.7629
62,0.052,0.9055,0.9495,0.4,0.6755,0.7687
63,0.0526,0.9048,0.9492,0.4351,0.6582,0.7554
64,0.0688,0.9003,0.9456,0.5031,0.6402,0.7344
65,0.1333,0.8444,0.9096,0.3399,0.6517,0.7484
66,0.1252,0.8342,0.9023,0.3347,0.6542,0.7512
67,0.1057,0.8452,0.909,0.4079,0.6417,0.734
68,0.1044,0.8602,0.9204,0.3691,0.6449,0.7411
69,0.1153,0.8413,0.9062,0.4386,0.6062,0.6973
70,0.1256,0.847,0.9118,0.4868,0.5643,0.6678
71,0.2063,0.8046,0.8793,0.3543,0.6239,0.7307
72,0.2017,0.7592,0.8439,0.439,0.5348,0.6409
73,0.1964,0.7719,0.8601,0.4533,0.5916,0.7049
74,0.1488,0.7962,0.8789,0.4198,0.6049,0.703
75,0.1051,0.8353,0.9069,0.3814,0.6228,0.7163
76,0.0911,0.852,0.9153,0.3288,0.6747,0.771
77,0.0724,0.8768,0.9314,0.319,0.6706,0.7665
78,0.0642,0.8886,0.9398,0.3265,0.6757,0.7679
79,0.0581,0.8971,0.9447,0.3273,0.6778,0.7723
80,0.0549,0.8993,0.9461,0.3485,0.6798,0.7724
81,0.0514,0.9036,0.9485,0.3456,0.6768,0.7696
82,0.0505,0.905,0.9492,0.3449,0.6852,0.7781
83,0.052,0.9064,0.9502,0.353,0.6794,0.7722
84,0.0492,0.9081,0.9511,0.3436,0.6915,0.7812
85,0.0476,0.9097,0.952,0.3435,0.6891,0.7812
86,0.046,0.9136,0.9543,0.3553,0.6901,0.7801
87,0.0453,0.9158,0.9555,0.3513,0.6909,0.7821
88,0.0452,0.9153,0.9552,0.3584,0.69,0.7793
89,0.0467,0.9094,0.9516,0.371,0.6846,0.7751
90,0.0448,0.9139,0.9544,0.3719,0.6872,0.7769
91,0.0448,0.9158,0.9554,0.3793,0.6878,0.7777
92,0.0441,0.9173,0.9563,0.3715,0.687,0.777
93,0.0448,0.9158,0.9554,0.3598,0.6843,0.7772
94,0.0458,0.9129,0.9538,0.3607,0.684,0.7763
95,0.0461,0.9126,0.9536,0.358,0.6986,0.787
96,0.0445,0.9148,0.9548,0.3517,0.6925,0.7828
97,0.0399,0.9222,0.9589,0.3587,0.6923,0.7829
98,0.0403,0.9199,0.9577,0.3732,0.6887,0.7779
99,0.0474,0.9145,0.9545,0.4104,0.6732,0.7657
