epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.4675,0.1337,0.2273,1.4826,0.119,0.2063
1,1.4262,0.1793,0.2904,1.4215,0.1523,0.2457
2,1.351,0.2949,0.4307,1.3291,0.2425,0.3636
3,1.2455,0.3905,0.5255,1.2547,0.2745,0.3954
4,1.0963,0.4854,0.6202,1.1113,0.3539,0.4962
5,0.9587,0.4933,0.6257,1.0264,0.3837,0.5262
6,0.8248,0.539,0.6709,0.929,0.4236,0.5613
7,0.7328,0.5508,0.6838,0.7981,0.4511,0.5889
8,0.5977,0.6013,0.7237,0.7679,0.4822,0.6196
9,0.5153,0.6404,0.7592,0.7687,0.4327,0.5621
10,0.4753,0.6524,0.774,0.7288,0.4432,0.5784
11,0.419,0.6731,0.7886,0.6523,0.5161,0.6421
12,0.3448,0.7262,0.8312,0.6567,0.4896,0.6288
13,0.3376,0.7233,0.83,0.5808,0.5435,0.6774
14,0.3105,0.7352,0.8339,0.627,0.5177,0.6471
15,0.2648,0.7705,0.8638,0.7885,0.4315,0.5462
16,0.2826,0.7522,0.8487,0.7808,0.4336,0.5518
17,0.2693,0.7598,0.8556,0.6423,0.5125,0.6434
18,0.2793,0.7428,0.843,0.659,0.4876,0.6095
19,0.2487,0.7662,0.8573,0.8039,0.4235,0.5313
20,0.2795,0.7564,0.854,0.667,0.4865,0.6148
21,0.2657,0.7599,0.8535,0.7942,0.4373,0.5515
22,0.2653,0.7669,0.8585,0.7574,0.464,0.5956
23,0.2455,0.7734,0.8628,1.1729,0.2909,0.3868
24,0.2196,0.7869,0.8735,0.6597,0.5102,0.6333
25,0.1939,0.8066,0.8873,0.7253,0.4743,0.5952
26,0.1754,0.8206,0.8966,0.6736,0.5156,0.6291
27,0.1512,0.8425,0.9099,0.6897,0.509,0.6194
28,0.1428,0.8541,0.9169,0.6978,0.511,0.6223
29,0.1289,0.8633,0.9243,0.7527,0.484,0.6013
30,0.1192,0.8718,0.9272,0.7799,0.4703,0.588
31,0.1147,0.878,0.9309,0.7626,0.4854,0.6054
32,0.1089,0.8816,0.9329,0.756,0.4992,0.6156
33,0.1071,0.8831,0.9338,0.7744,0.4903,0.6052
34,0.1034,0.8851,0.9348,0.9006,0.4297,0.547
