epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.5079,0.0795,0.1386,1.3083,0.1319,0.2229
1,1.1006,0.2197,0.3336,0.9087,0.2626,0.3887
2,0.7871,0.262,0.3875,0.6723,0.2517,0.3729
3,0.6039,0.2688,0.3928,0.5593,0.2729,0.3997
4,0.5093,0.2906,0.4178,0.4889,0.302,0.4316
5,0.4682,0.301,0.4277,0.4704,0.2847,0.405
6,0.4365,0.3094,0.4382,0.4467,0.2988,0.4255
7,0.4079,0.3198,0.4488,0.4577,0.2845,0.4051
8,0.3985,0.3209,0.4499,0.4406,0.2933,0.4133
9,0.3748,0.5861,0.7143,0.4033,0.6426,0.7698
10,0.3609,0.7138,0.8559,0.4034,0.6332,0.7513
11,0.3455,0.7233,0.8571,0.4352,0.6127,0.7451
12,0.3495,0.7282,0.8704,0.3954,0.6409,0.7541
13,0.3393,0.7573,0.897,0.3856,0.6553,0.775
14,0.3249,0.7683,0.9011,0.3749,0.6659,0.7782
15,0.321,0.7745,0.9126,0.3788,0.6858,0.8016
16,0.3234,0.7611,0.8923,0.386,0.6561,0.7656
17,0.3216,0.7671,0.8962,0.3834,0.6684,0.7866
18,0.3197,0.7841,0.9209,0.3624,0.6876,0.8005
19,0.3184,0.7886,0.9179,0.3699,0.6809,0.7977
20,0.3225,0.8002,0.9353,0.3548,0.7042,0.8093
21,0.2999,0.8146,0.9447,0.3589,0.7012,0.8127
22,0.2967,0.8078,0.9362,0.3966,0.6498,0.7651
23,0.2955,0.8136,0.9474,0.3642,0.6789,0.786
24,0.2932,0.8235,0.9567,0.3519,0.6963,0.7986
25,0.2985,0.8143,0.9395,0.3616,0.6965,0.8105
26,0.3045,0.8043,0.9257,0.3606,0.684,0.7909
27,0.2995,0.8178,0.9453,0.3493,0.6982,0.7978
28,0.2932,0.8286,0.9512,0.3533,0.7,0.8128
29,0.2883,0.8302,0.9537,0.3498,0.7131,0.8302
30,0.2825,0.8317,0.9617,0.3701,0.6903,0.805
31,0.2873,0.8294,0.9578,0.354,0.6875,0.8
32,0.2828,0.8369,0.9659,0.3587,0.7016,0.8166
33,0.2777,0.843,0.9673,0.3521,0.7068,0.8164
34,0.273,0.8497,0.9737,0.3528,0.701,0.8111
35,0.2738,0.8489,0.9736,0.3458,0.7145,0.8197
36,0.2855,0.8362,0.958,0.3611,0.7054,0.8168
37,0.2821,0.8349,0.9541,0.3602,0.7002,0.8171
38,0.2793,0.8432,0.9693,0.3514,0.7084,0.8187
39,0.2768,0.8378,0.9655,0.3479,0.7076,0.8165
40,0.2749,0.8449,0.9688,0.3496,0.7069,0.8193
41,0.2705,0.8491,0.9685,0.3406,0.7133,0.818
42,0.2647,0.8589,0.9823,0.3403,0.7185,0.8286
43,0.2652,0.8624,0.9843,0.3484,0.7076,0.8102
44,0.2727,0.8509,0.9722,0.3472,0.7055,0.8204
45,0.2667,0.86,0.9826,0.3503,0.7151,0.8263
46,0.271,0.8515,0.9675,0.3577,0.6899,0.8021
47,0.262,0.865,0.9862,0.3371,0.7242,0.8358
48,0.2739,0.8484,0.9658,0.3341,0.72,0.8311
49,0.2872,0.8237,0.9381,0.3456,0.6999,0.8013
50,0.2695,0.8386,0.9544,0.3367,0.6968,0.7928
51,0.2604,0.8551,0.9701,0.3744,0.6831,0.7997
52,0.2634,0.848,0.9623,0.4028,0.6732,0.7919
53,0.2903,0.8,0.9145,0.3436,0.7058,0.8192
