epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.1884,0.3334,0.4617,1.1873,0.3773,0.5081
1,1.0582,0.4157,0.5453,0.995,0.4531,0.5754
2,0.9704,0.4687,0.5928,0.9888,0.464,0.5892
3,0.9148,0.4974,0.6187,0.9444,0.4658,0.5895
4,0.8403,0.5513,0.6657,0.8649,0.5131,0.6255
5,0.7826,0.584,0.6968,0.8156,0.5513,0.6675
6,0.7207,0.6217,0.7282,0.7619,0.5482,0.6517
7,0.674,0.6443,0.7492,0.7436,0.5637,0.6663
8,0.6189,0.6807,0.7805,0.7291,0.5604,0.6693
9,0.5855,0.6893,0.7881,0.6725,0.6044,0.7015
10,0.523,0.7242,0.8138,0.6494,0.5991,0.693
11,0.4968,0.7322,0.82,0.6184,0.6089,0.7091
12,0.4517,0.758,0.8407,0.6023,0.615,0.708
13,0.4186,0.7686,0.8481,0.6336,0.6151,0.7234
14,0.3757,0.7846,0.8608,0.5906,0.619,0.7128
15,0.3471,0.7962,0.8702,0.6021,0.6099,0.7073
16,0.3089,0.8165,0.8845,0.5822,0.6315,0.7259
17,0.277,0.8357,0.8984,0.6088,0.6067,0.6994
18,0.2555,0.8456,0.9055,0.6403,0.5733,0.661
19,0.244,0.8465,0.9063,0.6045,0.6041,0.7063
20,0.2181,0.8585,0.9141,0.5498,0.6564,0.7413
21,0.2003,0.8647,0.9172,0.5491,0.6349,0.7208
22,0.1917,0.8664,0.919,0.5824,0.6388,0.7438
23,0.1824,0.8699,0.9201,0.5428,0.6615,0.7589
24,0.2045,0.848,0.9044,0.5767,0.6411,0.738
25,0.1559,0.8793,0.927,0.5351,0.6632,0.7587
26,0.162,0.8727,0.9233,0.5406,0.6446,0.7325
27,0.1317,0.8975,0.9399,0.5515,0.6515,0.7497
28,0.1226,0.9058,0.9464,0.5713,0.6604,0.7473
29,0.1128,0.9093,0.9482,0.5495,0.6416,0.7276
30,0.1045,0.9156,0.9514,0.4956,0.6848,0.7789
31,0.1131,0.9054,0.9445,0.6114,0.6234,0.7213
32,0.1387,0.8833,0.93,0.5751,0.6498,0.7483
33,0.12,0.8947,0.9388,0.5075,0.6838,0.7729
34,0.0957,0.9153,0.9519,0.565,0.6446,0.7298
35,0.0914,0.9209,0.9556,0.523,0.6541,0.7388
36,0.0752,0.932,0.9625,0.5335,0.6695,0.7531
37,0.0669,0.9403,0.9672,0.514,0.6949,0.7821
38,0.0644,0.9402,0.9671,0.6024,0.6529,0.7369
39,0.0907,0.9115,0.9489,0.6649,0.614,0.7068
40,0.1015,0.9007,0.942,0.5287,0.662,0.7572
41,0.0831,0.9187,0.9542,0.5256,0.7019,0.7851
42,0.0637,0.9378,0.9659,0.5374,0.691,0.7746
43,0.0567,0.944,0.9696,0.5298,0.702,0.7861
44,0.0514,0.9497,0.973,0.551,0.6966,0.779
45,0.0459,0.9535,0.9751,0.5347,0.7067,0.7899
46,0.0445,0.9546,0.9754,0.547,0.703,0.7882
47,0.042,0.9568,0.9768,0.5365,0.7082,0.7917
48,0.0416,0.957,0.9771,0.5523,0.6992,0.7849
49,0.0395,0.9587,0.978,0.5491,0.7045,0.7888
50,0.0379,0.9601,0.9787,0.5643,0.7012,0.7857
51,0.0362,0.9615,0.9795,0.5751,0.696,0.7806
52,0.0349,0.9624,0.98,0.5674,0.703,0.7886
53,0.0338,0.9629,0.9802,0.5682,0.6995,0.7869
54,0.0328,0.963,0.9797,0.5484,0.7108,0.7968
55,0.0316,0.964,0.9809,0.5926,0.6898,0.7756
56,0.0327,0.9622,0.9797,0.5928,0.6936,0.7781
57,0.0316,0.9639,0.9807,0.5872,0.6777,0.7691
58,0.2057,0.8189,0.8784,0.6486,0.5877,0.6853
59,0.1581,0.8543,0.9109,0.5357,0.674,0.7677
60,0.0944,0.9036,0.9449,0.5509,0.6777,0.7664
61,0.0626,0.9301,0.9607,0.6094,0.6528,0.7575
62,0.0478,0.9437,0.9695,0.583,0.6781,0.7611
63,0.0355,0.9577,0.9775,0.566,0.6964,0.7779
64,0.0306,0.9635,0.9806,0.5806,0.6931,0.7754
65,0.0294,0.9649,0.9813,0.5782,0.6996,0.783
66,0.027,0.9676,0.9832,0.5895,0.6996,0.7816
67,0.0257,0.9694,0.9842,0.5755,0.7049,0.7871
68,0.0249,0.9698,0.9845,0.6043,0.6967,0.779
69,0.0243,0.9708,0.985,0.5924,0.6996,0.7829
70,0.0231,0.9717,0.9854,0.6006,0.6982,0.7797
71,0.0223,0.9723,0.9857,0.5884,0.7081,0.7905
72,0.0219,0.9735,0.9864,0.5959,0.702,0.7849
73,0.0217,0.9732,0.9862,0.6,0.7058,0.7887
74,0.0208,0.9738,0.9865,0.61,0.7039,0.7863
75,0.0207,0.9741,0.9867,0.6008,0.7081,0.7916
