epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.3793,0.2419,0.3416,1.3896,0.0,0.0
1,1.2425,0.4033,0.5168,1.2678,0.2787,0.3895
2,1.2018,0.4079,0.5229,1.1772,0.3833,0.4903
3,1.1579,0.4548,0.567,1.1637,0.4577,0.5652
4,1.1276,0.4957,0.608,1.1323,0.4529,0.5613
5,1.1013,0.5148,0.6266,1.1788,0.347,0.4568
6,1.0819,0.5113,0.6235,1.1264,0.4247,0.5385
7,1.0543,0.558,0.6689,1.0487,0.5186,0.617
8,1.0346,0.5587,0.6703,1.0365,0.5298,0.6212
9,1.0081,0.5646,0.6765,1.0281,0.526,0.6238
10,0.9977,0.5806,0.6899,1.1221,0.3724,0.4726
11,0.9614,0.6233,0.7325,1.0844,0.3618,0.4636
12,0.9261,0.6799,0.7796,0.9938,0.5218,0.6284
13,0.9206,0.6725,0.7743,0.9869,0.4985,0.5948
14,0.8943,0.6818,0.7836,0.9698,0.4982,0.5935
15,0.87,0.6932,0.7888,0.9561,0.567,0.667
16,0.8594,0.6836,0.7849,1.0536,0.368,0.4729
17,0.8508,0.6944,0.7936,0.9438,0.4979,0.5877
18,0.8269,0.7155,0.8123,0.8851,0.5764,0.6701
19,0.7874,0.7483,0.8381,0.8854,0.5658,0.6662
20,0.7678,0.7682,0.8541,0.8651,0.5397,0.6209
21,0.7622,0.7489,0.8412,0.883,0.5911,0.6744
22,0.7574,0.7249,0.8187,0.8386,0.5731,0.6582
23,0.7216,0.7799,0.8621,0.8411,0.5652,0.6662
24,0.7156,0.7778,0.8594,0.8101,0.5884,0.6867
25,0.6675,0.8187,0.8931,0.779,0.6302,0.7239
26,0.6575,0.8187,0.8922,0.7879,0.6363,0.7233
27,0.629,0.8265,0.8969,0.764,0.6238,0.7213
28,0.6191,0.8384,0.9067,0.7651,0.5764,0.6729
29,0.6087,0.8327,0.9037,0.7751,0.6064,0.6916
30,0.5952,0.8349,0.9039,0.7093,0.5932,0.6761
31,0.5809,0.8382,0.9055,0.7,0.6353,0.7201
32,0.5786,0.8002,0.8771,0.7548,0.5747,0.6722
33,0.5665,0.8119,0.8845,0.7433,0.5059,0.6075
34,0.5575,0.7922,0.8714,0.7865,0.5321,0.6373
35,0.5211,0.8358,0.9044,0.7002,0.5657,0.648
36,0.5224,0.8139,0.8879,0.6826,0.5961,0.6816
37,0.532,0.7839,0.863,0.8042,0.4634,0.5738
38,0.5015,0.7892,0.8671,0.6728,0.5629,0.6569
39,0.4724,0.8326,0.9011,0.6247,0.6217,0.7088
40,0.4514,0.8557,0.9174,0.6176,0.6253,0.7132
41,0.4337,0.8686,0.926,0.6352,0.6048,0.7004
42,0.4369,0.8422,0.9066,0.6792,0.5462,0.6395
43,0.4746,0.7668,0.8482,0.6559,0.5664,0.6678
44,0.4589,0.7755,0.8572,0.6995,0.4862,0.5931
45,0.3992,0.8508,0.9145,0.587,0.6279,0.7167
46,0.3961,0.8361,0.9028,0.5868,0.6139,0.7114
