epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,1.3263,0.267,0.3862,1.4245,0.0,0.0
1,1.1549,0.4052,0.5453,1.4259,0.2035,0.3204
2,1.0905,0.4261,0.5665,1.2053,0.3409,0.4667
3,1.0409,0.4897,0.625,1.111,0.4567,0.6005
4,1.0047,0.5365,0.6667,1.1122,0.4533,0.5949
5,0.9667,0.566,0.695,1.0774,0.4498,0.5889
6,0.9649,0.5433,0.6743,1.4638,0.292,0.4291
7,0.9548,0.5672,0.6906,1.0336,0.4575,0.5862
8,0.9223,0.5901,0.7155,1.0168,0.4685,0.5965
9,0.8889,0.6183,0.7415,0.9921,0.4811,0.6147
10,0.8602,0.6672,0.7808,1.2837,0.3539,0.4964
11,0.8701,0.6293,0.7525,0.9805,0.458,0.5848
12,0.8452,0.6572,0.7663,1.0173,0.4598,0.5942
13,0.8397,0.6467,0.7633,0.9345,0.4824,0.6
14,0.8094,0.6937,0.8006,1.08,0.3693,0.5044
15,0.8066,0.679,0.792,0.9255,0.5153,0.6433
16,0.7749,0.7357,0.8361,1.019,0.3672,0.4748
17,0.7613,0.7315,0.8329,0.9545,0.4798,0.6116
18,0.743,0.7462,0.8447,0.9307,0.5032,0.6296
19,0.7467,0.7343,0.8329,0.9774,0.4412,0.5676
20,0.7105,0.7667,0.8589,0.8921,0.5254,0.6517
21,0.6905,0.7861,0.8697,0.9437,0.4423,0.5553
22,0.6816,0.7999,0.8839,0.9228,0.4639,0.5827
23,0.677,0.8106,0.8907,0.9185,0.5043,0.6283
24,0.6663,0.813,0.8897,0.9542,0.48,0.614
25,0.6723,0.7984,0.8808,0.9127,0.4624,0.5895
26,0.6393,0.8217,0.8975,0.8591,0.5218,0.6497
27,0.6306,0.8259,0.8979,0.8707,0.5362,0.6629
28,0.6222,0.8338,0.9063,0.8592,0.5035,0.6246
29,0.6182,0.8295,0.9015,0.8361,0.5364,0.6599
30,0.6012,0.8376,0.9062,0.8427,0.5236,0.6459
31,0.5718,0.8672,0.9276,0.8275,0.5474,0.6663
32,0.5667,0.8704,0.9287,0.8164,0.5503,0.6741
33,0.5504,0.8804,0.934,0.8387,0.5135,0.6331
34,0.5464,0.8858,0.9385,0.8274,0.5355,0.6642
35,0.5478,0.8728,0.9294,0.7977,0.5521,0.6794
36,0.5376,0.8877,0.9388,0.8268,0.5269,0.6565
37,0.5259,0.8887,0.9397,0.7849,0.5541,0.6729
38,0.5067,0.8999,0.9467,0.7918,0.5444,0.6657
39,0.503,0.9025,0.9482,0.7723,0.5659,0.6879
40,0.4972,0.9012,0.9469,0.7924,0.5372,0.6608
41,0.4844,0.9058,0.9499,0.761,0.5531,0.6728
42,0.4835,0.9024,0.9476,0.7643,0.5527,0.6745
43,0.4706,0.909,0.9513,0.7701,0.5471,0.6754
44,0.4682,0.9091,0.9518,0.7667,0.5418,0.6622
45,0.4604,0.9091,0.9515,0.7641,0.538,0.6602
46,0.4641,0.8891,0.9359,0.836,0.5045,0.6385
47,0.4944,0.8193,0.8902,1.3643,0.3764,0.5126
48,0.5347,0.7631,0.8472,1.1791,0.3789,0.5228
49,0.5162,0.7883,0.8739,0.9199,0.3639,0.4712
50,0.5128,0.7819,0.8655,0.7772,0.4534,0.5725
51,0.4698,0.8364,0.9065,0.7366,0.5368,0.6632
52,0.46,0.8416,0.9076,0.7779,0.4762,0.6057
53,0.4462,0.8563,0.9191,0.8302,0.4202,0.5298
54,0.4081,0.8877,0.9384,0.7614,0.4975,0.617
55,0.4017,0.9029,0.9472,0.7149,0.5451,0.6666
56,0.388,0.9152,0.9549,0.7114,0.5503,0.6697
57,0.3811,0.9218,0.9589,0.7056,0.541,0.6624
58,0.3661,0.9341,0.9656,0.7145,0.5443,0.6642
59,0.3666,0.9306,0.9637,0.7,0.5451,0.6677
60,0.3593,0.932,0.9644,0.701,0.5449,0.6666
