epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.2258,0.2342,0.338,1.3385,0.1708,0.2578
1,1.0935,0.2951,0.4075,1.5297,0.2212,0.3346
2,1.0267,0.3394,0.4541,1.0453,0.315,0.4399
3,0.9573,0.3699,0.4845,1.038,0.3039,0.4259
4,0.9239,0.3922,0.5101,1.0209,0.3131,0.4258
5,0.8841,0.3914,0.5027,1.0081,0.3154,0.4328
6,0.8431,0.4324,0.5506,0.9083,0.2989,0.3948
7,0.7885,0.4451,0.5607,0.8708,0.397,0.5145
8,0.7362,0.4925,0.6057,0.7776,0.4373,0.5521
9,0.6723,0.5442,0.654,1.0299,0.3355,0.4612
10,0.6436,0.5592,0.6703,0.7032,0.5249,0.6512
11,0.5856,0.5987,0.7063,0.7525,0.3946,0.4881
12,0.5466,0.6126,0.7178,0.6231,0.5341,0.6418
13,0.5106,0.6279,0.7313,0.656,0.5101,0.6237
14,0.4789,0.6493,0.7513,0.5533,0.5905,0.6859
15,0.4408,0.6736,0.769,0.5844,0.516,0.6177
16,0.447,0.6559,0.752,0.5821,0.5473,0.6527
17,0.4114,0.6742,0.7693,0.552,0.5661,0.6664
18,0.3622,0.7188,0.804,0.652,0.4937,0.6106
19,0.3681,0.6887,0.7776,0.494,0.5731,0.6645
20,0.3312,0.7306,0.8124,0.4602,0.6078,0.708
21,0.3044,0.7504,0.8283,0.4467,0.6068,0.698
22,0.288,0.751,0.8282,0.5356,0.5391,0.6239
23,0.257,0.7719,0.8434,0.5095,0.5491,0.6536
24,0.2562,0.7648,0.838,0.383,0.6479,0.7362
25,0.2376,0.7811,0.8534,0.4277,0.6016,0.7032
26,0.2169,0.8026,0.8674,0.4414,0.5731,0.6575
27,0.2054,0.8053,0.8686,0.4459,0.6302,0.7283
28,0.1966,0.8131,0.8752,0.5207,0.4991,0.5798
29,0.1972,0.8094,0.8744,0.3565,0.6737,0.7581
30,0.1711,0.8304,0.8898,0.3914,0.6239,0.7098
31,0.1597,0.8455,0.8992,0.4449,0.5981,0.7004
32,0.1664,0.8284,0.8876,0.3803,0.6283,0.7166
33,0.1569,0.8353,0.8926,0.3936,0.6098,0.6947
