epoch,epoch_train_loss,epoch_val_loss,epoch_train_iou,epoch_val_iou,epoch_train_dice,epoch_val_dice
0,0.7585,0.605,0.7128,0.7628,0.5771,0.6951
1,0.5358,0.6905,0.7877,0.6449,0.6571,0.7639
2,0.4506,0.7162,0.81,0.5794,0.6984,0.7972
3,0.3989,0.7295,0.821,0.5412,0.7139,0.8
4,0.3504,0.7538,0.8402,0.5143,0.7053,0.8008
5,0.332,0.7599,0.8447,0.5731,0.6694,0.7634
6,0.3099,0.7649,0.8489,0.4677,0.7005,0.8025
7,0.2919,0.7794,0.8603,0.474,0.7181,0.8099
8,0.2831,0.7816,0.8615,0.452,0.7161,0.8107
9,0.2651,0.7916,0.87,0.4321,0.7164,0.8038
10,0.2523,0.7982,0.8754,0.4377,0.7297,0.8203
11,0.2502,0.8017,0.8773,0.4667,0.7167,0.8076
12,0.2393,0.8043,0.8799,0.4436,0.7306,0.8234
13,0.23,0.8102,0.8842,0.4599,0.7103,0.7993
14,0.2282,0.8094,0.8832,0.3938,0.7431,0.8317
15,0.2267,0.811,0.884,0.4175,0.7274,0.8237
16,0.2162,0.8141,0.8869,0.3962,0.7413,0.8329
17,0.214,0.8193,0.8914,0.4242,0.7181,0.8175
18,0.2016,0.825,0.8957,0.4389,0.7223,0.8117
19,0.2013,0.8249,0.8949,0.4004,0.7437,0.8335
20,0.1904,0.8306,0.8994,0.4419,0.7401,0.834
21,0.1902,0.8322,0.9009,0.3908,0.7462,0.8341
22,0.1822,0.8359,0.9031,0.3976,0.7519,0.8382
23,0.1836,0.834,0.9024,0.4891,0.7284,0.8179
24,0.1696,0.8432,0.9086,0.4041,0.7477,0.8361
25,0.171,0.8412,0.9072,0.4071,0.7339,0.8254
26,0.1661,0.8455,0.9104,0.4052,0.7437,0.8337
27,0.1608,0.8505,0.9145,0.4553,0.7404,0.8272
28,0.1555,0.8523,0.915,0.4655,0.7286,0.8194
29,0.1591,0.8473,0.9116,0.4307,0.7397,0.8288
30,0.1418,0.8585,0.9189,0.4876,0.7308,0.8231
31,0.142,0.8592,0.9202,0.4727,0.7367,0.8271
32,0.131,0.8664,0.9248,0.464,0.728,0.8217
33,0.1344,0.8636,0.9226,0.4531,0.7374,0.8277
34,0.1397,0.8606,0.9209,0.4707,0.7321,0.8264
35,0.1345,0.8637,0.9227,0.5589,0.7314,0.82
36,0.1194,0.8776,0.9326,0.5029,0.737,0.8266
37,0.117,0.8771,0.9322,0.4285,0.7555,0.841
38,0.1307,0.8682,0.9257,0.4289,0.7347,0.8272
39,0.1211,0.8733,0.9291,0.4721,0.7452,0.8328
40,0.1042,0.8865,0.9376,0.4946,0.7346,0.826
41,0.1045,0.8869,0.9383,0.4693,0.7445,0.8345
42,0.0992,0.8905,0.9404,0.5103,0.7409,0.831
43,0.0955,0.8932,0.942,0.5227,0.7453,0.8339
44,0.102,0.889,0.9394,0.4867,0.7448,0.8343
45,0.0925,0.8956,0.9432,0.5271,0.7458,0.8338
46,0.0928,0.8968,0.9441,0.5027,0.7462,0.8335
47,0.0878,0.9007,0.9464,0.5178,0.7425,0.8324
48,0.088,0.8995,0.9455,0.5523,0.7423,0.8298
49,0.088,0.8997,0.9457,0.4694,0.7417,0.8334
50,0.0817,0.9053,0.9491,0.5003,0.7482,0.837
51,0.076,0.9101,0.9519,0.4983,0.745,0.8339
52,0.0733,0.9136,0.954,0.4926,0.7507,0.8389
53,0.0736,0.9125,0.9533,0.5396,0.7399,0.8297
54,0.0783,0.9081,0.9504,0.5647,0.7217,0.8136
55,0.1106,0.8812,0.933,0.4396,0.7455,0.8358
56,0.0706,0.915,0.9548,0.494,0.7534,0.842
57,0.0633,0.9218,0.9585,0.5485,0.746,0.8356
58,0.0596,0.9246,0.9601,0.5212,0.7461,0.8342
59,0.0596,0.926,0.961,0.5383,0.7441,0.8352
60,0.0575,0.9278,0.9619,0.5718,0.7424,0.8323
61,0.0568,0.9282,0.9621,0.5121,0.7412,0.8317
62,0.0574,0.9269,0.961,0.554,0.7439,0.834
63,0.057,0.9282,0.9621,0.5482,0.7454,0.8325
64,0.0541,0.9316,0.964,0.5652,0.7443,0.832
65,0.053,0.9322,0.9642,0.585,0.7372,0.8295
66,0.0583,0.9266,0.961,0.542,0.7347,0.8273
67,0.0545,0.9316,0.964,0.5897,0.7425,0.8314
68,0.0488,0.9369,0.9669,0.5534,0.7425,0.8306
69,0.0474,0.938,0.9675,0.593,0.7353,0.8263
70,0.0463,0.9398,0.9683,0.6077,0.7371,0.8275
71,0.0534,0.9328,0.9645,0.5579,0.7105,0.8041
72,0.0508,0.9343,0.9652,0.5548,0.7339,0.8248
73,0.047,0.9383,0.9676,0.5919,0.7287,0.8221
74,0.0663,0.9222,0.9575,0.5309,0.7109,0.8082
75,0.0603,0.9266,0.9609,0.5282,0.7311,0.8242
76,0.047,0.9391,0.9681,0.5942,0.7398,0.8306
77,0.0416,0.9441,0.9709,0.6373,0.7396,0.8285
