epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,1.2746,0.2738,0.3721,1.2816,0.2076,0.2998
1,1.11,0.3806,0.4803,1.1607,0.2826,0.3882
2,1.0414,0.4393,0.5481,1.0056,0.4288,0.5421
3,0.9966,0.4558,0.5683,1.0261,0.3557,0.462
4,0.9519,0.4848,0.5986,1.0336,0.3282,0.4403
5,0.9108,0.4897,0.6033,0.9388,0.5164,0.6225
6,0.8809,0.5296,0.6361,0.9133,0.4446,0.5485
7,0.8565,0.5149,0.6227,0.8722,0.4593,0.5722
8,0.8258,0.5368,0.6481,0.9169,0.3168,0.3702
9,0.808,0.542,0.6475,0.811,0.5319,0.6357
10,0.7513,0.5729,0.6795,0.9585,0.339,0.4418
11,0.7707,0.5494,0.6592,0.7661,0.4747,0.5546
12,0.7174,0.5662,0.6759,0.7684,0.4927,0.5999
13,0.6847,0.6187,0.7207,0.7094,0.5249,0.6208
14,0.6566,0.6272,0.7276,0.8156,0.3834,0.49
15,0.6561,0.6061,0.711,0.7207,0.4639,0.5688
16,0.5959,0.6558,0.7554,0.6293,0.5898,0.6763
17,0.5951,0.6513,0.7436,0.6422,0.5807,0.6759
18,0.5725,0.6474,0.7493,0.7338,0.4362,0.5346
19,0.5405,0.6567,0.7481,0.6252,0.5495,0.6346
20,0.5078,0.6977,0.7862,0.5587,0.5955,0.6835
21,0.507,0.6953,0.7878,0.5763,0.5722,0.6753
22,0.4564,0.7169,0.8051,0.5566,0.558,0.6546
23,0.4516,0.7115,0.8041,0.5514,0.5982,0.6955
24,0.4304,0.7145,0.8024,0.6375,0.5049,0.5912
25,0.4334,0.7154,0.8083,0.4905,0.6169,0.7089
26,0.4252,0.7189,0.8057,0.5116,0.5865,0.6831
27,0.3909,0.7242,0.8114,0.5444,0.5386,0.6357
28,0.3635,0.7626,0.8432,0.5071,0.5911,0.6782
29,0.3284,0.7809,0.8585,0.4575,0.6182,0.7054
30,0.3092,0.7873,0.8634,0.4864,0.6138,0.6993
31,0.3143,0.7726,0.8471,0.5354,0.5282,0.6092
32,0.3009,0.7888,0.8614,0.4804,0.6256,0.7168
33,0.3112,0.7624,0.8419,0.4698,0.5837,0.6718
34,0.2802,0.778,0.8523,0.4588,0.6021,0.688
35,0.2817,0.7883,0.8589,0.4836,0.5675,0.6496
36,0.3016,0.7634,0.8381,0.4533,0.5486,0.6252
37,0.2967,0.7611,0.843,0.4015,0.6303,0.7021
38,0.2659,0.7908,0.8654,0.4878,0.5423,0.6346
39,0.2854,0.761,0.8393,0.4457,0.6059,0.6867
40,0.2498,0.7782,0.8529,0.4316,0.6004,0.6795
41,0.2181,0.821,0.8852,0.4514,0.6004,0.6746
42,0.1941,0.8402,0.8996,0.3778,0.6427,0.7243
43,0.2125,0.8353,0.8951,0.3916,0.6466,0.7282
44,0.1946,0.8381,0.8984,0.4038,0.6146,0.6946
45,0.1899,0.8419,0.8989,0.366,0.6572,0.7377
46,0.1834,0.8461,0.903,0.4077,0.5997,0.6716
47,0.1616,0.856,0.9092,0.3681,0.6173,0.6994
48,0.1693,0.8528,0.9071,0.3673,0.6519,0.7343
49,0.1553,0.8505,0.9049,0.3754,0.6619,0.7456
50,0.1531,0.8573,0.9097,0.3928,0.659,0.7335
51,0.158,0.8571,0.9102,0.4213,0.5945,0.6839
52,0.1948,0.8128,0.8742,0.4411,0.6041,0.697
53,0.2451,0.7535,0.8308,0.4463,0.5588,0.6561
54,0.2264,0.7778,0.8544,0.4661,0.5612,0.6642
55,0.2029,0.804,0.8726,0.3914,0.6486,0.7264
56,0.1666,0.8278,0.89,0.3973,0.6322,0.7099
57,0.1475,0.8442,0.9003,0.3483,0.6702,0.7458
58,0.1324,0.8629,0.9147,0.3495,0.6604,0.734
59,0.1322,0.8637,0.913,0.3674,0.659,0.7349
60,0.1195,0.8784,0.924,0.3663,0.6582,0.7358
61,0.1158,0.8752,0.9217,0.3754,0.6575,0.7362
62,0.1394,0.8609,0.912,0.4224,0.6352,0.7253
63,0.1337,0.8586,0.9106,0.4239,0.6089,0.6975
64,0.132,0.8554,0.9078,0.3938,0.6267,0.7139
65,0.1311,0.8511,0.9069,0.3442,0.6593,0.7433
66,0.1219,0.8668,0.9169,0.3624,0.6573,0.7371
67,0.1142,0.8727,0.9206,0.3347,0.6637,0.743
68,0.1024,0.8818,0.9272,0.3667,0.642,0.7294
69,0.094,0.8931,0.9334,0.3661,0.6628,0.7449
70,0.0994,0.8903,0.9321,0.3634,0.6465,0.7228
71,0.091,0.8958,0.9354,0.3549,0.6613,0.7402
72,0.084,0.8972,0.9351,0.3611,0.6588,0.742
73,0.0962,0.894,0.9342,0.3704,0.6545,0.7404
74,0.0844,0.8995,0.9385,0.3434,0.6679,0.7489
75,0.0838,0.9006,0.9384,0.4059,0.6406,0.7268
76,0.0821,0.9004,0.941,0.3758,0.6305,0.7241
77,0.0962,0.8861,0.9315,0.4229,0.5842,0.6728
78,0.1448,0.8175,0.8839,0.514,0.5065,0.5994
79,0.131,0.8503,0.9058,0.4027,0.6091,0.6911
80,0.129,0.8399,0.8987,0.443,0.6152,0.6949
81,0.1322,0.8424,0.9027,0.4552,0.5805,0.683
82,0.1296,0.8497,0.9051,0.3743,0.5904,0.6806
83,0.0943,0.8804,0.9279,0.3659,0.6516,0.7371
84,0.0818,0.8886,0.9347,0.3539,0.6812,0.763
